Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,161688976.52766967 
 01/01  02:00:00,,,5325035.6500713,161688976.52766967 
 01/01  03:00:00,,,5325035.6500713,161688976.52766967 
 01/01  04:00:00,,,5325035.6500713,161688976.52766967 
 01/01  05:00:00,,,5325035.6500713,161688976.52766967 
 01/01  06:00:00,,,5325035.6500713,161688976.52766967 
 01/01  07:00:00,,,5325035.6500713,161688976.52766967 
 01/01  08:00:00,,,5325035.6500713,161688976.52766967 
 01/01  09:00:00,,,5325035.6500713,161688976.52766967 
 01/01  10:00:00,,,5325035.6500713,161688976.52766967 
 01/01  11:00:00,,,5325035.6500713,161688976.52766967 
 01/01  12:00:00,,,5325035.6500713,161688976.52766967 
 01/01  13:00:00,,,5325035.6500713,161688976.52766967 
 01/01  14:00:00,,,5325035.6500713,161688976.52766967 
 01/01  15:00:00,,,5325035.6500713,161688976.52766967 
 01/01  16:00:00,,,5325035.6500713,161688976.52766967 
 01/01  17:00:00,,,5325035.6500713,161688976.52766967 
 01/01  18:00:00,,,5325035.6500713,161688976.52766967 
 01/01  19:00:00,,,5325035.6500713,161688976.52766967 
 01/01  20:00:00,,,5325035.6500713,161688976.52766967 
 01/01  21:00:00,,,5325035.6500713,161688976.52766967 
 01/01  22:00:00,,,5325035.6500713,161688976.52766967 
 01/01  23:00:00,,,5325035.6500713,161688976.52766967 
 01/01  24:00:00,,,5325035.6500713,161688976.52766967 
 01/02  01:00:00,,,5325035.6500713,161688976.52766967 
 01/02  02:00:00,,,5325035.6500713,161688976.52766967 
 01/02  03:00:00,,,5325035.6500713,161688976.52766967 
 01/02  04:00:00,,,5325035.6500713,161688976.52766967 
 01/02  05:00:00,,,5325035.6500713,161688976.52766967 
 01/02  06:00:00,,,5325035.6500713,161688976.52766967 
 01/02  07:00:00,,,5325035.6500713,161688976.52766967 
 01/02  08:00:00,,,5325035.6500713,161688976.52766967 
 01/02  09:00:00,,,114002176.58071795,460248834.3420769 
 01/02  10:00:00,,,118861645.94801262,460248834.3420769 
 01/02  11:00:00,,,111255622.88379215,463919574.3420769 
 01/02  12:00:00,,,108700792.46361059,463919574.3420769 
 01/02  13:00:00,,,109730572.75593022,463919574.3420769 
 01/02  14:00:00,,,111018113.47309414,460248834.3420769 
 01/02  15:00:00,,,115477576.91439584,460248834.3420769 
 01/02  16:00:00,,,134188538.40422255,458413464.3420769 
 01/02  17:00:00,,,163060573.25690967,458413464.3420769 
 01/02  18:00:00,,,174579731.178336,187335275.4944494 
 01/02  19:00:00,,,174579731.178336,187335275.4944494 
 01/02  20:00:00,,,174579731.178336,187335275.4944494 
 01/02  21:00:00,,,165846115.0852118,187335275.4944494 
 01/02  22:00:00,,,9858166.934343912,161688976.52766967 
 01/02  23:00:00,,,5325035.6500713,161688976.52766967 
 01/02  24:00:00,,,5325035.6500713,161688976.52766967 
 01/03  01:00:00,,,5325035.6500713,161688976.52766967 
 01/03  02:00:00,,,5325035.6500713,161688976.52766967 
 01/03  03:00:00,,,5325035.6500713,161688976.52766967 
 01/03  04:00:00,,,5325035.6500713,161688976.52766967 
 01/03  05:00:00,,,5325035.6500713,161688976.52766967 
 01/03  06:00:00,,,5325035.6500713,161688976.52766967 
 01/03  07:00:00,,,5325035.6500713,161688976.52766967 
 01/03  08:00:00,,,5325035.6500713,161688976.52766967 
 01/03  09:00:00,,,113518375.97800313,460248834.3420769 
 01/03  10:00:00,,,117251857.23364975,460248834.3420769 
 01/03  11:00:00,,,110762525.23552313,463919574.3420769 
 01/03  12:00:00,,,107522851.48135136,463919574.3420769 
 01/03  13:00:00,,,107613924.891326,463919574.3420769 
 01/03  14:00:00,,,110091434.93163048,460248834.3420769 
 01/03  15:00:00,,,114361946.57315236,460248834.3420769 
 01/03  16:00:00,,,140265448.6901796,458413464.3420769 
 01/03  17:00:00,,,163360067.28726208,458413464.3420769 
 01/03  18:00:00,,,174579731.178336,187335275.4944494 
 01/03  19:00:00,,,174579731.178336,187335275.4944494 
 01/03  20:00:00,,,174579731.178336,187335275.4944494 
 01/03  21:00:00,,,165846115.0852118,187335275.4944494 
 01/03  22:00:00,,,9858166.934343912,161688976.52766967 
 01/03  23:00:00,,,5325035.6500713,161688976.52766967 
 01/03  24:00:00,,,5325035.6500713,161688976.52766967 
 01/04  01:00:00,,,5325035.6500713,161688976.52766967 
 01/04  02:00:00,,,5325035.6500713,161688976.52766967 
 01/04  03:00:00,,,5325035.6500713,161688976.52766967 
 01/04  04:00:00,,,5325035.6500713,161688976.52766967 
 01/04  05:00:00,,,5325035.6500713,161688976.52766967 
 01/04  06:00:00,,,5325035.6500713,161688976.52766967 
 01/04  07:00:00,,,5325035.6500713,161688976.52766967 
 01/04  08:00:00,,,5325035.6500713,161688976.52766967 
 01/04  09:00:00,,,99607591.13269864,460248834.3420769 
 01/04  10:00:00,,,114212353.71963948,460248834.3420769 
 01/04  11:00:00,,,111982680.46236748,463919574.3420769 
 01/04  12:00:00,,,108538188.41474381,463919574.3420769 
 01/04  13:00:00,,,108544672.78885883,463919574.3420769 
 01/04  14:00:00,,,109593541.95682096,460248834.3420769 
 01/04  15:00:00,,,112252868.5864223,460248834.3420769 
 01/04  16:00:00,,,123478452.14305575,458413464.3420769 
 01/04  17:00:00,,,160381193.70879808,458413464.3420769 
 01/04  18:00:00,,,174579731.178336,187335275.4944494 
 01/04  19:00:00,,,174579731.178336,187335275.4944494 
 01/04  20:00:00,,,174579731.178336,187335275.4944494 
 01/04  21:00:00,,,165846115.0852118,187335275.4944494 
 01/04  22:00:00,,,9858166.934343912,161688976.52766967 
 01/04  23:00:00,,,5325035.6500713,161688976.52766967 
 01/04  24:00:00,,,5325035.6500713,161688976.52766967 
 01/05  01:00:00,,,5325035.6500713,161688976.52766967 
 01/05  02:00:00,,,5325035.6500713,161688976.52766967 
 01/05  03:00:00,,,5325035.6500713,161688976.52766967 
 01/05  04:00:00,,,5325035.6500713,161688976.52766967 
 01/05  05:00:00,,,5325035.6500713,161688976.52766967 
 01/05  06:00:00,,,5325035.6500713,161688976.52766967 
 01/05  07:00:00,,,5325035.6500713,161688976.52766967 
 01/05  08:00:00,,,5325035.6500713,161688976.52766967 
 01/05  09:00:00,,,105279653.11978668,460248834.3420769 
 01/05  10:00:00,,,111523660.71997815,460248834.3420769 
 01/05  11:00:00,,,110047586.67693254,463919574.3420769 
 01/05  12:00:00,,,108902661.60821217,463919574.3420769 
 01/05  13:00:00,,,110100341.28324161,463919574.3420769 
 01/05  14:00:00,,,110888543.480917,460248834.3420769 
 01/05  15:00:00,,,111517024.68577218,460248834.3420769 
 01/05  16:00:00,,,116291109.61430156,458413464.3420769 
 01/05  17:00:00,,,151851848.2223052,458413464.3420769 
 01/05  18:00:00,,,174579731.178336,187335275.4944494 
 01/05  19:00:00,,,174579731.178336,187335275.4944494 
 01/05  20:00:00,,,174579731.178336,187335275.4944494 
 01/05  21:00:00,,,165846115.0852118,187335275.4944494 
 01/05  22:00:00,,,9858166.934343912,161688976.52766967 
 01/05  23:00:00,,,5325035.6500713,161688976.52766967 
 01/05  24:00:00,,,5325035.6500713,161688976.52766967 
 01/06  01:00:00,,,5325035.6500713,161688976.52766967 
 01/06  02:00:00,,,5325035.6500713,161688976.52766967 
 01/06  03:00:00,,,5325035.6500713,161688976.52766967 
 01/06  04:00:00,,,5325035.6500713,161688976.52766967 
 01/06  05:00:00,,,5325035.6500713,161688976.52766967 
 01/06  06:00:00,,,5325035.6500713,161688976.52766967 
 01/06  07:00:00,,,5325035.6500713,161688976.52766967 
 01/06  08:00:00,,,5325035.6500713,161688976.52766967 
 01/06  09:00:00,,,98761808.46831465,460248834.3420769 
 01/06  10:00:00,,,113698507.25723636,460248834.3420769 
 01/06  11:00:00,,,111364306.61942337,463919574.3420769 
 01/06  12:00:00,,,107725230.63319397,463919574.3420769 
 01/06  13:00:00,,,108436286.37201294,463919574.3420769 
 01/06  14:00:00,,,110279683.9403968,460248834.3420769 
 01/06  15:00:00,,,112605570.68474187,460248834.3420769 
 01/06  16:00:00,,,121512284.35079974,458413464.3420769 
 01/06  17:00:00,,,162734688.44159332,458413464.3420769 
 01/06  18:00:00,,,174579731.178336,187335275.4944494 
 01/06  19:00:00,,,174579731.178336,187335275.4944494 
 01/06  20:00:00,,,174579731.178336,187335275.4944494 
 01/06  21:00:00,,,165846115.0852118,187335275.4944494 
 01/06  22:00:00,,,9858166.934343912,161688976.52766967 
 01/06  23:00:00,,,5325035.6500713,161688976.52766967 
 01/06  24:00:00,,,5325035.6500713,161688976.52766967 
 01/07  01:00:00,,,5325035.6500713,161688976.52766967 
 01/07  02:00:00,,,5325035.6500713,161688976.52766967 
 01/07  03:00:00,,,5325035.6500713,161688976.52766967 
 01/07  04:00:00,,,5325035.6500713,161688976.52766967 
 01/07  05:00:00,,,5325035.6500713,161688976.52766967 
 01/07  06:00:00,,,5325035.6500713,161688976.52766967 
 01/07  07:00:00,,,5325035.6500713,161688976.52766967 
 01/07  08:00:00,,,5325035.6500713,161688976.52766967 
 01/07  09:00:00,,,5325035.6500713,161688976.52766967 
 01/07  10:00:00,,,5325035.6500713,161688976.52766967 
 01/07  11:00:00,,,5325035.6500713,161688976.52766967 
 01/07  12:00:00,,,5325035.6500713,161688976.52766967 
 01/07  13:00:00,,,5325035.6500713,161688976.52766967 
 01/07  14:00:00,,,5325035.6500713,161688976.52766967 
 01/07  15:00:00,,,5325035.6500713,161688976.52766967 
 01/07  16:00:00,,,5325035.6500713,161688976.52766967 
 01/07  17:00:00,,,5325035.6500713,161688976.52766967 
 01/07  18:00:00,,,5325035.6500713,161688976.52766967 
 01/07  19:00:00,,,5325035.6500713,161688976.52766967 
 01/07  20:00:00,,,5325035.6500713,161688976.52766967 
 01/07  21:00:00,,,5325035.6500713,161688976.52766967 
 01/07  22:00:00,,,5325035.6500713,161688976.52766967 
 01/07  23:00:00,,,5325035.6500713,161688976.52766967 
 01/07  24:00:00,,,5325035.6500713,161688976.52766967 
 01/08  01:00:00,,,5325035.6500713,161688976.52766967 
 01/08  02:00:00,,,5325035.6500713,161688976.52766967 
 01/08  03:00:00,,,5325035.6500713,161688976.52766967 
 01/08  04:00:00,,,5325035.6500713,161688976.52766967 
 01/08  05:00:00,,,5325035.6500713,161688976.52766967 
 01/08  06:00:00,,,5325035.6500713,161688976.52766967 
 01/08  07:00:00,,,5325035.6500713,161688976.52766967 
 01/08  08:00:00,,,5325035.6500713,161688976.52766967 
 01/08  09:00:00,,,5325035.6500713,161688976.52766967 
 01/08  10:00:00,,,5325035.6500713,161688976.52766967 
 01/08  11:00:00,,,5325035.6500713,161688976.52766967 
 01/08  12:00:00,,,5325035.6500713,161688976.52766967 
 01/08  13:00:00,,,5325035.6500713,161688976.52766967 
 01/08  14:00:00,,,5325035.6500713,161688976.52766967 
 01/08  15:00:00,,,5325035.6500713,161688976.52766967 
 01/08  16:00:00,,,5325035.6500713,161688976.52766967 
 01/08  17:00:00,,,5325035.6500713,161688976.52766967 
 01/08  18:00:00,,,5325035.6500713,161688976.52766967 
 01/08  19:00:00,,,5325035.6500713,161688976.52766967 
 01/08  20:00:00,,,5325035.6500713,161688976.52766967 
 01/08  21:00:00,,,5325035.6500713,161688976.52766967 
 01/08  22:00:00,,,5325035.6500713,161688976.52766967 
 01/08  23:00:00,,,5325035.6500713,161688976.52766967 
 01/08  24:00:00,,,5325035.6500713,161688976.52766967 
 01/09  01:00:00,,,5325035.6500713,161688976.52766967 
 01/09  02:00:00,,,5325035.6500713,161688976.52766967 
 01/09  03:00:00,,,5325035.6500713,161688976.52766967 
 01/09  04:00:00,,,5325035.6500713,161688976.52766967 
 01/09  05:00:00,,,5325035.6500713,161688976.52766967 
 01/09  06:00:00,,,5325035.6500713,161688976.52766967 
