Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,1766454930.0351822,1135717361.8883328,1801260232.482741,8623441720.944893,2293140.4133759234,2468812973.6096263,2286033371.279661,825424053.7011945,2949793204.777971,6652099782.682077,1785406496.507984,1114681716.994381,1626011074.8568091,8787792999.09049,2333092.7335386598,2563597205.471477,2288859630.274254,827057418.502955,2960493053.1402354,6642376993.21661,1797173422.217796,1116797853.6388993,1787427411.6524885,8691578817.70811,5108120.8432058655,2466162768.2103086,2313870977.439019,820173936.1434433,2262811036.409403,4154070701.069876,1047191670.9773316,2349866007.0883503,0.0,13116345921.288301,6387050579.2107525,224173093.20605645,0.0,5180797828.2303095,0.0,1356486158.9992085,334027302.6269387,4960581764.135021,49527866.823900685,10016548089.497828,59419927.25338221,7197941380.448349,4659385861.522799,834968163.7086061,1212710536.2587972,4951590270.931503,397411112960.80695,263576309328.92792 
February,1655491615.6722383,1032453081.6091982,1758685061.2464795,7504190751.6631365,2017524.4505990027,2231331824.4886956,2165183902.567537,748349028.6928337,3162981859.193417,5863952756.758293,1665526428.5842962,1021536305.896332,1555283896.4566896,7742236156.106645,2166629.2013724213,2321156166.332064,2164903705.76949,751435288.1253842,3165901053.531696,5863804388.043356,1673015589.5641835,1020022058.7393167,1697365478.1316073,7670440812.624316,3373896.420032566,2235134790.652475,2168464646.206751,754709651.1010891,2346641107.8431015,3727500883.345928,1085575508.4363155,2098692658.0960495,0.0,11952554277.09288,6629402610.359978,147011325.15449128,0.0,4541111269.708123,0.0,1292359836.6262875,374118331.31436044,4324899669.742547,45979298.52516126,8866601386.270554,60105887.36270476,6568921661.024248,4671659619.683783,765102799.3342979,1294169674.525937,4336493200.9557,357142731784.0316,257293683916.12347 
March,717817377.0504493,2111315623.1386752,539472993.1269851,12998285069.60056,0.0,3271646704.571951,1023933655.7104592,1650421388.6505327,1011256926.2959436,10333541143.02597,725223645.1476978,2087364556.307134,457747244.1261579,13145061940.509304,0.0,3336717334.00652,1020273986.1239017,1652420525.110534,1012877098.4801629,10317563345.101974,730943233.4872489,2072647826.8462818,520595142.1398855,13078154681.140537,8861.671309464573,3220313797.752743,1023046551.351523,1649888580.822587,790110510.3887722,6579345050.466174,355446356.5381633,4145547860.9450674,0.0,17795786441.931,4021281411.51668,1336464835.9163613,0.0,8477107012.087404,0.0,3323065240.865018,17467353.829273067,9802973121.79864,40592257.98974088,13387013343.655668,20968390.128226284,8761574240.664145,2171086142.015115,2669166296.1734333,273609398.2962537,8809198897.689848,406478364427.38605,146776948716.4881 
April,13169819.804885708,2536897618.3888454,0.0,13999497220.899773,0.0,3609930034.832373,47555561.28117629,2178475437.1981263,439148.4262148872,12331959760.357822,14070625.82943105,2510458839.106122,0.0,14038423078.644266,0.0,3636935829.9513946,47098083.0653966,2181885057.551536,447409.2243882183,12326762326.261238,14442205.29810116,2465568362.9322677,0.0,13900941180.16873,0.0,3482656272.9761214,47681143.54205707,2156387031.343263,651316.206750222,7870172388.157076,989753.1193854953,5756124632.876539,0.0,19767494284.694126,1953824778.2842844,2412711334.0020185,0.0,9909923677.6896,0.0,4549031274.141548,0.0,12512655455.19104,28595857.14738812,14763762192.619482,1992474.6561234426,9251998018.396204,212885873.89573732,3955909346.6242614,0.0,11649554547.684612,375958545160.3086,57332390390.05285 
May,0.0,4206083350.1113358,0.0,20401441516.96744,0.0,6196936875.952853,0.0,3759054946.8510303,0.0,18519096760.96894,0.0,4132989763.0221024,0.0,20122719929.550007,0.0,6178745435.790373,0.0,3754458777.86296,0.0,18467054270.43069,0.0,4099112763.6638403,0.0,20164867301.428406,0.0,6100700405.941812,0.0,3758036980.9905195,0.0,12042389220.591722,0.0,7731791030.966472,0.0,25066644233.493164,495300380.73392826,4869515540.465867,0.0,13086247196.787178,0.0,7605837064.36401,0.0,18960520103.013264,1531159.6806310264,17368963125.880215,1310028.9140607212,12703706961.846209,17428984.967421964,5027204099.2013645,0.0,16780823230.276789,423359846424.7392,47629992688.54589 
June,0.0,5268328967.478832,0.0,24399200244.60322,0.0,7335643460.851821,0.0,4918947481.861195,0.0,23031712455.824932,0.0,5161037993.919904,0.0,23913555880.328552,0.0,7306591410.125707,0.0,4902898051.320147,0.0,22921796649.732277,0.0,5193407920.468624,0.0,24359222717.648994,0.0,7415787392.73728,0.0,4994380315.097655,0.0,15341522844.227757,0.0,8697937974.035385,0.0,26433111382.84669,214366103.00500593,6321850414.914831,0.0,13905193461.498125,0.0,9101985490.723587,0.0,22408967052.22745,1865526.6216312381,19470260289.532143,1040200.2172559657,13584014859.010178,8196332.923497061,6764693351.800677,0.0,19625588309.012383,444331437979.4577,41671073263.65479 
July,0.0,4488554053.423165,0.0,19543757579.093864,0.0,3948536526.676433,0.0,4149971957.365727,0.0,18176309647.089737,0.0,4378771431.249375,0.0,19037498099.072662,0.0,3909493818.7481966,0.0,4119370852.0155153,0.0,18034240651.04878,0.0,4382886132.815896,0.0,19148191361.78374,0.0,3925414686.9862924,0.0,4172175094.304816,0.0,12030240964.923927,0.0,7676433232.48664,0.0,17833717852.257893,61725535.95169688,6217250645.481695,0.0,9089487717.610645,0.0,6338503321.3317175,0.0,16977866908.45157,2197495.1685127495,14638246539.60342,838023.8442676032,12671343464.589434,2664020.685725462,7189600431.391797,0.0,14882908363.779776,322486840703.85614,35664106248.96465 
August,0.0,4421579439.525815,0.0,19759386522.530582,0.0,3812670876.0923557,0.0,3855676734.0760264,0.0,17368397176.547035,0.0,4306400815.535522,0.0,19241799510.68601,0.0,3756501268.5212665,0.0,3821427155.1320205,0.0,17209572509.36819,0.0,4302888612.3002405,0.0,19301276603.90288,0.0,3724840461.3891263,0.0,3850261842.016015,0.0,11371366561.990438,0.0,7393729691.408454,0.0,17419762392.845413,105444783.03704622,5921314278.597342,0.0,8973390521.653667,0.0,5838617164.516937,0.0,16934068063.800234,1990705.9831252773,14017473858.62678,1045184.9295194292,12808648835.082367,4082934.379406134,6341850888.562822,0.0,14248221956.331827,322806170620.40424,38572742259.82969 
September,0.0,4761431019.464517,0.0,22829082847.534317,0.0,6119602496.858654,0.0,4029426905.229297,0.0,19569231330.144783,0.0,4695232755.480309,0.0,22481794813.90558,0.0,6126456699.0047655,0.0,4020065859.248602,0.0,19504669713.450985,0.0,4677115370.617111,0.0,22604193731.996113,0.0,6082681358.668745,0.0,4019726059.638978,0.0,12727531970.797743,0.0,7791160021.079586,0.0,23072337891.033028,254848320.63536564,5780988572.672894,0.0,12109040223.526674,0.0,7282982644.734958,0.0,19680070005.39715,1898631.6051099135,15727132475.415102,844291.0171816774,11918756916.596058,12169983.326871887,4965715145.069778,0.0,16390923700.159996,412524030311.6698,39138183677.81119 
October,0.0,3614656035.8032007,0.0,18636087512.055435,0.0,5021408228.796761,714285.3289357221,3004407778.2534304,0.0,15805812650.475363,0.0,3581749064.060016,0.0,18504259485.94581,0.0,5044584464.247597,598619.7104602518,3000571710.746058,0.0,15766673227.129408,0.0,3526959014.219928,0.0,18345884484.93515,0.0,4848200169.842154,963039.2330103259,2953761905.1981316,0.0,10059432911.8844,540443.5837231517,6888159499.992338,0.0,21514790595.384163,848097355.1288526,4019717718.67651,0.0,10981524364.152464,0.0,5496666959.377111,0.0,15752471134.690397,9309852.575327652,14345158316.101484,626558.2820289301,10728130769.810509,42897125.66921307,4624156960.940111,0.0,13800783501.451113,406639665494.3174,47498195606.35951 
