Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,91908883.61740513 
 01/01  02:00:00,,,5325035.6500713,91908883.61740513 
 01/01  03:00:00,,,5325035.6500713,91908883.61740513 
 01/01  04:00:00,,,5325035.6500713,91908883.61740513 
 01/01  05:00:00,,,5325035.6500713,91908883.61740513 
 01/01  06:00:00,,,5325035.6500713,91908883.61740513 
 01/01  07:00:00,,,5325035.6500713,91908883.61740513 
 01/01  08:00:00,,,5325035.6500713,91908883.61740513 
 01/01  09:00:00,,,5325035.6500713,91908883.61740513 
 01/01  10:00:00,,,5325035.6500713,91908883.61740513 
 01/01  11:00:00,,,5325035.6500713,91908883.61740513 
 01/01  12:00:00,,,5325035.6500713,91908883.61740513 
 01/01  13:00:00,,,5325035.6500713,91908883.61740513 
 01/01  14:00:00,,,5325035.6500713,91908883.61740513 
 01/01  15:00:00,,,5325035.6500713,91908883.61740513 
 01/01  16:00:00,,,5325035.6500713,91908883.61740513 
 01/01  17:00:00,,,5325035.6500713,91908883.61740513 
 01/01  18:00:00,,,5325035.6500713,91908883.61740513 
 01/01  19:00:00,,,5325035.6500713,91908883.61740513 
 01/01  20:00:00,,,5325035.6500713,91908883.61740513 
 01/01  21:00:00,,,5325035.6500713,91908883.61740513 
 01/01  22:00:00,,,5325035.6500713,91908883.61740513 
 01/01  23:00:00,,,5325035.6500713,91908883.61740513 
 01/01  24:00:00,,,5325035.6500713,91908883.61740513 
 01/02  01:00:00,,,5325035.6500713,91908883.61740513 
 01/02  02:00:00,,,5325035.6500713,91908883.61740513 
 01/02  03:00:00,,,5325035.6500713,91908883.61740513 
 01/02  04:00:00,,,5325035.6500713,91908883.61740513 
 01/02  05:00:00,,,5325035.6500713,91908883.61740513 
 01/02  06:00:00,,,5325035.6500713,91908883.61740513 
 01/02  07:00:00,,,5325035.6500713,91908883.61740513 
 01/02  08:00:00,,,5325035.6500713,91908883.61740513 
 01/02  09:00:00,,,57279058.065847486,261619295.55621415 
 01/02  10:00:00,,,57904424.70784754,261619295.55621415 
 01/02  11:00:00,,,56809007.63068578,263705855.55621415 
 01/02  12:00:00,,,57144464.86406,263705855.55621415 
 01/02  13:00:00,,,56664172.17788546,263705855.55621415 
 01/02  14:00:00,,,55465905.08035748,261619295.55621415 
 01/02  15:00:00,,,57434895.33417706,261619295.55621415 
 01/02  16:00:00,,,65604608.65889595,260576015.55621415 
 01/02  17:00:00,,,84484506.1497392,260576015.55621415 
 01/02  18:00:00,,,86392710.5184,106487012.04702625 
 01/02  19:00:00,,,86392710.5184,106487012.04702625 
 01/02  20:00:00,,,86392710.5184,106487012.04702625 
 01/02  21:00:00,,,82173548.42527582,106487012.04702625 
 01/02  22:00:00,,,7140544.864167913,91908883.61740513 
 01/02  23:00:00,,,5325035.6500713,91908883.61740513 
 01/02  24:00:00,,,5325035.6500713,91908883.61740513 
 01/03  01:00:00,,,5325035.6500713,91908883.61740513 
 01/03  02:00:00,,,5325035.6500713,91908883.61740513 
 01/03  03:00:00,,,5325035.6500713,91908883.61740513 
 01/03  04:00:00,,,5325035.6500713,91908883.61740513 
 01/03  05:00:00,,,5325035.6500713,91908883.61740513 
 01/03  06:00:00,,,5325035.6500713,91908883.61740513 
 01/03  07:00:00,,,5325035.6500713,91908883.61740513 
 01/03  08:00:00,,,5325035.6500713,91908883.61740513 
 01/03  09:00:00,,,59934853.636618145,261619295.55621415 
 01/03  10:00:00,,,58779871.95193006,261619295.55621415 
 01/03  11:00:00,,,54871993.948597625,263705855.55621415 
 01/03  12:00:00,,,54984088.184580304,263705855.55621415 
 01/03  13:00:00,,,54008175.13318096,263705855.55621415 
 01/03  14:00:00,,,54329143.08747205,261619295.55621415 
 01/03  15:00:00,,,56024311.60191716,261619295.55621415 
 01/03  16:00:00,,,62900796.88054322,260576015.55621415 
 01/03  17:00:00,,,83379441.73881909,260576015.55621415 
 01/03  18:00:00,,,86392710.5184,106487012.04702625 
 01/03  19:00:00,,,86392710.5184,106487012.04702625 
 01/03  20:00:00,,,86392710.5184,106487012.04702625 
 01/03  21:00:00,,,82173548.42527582,106487012.04702625 
 01/03  22:00:00,,,7140544.864167913,91908883.61740513 
 01/03  23:00:00,,,5325035.6500713,91908883.61740513 
 01/03  24:00:00,,,5325035.6500713,91908883.61740513 
 01/04  01:00:00,,,5325035.6500713,91908883.61740513 
 01/04  02:00:00,,,5325035.6500713,91908883.61740513 
 01/04  03:00:00,,,5325035.6500713,91908883.61740513 
 01/04  04:00:00,,,5325035.6500713,91908883.61740513 
 01/04  05:00:00,,,5325035.6500713,91908883.61740513 
 01/04  06:00:00,,,5325035.6500713,91908883.61740513 
 01/04  07:00:00,,,5325035.6500713,91908883.61740513 
 01/04  08:00:00,,,5325035.6500713,91908883.61740513 
 01/04  09:00:00,,,57783497.95718931,261619295.55621415 
 01/04  10:00:00,,,58215825.405176446,261619295.55621415 
 01/04  11:00:00,,,55629610.51153453,263705855.55621415 
 01/04  12:00:00,,,54174269.21429174,263705855.55621415 
 01/04  13:00:00,,,55019399.24586338,263705855.55621415 
 01/04  14:00:00,,,55476459.239080966,261619295.55621415 
 01/04  15:00:00,,,56884968.09570818,261619295.55621415 
 01/04  16:00:00,,,62789022.514666095,260576015.55621415 
 01/04  17:00:00,,,82950329.16447224,260576015.55621415 
 01/04  18:00:00,,,86392710.5184,106487012.04702625 
 01/04  19:00:00,,,86392710.5184,106487012.04702625 
 01/04  20:00:00,,,86392710.5184,106487012.04702625 
 01/04  21:00:00,,,82173548.42527582,106487012.04702625 
 01/04  22:00:00,,,7140544.864167913,91908883.61740513 
 01/04  23:00:00,,,5325035.6500713,91908883.61740513 
 01/04  24:00:00,,,5325035.6500713,91908883.61740513 
 01/05  01:00:00,,,5325035.6500713,91908883.61740513 
