Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,7130699639.179233,60342409.231428325,17885095638.03434,825780039.0906732,3803763230.3671794,491520874.3894931,8678419252.458128,1690121.7381294223,24323110623.580128,60979937.74350676,7377489846.940973,40000894.98247064,18688722300.557133,529170681.4128494,3909489470.5850563,455200267.16075003,8687304893.324741,1693179.186661625,24374540713.35949,55834958.05064754,7294965460.176473,47901288.968982324,18273616094.52008,674743393.7259995,3909544065.001139,465336660.8637392,8685752298.970327,1766404.1219854369,16295601368.910913,31213164.984345157,7999844678.156778,2470143.1697877985,7542106968.926437,2424668940.3994446,17153979778.251814,4934764.541024064,676021760.4090096,3274856423.289052,5133742325.968043,21134388.341522142,16719509829.580812,170535544.3003755,9739834206.201511,165370818.45177683,418993229.66245943,4021524105.7379985,18594571992.778145,129371.988157163,18159149143.451607,21758286.53056321,180281646167.5449,984967457510.5647 
February,4765904063.095082,297971099.86885947,11445359437.500313,2324814384.5525236,2351116209.344698,555339275.9714532,6272980221.017079,21338039.78243768,17540397833.370007,121149441.01795554,4818634319.726528,283166794.7026226,11407566536.088108,2135945391.6573923,2370794062.699489,550657963.4197227,6272681730.738665,21556624.790357117,17549135934.6187,119512807.0903544,4807928420.076185,285573705.4287794,11318955269.427412,2243457472.194885,2383321017.88562,551628648.9585097,6251552866.545766,24716759.31031907,11682453574.847954,86088603.65381187,5713302988.326271,50658696.56697021,4401908752.724074,2587187407.165001,12947356824.908125,57067915.17360122,279175899.19723326,1915844225.662741,3241580658.374082,41556235.1311955,10565470336.191965,950933123.3381282,5711658701.908476,822785919.4149458,121581347.87341714,4353514090.057495,12735929451.099064,14586843.53410481,12391195417.844318,315171163.8030348,158576896923.32385,679189613539.4631 
March,3163454114.9450035,532438123.18780816,7126841720.40664,3837886307.162286,1266363046.8553264,982491769.9635609,4473527934.6713505,60216921.59950753,12252563762.03415,500646790.28493977,3203284372.5345182,502315464.45899343,7151788458.199718,3641037668.9843874,1292143194.8190284,999362253.8887025,4470321793.075625,61258252.37375506,12253609019.483387,504228350.4394167,3197939722.555494,505620339.4805576,7139239674.001272,3812727338.517996,1291655829.2099288,994279976.686456,4416965086.271664,72867539.02133475,8072233114.725935,396376459.7342643,3926759360.1858644,242158114.85290244,1416133571.197166,4836844474.70475,11872164014.045944,47615751.431036025,0.0,286066026.8530165,1479384395.2386312,116607839.31408907,5825474631.60149,2304964538.4642577,2308193461.669225,2746967787.940724,89028709.31580864,6833983975.122331,8009106088.802122,145626916.84441537,7770142499.028483,1205946764.7858331,176403837806.0377,512029469947.11633 
April,1601157955.3404033,918641301.2766868,3465936002.970393,5335100380.042786,435637457.182859,1339345662.5489101,2288918106.19134,449565615.57384604,6207582481.969914,2127906789.9973483,1641107195.338389,885748947.2092326,3548898570.6488934,5086128885.354807,455457354.4213017,1355923560.3477767,2289625725.450237,451179398.7793646,6216314073.142024,2124130716.6781626,1629593845.3847485,884624462.802159,3528717926.043419,5219884842.132464,446283010.07827085,1340258621.6679077,2239521744.40703,479573103.3795319,4045245670.208366,1506119099.8554459,1946309118.086739,910473387.1352682,207939911.47815225,6763982207.729011,6343283295.810295,260542021.0608727,0.0,732292922.7020196,329300930.4257615,178216502.06667775,1774841165.0274234,3346452439.6048603,458263194.0311724,5207925599.558162,19900198.230072416,7170136157.579086,3316939739.3338466,1302780063.8423827,3144993061.7710814,2917483852.6282415,160827732210.0926,288867575708.84454 
May,438268265.0822415,1573356833.0618021,884996212.3468823,8279587149.865216,27061105.246729217,1839220825.0733895,637700797.0567764,1246959022.3568068,1539143174.189033,5801613407.428862,458906561.4025082,1532471314.825212,908043196.4548631,8019550667.198817,30481253.15898776,1885680545.411601,639807297.6267619,1248880771.4105363,1547222167.6334898,5797389839.022006,453497099.12439746,1535274341.295042,914354684.2836485,8158349861.081382,30123365.91807689,1847790697.3668659,609778994.3747544,1285111656.642762,1005505846.4099576,4033590768.908256,456644744.84405345,2445636772.266863,0.0,9073557845.63162,2691178322.346831,1138284636.8173954,0.0,2492923250.249589,0.0,919156505.9637332,108720827.22269303,5601468725.911262,41288816.89931335,8349808976.49488,1938530.3428560973,9321231549.741636,627099384.1144583,3182209017.1288605,455027503.74763536,5699721206.014063,172271907383.81335,139327063717.84583 
June,3873559.0577954813,2278397329.67863,7613516.085441042,11347150236.246239,0.0,1958024067.0261207,6325091.516020163,2068328395.203658,16242831.680565894,10117795183.100317,4996770.393136391,2205528075.781024,9367025.427461602,10963771181.35379,0.0,1993905677.4235246,6401212.388581324,2048082850.2804286,16677440.036620101,10007988843.829271,5192026.278848928,2218476658.2118917,9041809.42337647,11149599291.853212,0.0,1978405012.150699,5322534.147963683,2097131771.6184134,8698768.883472005,6895770913.802339,8994540.943081904,4528308108.591883,0.0,11171029104.562437,911623141.4253608,2530713557.711174,0.0,4461339205.007196,0.0,2348079859.6294785,0.0,9385208781.129013,13821557.480208263,9918453605.278257,1264668.186510891,10919092516.2031,37843929.11767759,4962193831.575493,0.0,8907135354.395252,179403324636.56277,49833040810.43285 
July,4240652.082603399,2443246694.1488147,1079979.941757665,11391915053.721464,0.0,1837237144.9507225,9454577.977316394,2164660779.6988044,13650045.386494081,9379400742.896847,5347898.665201227,2350001471.245503,1896542.570555089,10823696252.020376,0.0,1852847874.9965072,9250872.777413452,2129157313.334907,12993677.853219943,9224707145.023016,5042714.344545283,2372836389.968934,1411815.4848098839,11021520772.405672,0.0,1849249360.4486763,7096012.128178107,2188161954.871675,6131867.6268491205,6548721967.595726,6035030.837079756,4164574321.8052335,0.0,9616036716.03027,562286657.4538193,3073620001.8330684,0.0,2883205207.7202425,0.0,1849308040.7156386,0.0,9071601255.536053,5622662.261817157,8738447209.972595,1042950.23192918,10962609449.079224,20594812.372808054,4682056825.981631,0.0,8420236698.337694,149478518276.23526,45485884410.65621 
August,3741034.1635685097,2543506009.8514657,10833131.248872649,12036161185.27627,0.0,1904283197.1722534,39057232.681719646,2007152959.6884463,102371460.25518724,8239295577.9771805,5296904.601660044,2459131416.3088064,12735732.845268292,11512943605.202787,0.0,1930896483.6202948,40447043.116047695,1981936191.2526538,106412613.74736081,8135293808.751743,5014858.32414646,2475466330.634406,12462088.468353743,11661263542.871408,0.0,1912454780.5843225,35851631.39406689,2026209360.837819,71351062.01514299,5688826281.827471,27880167.584494077,3476664383.4471664,0.0,8962493998.870773,710718351.6632442,2919537000.41798,0.0,2497126930.1789117,0.0,1410641106.320306,0.0,8448370834.375606,15254076.929054355,8261463376.380195,978360.5042508512,10700171021.521597,25083719.676359624,4576996506.669099,218804.52886776894,7529503956.504439,151881714701.60394,59009955483.21411 
September,131777420.55673996,1663523573.1405697,154041209.8349094,8941891247.676128,124607.66186624159,1735813898.955448,330848251.57248145,1153526443.246143,652619155.5868927,5244851969.365443,139790347.73453632,1620770370.616358,151286185.42664865,8695478923.524406,205087.51093304387,1772761873.0953555,333682234.3473294,1143172183.394316,663119158.3668028,5189543061.244111,138810720.85926917,1623572570.579201,156835831.54328564,8761248846.582735,404696.7250280555,1733404295.506632,328902316.1793004,1163243798.0636828,491046739.45566344,3467258685.4252644,192420838.3144241,2231292155.4940667,0.0,7550272719.26627,2158019656.9367633,1138915294.282187,0.0,1980612273.9560397,0.0,607063454.980802,0.0,5249436995.809297,42404407.89571987,6985542938.341884,448250.21860241715,8592677656.117039,245300688.80886674,2771356593.675902,68416984.16464484,4877274495.872034,160094320375.16827,102020613061.27472 
October,1191268520.4057045,993266428.3428402,2267547751.566797,6389080325.721688,254227191.17118412,1461870171.2002363,1796090078.966515,401480608.8374786,4312143362.972086,2311876748.5249476,1207215668.268408,966219519.7224339,2296816271.6845675,6146520080.842714,265134448.35344252,1481400139.7590716,1796475802.8033416,398038900.4747902,4320960433.8478,2293484532.6140313,1203642840.2790422,966428824.071611,2317966583.196118,6245532951.4162245,272161621.28508794,1449290208.3426871,1786258643.2718236,408807942.86508894,2942033994.036216,1506326872.7884202,1385248718.6107776,934649695.0057476,36846827.399115026,6890960184.343136,5488436874.0369215,429435667.689252,0.0,555728573.3608587,169981994.38635904,117188859.78656061,1191714353.6667976,3343056131.1569185,306442262.53770846,4204373783.3376007,19582373.387368258,7991085270.750488,2846349080.151729,898826215.1743513,2533734595.3861804,2682782625.4513283,169189640028.3336,268569905635.99854 
