Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,6709251853.82372,72966235.99532506,17771981226.429955,995716975.6510342,4367518045.464871,210198562.26503274,8146575361.253426,319380.4445676357,23734542323.013706,17243531.248420745,6938701879.959964,48451815.90515235,18486701249.518227,709492087.1409853,4486707595.331967,199322922.44427863,8152727998.120722,336980.5719756886,23780135892.003036,17710130.991410725,6873351818.237953,57498961.80957372,18079884393.640022,852993349.5134553,4603069322.783243,176177798.81763956,8170934657.634216,493188.8362036872,15996672897.28207,4987181.406936277,6753129539.923487,42308321.681656055,7685199194.054202,2411126530.017935,14073254446.428892,673610.986234331,1640697914.5889318,1943053875.9866338,5203118422.429223,29317926.753072392,16372846202.386702,163450346.55709392,10331535635.016182,161965515.4926369,372754861.687683,5374069154.600831,16830003704.452833,1981114.6528406756,17555698876.282326,27357978.80192696,111598426920.66475,860992980093.6995 
February,4534205605.773448,322157845.185729,11538433591.54137,2181232479.281851,2754231924.8645797,313545296.1628421,5983724811.009516,22034003.65196864,17506486456.485012,128446059.51623324,4582664819.301202,302750023.83994436,11457865958.050762,2029175271.9640431,2775430719.984677,317418186.47245324,5981663311.041542,22375532.969027314,17511103007.95664,128854668.81995764,4575400389.925341,305648667.65840673,11324441931.108974,2145536234.2863324,2838371322.36698,302212933.23750895,5965680770.59346,25491845.37948275,11692469654.52565,94814240.75192153,5119959435.805422,76464937.70196699,5159161630.588759,2426697764.164831,10801604440.709322,46635117.67094432,826597836.2558963,1228686228.5723228,3524777854.309234,44987983.71907981,10833956755.67101,970147516.3288466,5877921904.394826,778609714.9863849,151307338.76337224,5141090979.415092,11359851197.71188,131486266.91337267,12420134388.611841,356124484.33126646,96670475065.99124,586694811399.6665 
March,3095927823.701675,583130174.562124,7524484829.365971,3544615642.195204,1599176465.3189778,603122554.2322433,4347539599.416331,63961006.387152605,12656801150.79393,526179751.19392985,3134004752.1191444,548251557.7998503,7501444004.053834,3385394346.981772,1622986628.805287,620903934.5558864,4343119650.593188,65511064.44438913,12655714016.638153,530382676.91957694,3127826999.394471,552365858.231194,7442388487.502548,3595084446.805683,1623652486.813422,612857341.5170572,4291597834.0432425,78297044.21242702,8331911407.710129,418081609.74878615,3755754656.916725,360006085.39323884,2957275744.592134,4365332540.527664,10008978533.935972,33772473.00066224,27521816.94405507,249563029.7417633,1906145407.7530646,121547046.4582696,6703436008.612482,2367684528.8414464,2817930600.4222956,2518312453.901697,50067810.250808634,7355348509.023098,7113619778.764944,625480412.9198822,8246327384.8893585,1298208707.1857293,106409803980.02385,436228078530.4118 
April,1629164110.9792051,953930618.6183867,3865871802.803853,4740096597.183028,640511951.75467,765756249.8801094,2305535540.442797,438369255.1472175,6876779208.4398775,2004762074.6445377,1665035809.936658,913716413.7852713,3966493687.024387,4506566575.913277,664986108.3650057,782411864.0753479,2297617961.041338,442088662.5451787,6855888653.488944,2005611327.546022,1650936865.895944,908054378.0707772,3899873050.333397,4660054612.008152,643040010.1534007,774609355.7022418,2245488874.1641307,469148588.3582076,4423811307.780477,1406409792.1658235,2127659532.9531841,1040047676.4851952,736371459.4027967,5382957937.141642,5851534605.554874,202338711.86090225,1377774.5840821713,662106835.2756702,558784559.6880131,157196100.42254964,2455154703.5310154,3185496360.8320627,630177795.4359431,4483009664.941251,6155484.053934776,7366982498.772846,3057052294.444698,1983662828.7508833,3773614207.796379,2796401229.5080194,95570220086.28056,241463880933.96393 
May,493382895.0586768,1570473874.4515507,1143852048.1879785,7013559462.228077,72114891.23061329,1052083809.1166972,689571389.7942044,1132327893.0554445,1952869038.3846405,4781475284.451061,514379798.6164017,1504810401.8468838,1182545730.1301463,6684720479.818193,79104449.23015857,1076082297.44075,690092960.5659412,1127939543.2140708,1956442537.3827653,4753057270.930948,506782756.42065865,1514474952.7174182,1158524801.4525902,6881758719.265842,73332751.1238673,1067140085.5923481,659638801.6430845,1179266126.7284896,1228542681.6093116,3236038735.705635,559305462.6902779,2220481841.697849,2020903.2162430962,6209733627.598096,2688894092.9096303,858027528.9685575,0.0,2343395365.080522,7046875.483305752,874152931.2090015,305895483.00481933,4665391148.211893,31823318.80798249,6714021233.716794,932679.0832098474,9954837416.171127,593759602.5449567,3347739834.463672,721228277.6371799,4274933236.116807,102958269933.45464,111884796090.95511 
June,8284675.574625943,2189393354.0399203,18698116.75726461,8986636192.958479,0.0,1218156916.2404642,10023235.726286594,1755771346.4605367,25112041.719703253,6965338684.98487,10769009.119342944,2099107986.784364,22860640.52884155,8560119340.679568,0.0,1223579990.986626,11082927.658922073,1746503565.1144974,28617255.927643865,6914768936.593131,9090415.181595959,2131288056.8477159,17012541.341374602,8842561628.334257,0.0,1266599887.508597,7240163.859501231,1832851297.0865204,9196866.900009332,4729574683.591434,0.0,3613410343.6956334,0.0,7014344888.01487,882680660.3076142,1912705265.788153,0.0,4165847598.0506086,0.0,2243048334.147261,0.0,8005942923.588481,7113039.178073475,8276337264.1927805,1467064.9756664645,11673831257.104084,19530349.807495624,4711349408.146835,0.0,6158751337.814456,110284956740.544,44690670612.339874 
July,5851294.309908931,2467318430.785923,2000713.0459158046,9443297910.063984,0.0,1100436380.242201,9830613.275587328,1923905960.251416,16205882.712806825,6988439013.399197,6682395.951299251,2351424491.330457,3631233.596664762,8862399825.47522,0.0,1111662227.6628938,9339249.549319698,1902282082.643207,15250015.108951982,6893038045.463638,6446378.222870271,2385543499.219725,1986753.8723669956,9107026309.726482,0.0,1135081787.3699808,7431556.658113039,1999047058.9447398,5897506.054973828,4769157687.604658,1458963.3310396625,3486578083.150452,0.0,5932659179.570687,545204531.4671037,2658228896.742101,0.0,2924350445.886925,0.0,1946466175.9288235,0.0,8305726273.843918,4440405.9298680145,7975709200.502546,1232270.7108480893,11171222043.222193,10598955.481767826,4575411406.019759,5606.552367806398,6107604449.880316,98951939087.26357,38031784229.64974 
August,5739845.935815013,2567215989.0689673,6069172.16502319,10036078649.247784,0.0,1137251286.168863,41698035.471303955,1772811824.5567808,134391089.99822173,6361511574.704395,7904977.258164777,2466070818.4428015,8388202.199705202,9490704944.608196,0.0,1153993842.1426117,44427031.128186196,1759320481.513152,142284463.64975965,6290232176.530208,7309654.2966928175,2497894251.2915473,7248423.838238099,9708906463.474302,0.0,1167695645.261791,36863050.778112255,1837718963.8222713,83390379.57433543,4329264167.56425,20631279.297514502,3070451508.467905,0.0,5567387604.056269,684619288.5605745,2626812620.4436316,0.0,2555937487.471689,0.0,1500996325.562655,0.0,7767219074.787079,10652444.67404439,7162848081.431363,1000238.0470941755,10980649065.331747,13754096.253665622,4086235783.422947,0.0,5411015361.784638,99377924213.8144,46120608783.3644 
September,174664534.65951458,1584671293.8725116,254621476.51737836,7153859565.4637,5212431.90963538,969466675.7476877,404358745.90557706,964136304.4917281,1061397448.8335191,3871122163.416958,182295803.4476317,1522662197.790578,254019798.59954485,6812950560.931429,5918935.772538432,993189249.0718195,405758816.96118474,955006198.5300395,1070978396.9807951,3823399087.0254183,179493667.86691633,1535578196.904161,248249894.54609463,6972763681.343296,5559591.8180571515,978385312.6454829,394111288.3326216,988215546.9883009,727244760.8927883,2569457437.4161234,280092977.91082,1988435202.0517116,0.0,5140201251.820385,2260774273.1686087,878750209.2200313,0.0,1506564365.2192795,0.0,421656570.18535227,450248.13708180666,4466355670.570168,28707105.583594963,5666009409.4249325,489292.4190798161,8627941948.26406,166802927.9412667,3059360289.4059434,225336036.08696812,3548270861.606561,95906285203.60715,82589608509.7183 
October,1233068909.0997846,1009015475.3265432,2642205923.8014774,5588815920.104815,429734504.7531423,821031381.7524483,1842394678.6234903,392070685.5887635,5059294288.298081,2172819148.7282023,1250016104.1893625,978293036.0469371,2692846682.092637,5348990072.926168,447072044.19329983,841008641.531856,1847037783.2874706,391809301.42318547,5081961207.30532,2161268090.6678767,1244230755.6863375,982759010.0073318,2671410166.5319414,5511909125.898638,445414556.32080793,830023116.4538182,1835820747.8711822,406566401.7963327,3411387200.923694,1431589492.886631,1592708124.5276234,1082547397.373104,442654060.52736413,5439677494.110843,5126878429.308469,374377311.87449646,0.0,434923136.86367655,393601779.74424785,100390438.2015967,1882774956.7812304,3157874122.502875,651328620.0375888,3657473274.09803,12964036.775287291,7789853959.7049675,2581451964.6222777,1652944762.7832906,3216715502.1399693,2558529884.485846,102239746811.18515,219439784355.07175 
