Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,101321846.58167711 
 01/01  02:00:00,,,5325035.6500713,101321846.58167711 
 01/01  03:00:00,,,5325035.6500713,101321846.58167711 
 01/01  04:00:00,,,5325035.6500713,101321846.58167711 
 01/01  05:00:00,,,5325035.6500713,101321846.58167711 
 01/01  06:00:00,,,5325035.6500713,101321846.58167711 
 01/01  07:00:00,,,5325035.6500713,101321846.58167711 
 01/01  08:00:00,,,5325035.6500713,101321846.58167711 
 01/01  09:00:00,,,5325035.6500713,101321846.58167711 
 01/01  10:00:00,,,5325035.6500713,101321846.58167711 
 01/01  11:00:00,,,5325035.6500713,101321846.58167711 
 01/01  12:00:00,,,5325035.6500713,101321846.58167711 
 01/01  13:00:00,,,5325035.6500713,101321846.58167711 
 01/01  14:00:00,,,5325035.6500713,101321846.58167711 
 01/01  15:00:00,,,5325035.6500713,101321846.58167711 
 01/01  16:00:00,,,5325035.6500713,101321846.58167711 
 01/01  17:00:00,,,5325035.6500713,101321846.58167711 
 01/01  18:00:00,,,5325035.6500713,101321846.58167711 
 01/01  19:00:00,,,5325035.6500713,101321846.58167711 
 01/01  20:00:00,,,5325035.6500713,101321846.58167711 
 01/01  21:00:00,,,5325035.6500713,101321846.58167711 
 01/01  22:00:00,,,5325035.6500713,101321846.58167711 
 01/01  23:00:00,,,5325035.6500713,101321846.58167711 
 01/01  24:00:00,,,5325035.6500713,101321846.58167711 
 01/02  01:00:00,,,5325035.6500713,101321846.58167711 
 01/02  02:00:00,,,5325035.6500713,101321846.58167711 
 01/02  03:00:00,,,5325035.6500713,101321846.58167711 
 01/02  04:00:00,,,5325035.6500713,101321846.58167711 
 01/02  05:00:00,,,5325035.6500713,101321846.58167711 
 01/02  06:00:00,,,5325035.6500713,101321846.58167711 
 01/02  07:00:00,,,5325035.6500713,101321846.58167711 
 01/02  08:00:00,,,5325035.6500713,101321846.58167711 
 01/02  09:00:00,,,77096173.73402356,288413383.5430173 
 01/02  10:00:00,,,78312519.68668415,288413383.5430173 
 01/02  11:00:00,,,76845107.62966225,290713639.5430173 
 01/02  12:00:00,,,77298878.0488073,290713639.5430173 
 01/02  13:00:00,,,76649189.82677811,290713639.5430173 
 01/02  14:00:00,,,75028303.14139123,288413383.5430173 
 01/02  15:00:00,,,77691741.11165413,288413383.5430173 
 01/02  16:00:00,,,88742849.48205271,287263255.5430173 
 01/02  17:00:00,,,114281541.58793566,287263255.5430173 
 01/02  18:00:00,,,116862754.95892796,117393014.14742748 
 01/02  19:00:00,,,116862754.95892796,117393014.14742748 
 01/02  20:00:00,,,116862754.95892796,117393014.14742748 
 01/02  21:00:00,,,111083775.86580381,117393014.14742748 
 01/02  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/02  23:00:00,,,5325035.6500713,101321846.58167711 
 01/02  24:00:00,,,5325035.6500713,101321846.58167711 
 01/03  01:00:00,,,5325035.6500713,101321846.58167711 
 01/03  02:00:00,,,5325035.6500713,101321846.58167711 
 01/03  03:00:00,,,5325035.6500713,101321846.58167711 
 01/03  04:00:00,,,5325035.6500713,101321846.58167711 
 01/03  05:00:00,,,5325035.6500713,101321846.58167711 
 01/03  06:00:00,,,5325035.6500713,101321846.58167711 
 01/03  07:00:00,,,5325035.6500713,101321846.58167711 
 01/03  08:00:00,,,5325035.6500713,101321846.58167711 
 01/03  09:00:00,,,80688647.97340831,288413383.5430173 
 01/03  10:00:00,,,79496730.43954498,288413383.5430173 
 01/03  11:00:00,,,74224924.12200685,290713639.5430173 
 01/03  12:00:00,,,74376553.13275728,290713639.5430173 
 01/03  13:00:00,,,73056443.05515285,290713639.5430173 
 01/03  14:00:00,,,73490613.93793815,288413383.5430173 
 01/03  15:00:00,,,75783655.34767023,288413383.5430173 
 01/03  16:00:00,,,85085424.0880271,287263255.5430173 
 01/03  17:00:00,,,112786729.45977947,287263255.5430173 
 01/03  18:00:00,,,116862754.95892796,117393014.14742748 
 01/03  19:00:00,,,116862754.95892796,117393014.14742748 
 01/03  20:00:00,,,116862754.95892796,117393014.14742748 
 01/03  21:00:00,,,111083775.86580381,117393014.14742748 
 01/03  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/03  23:00:00,,,5325035.6500713,101321846.58167711 
 01/03  24:00:00,,,5325035.6500713,101321846.58167711 
 01/04  01:00:00,,,5325035.6500713,101321846.58167711 
 01/04  02:00:00,,,5325035.6500713,101321846.58167711 
 01/04  03:00:00,,,5325035.6500713,101321846.58167711 
 01/04  04:00:00,,,5325035.6500713,101321846.58167711 
 01/04  05:00:00,,,5325035.6500713,101321846.58167711 
 01/04  06:00:00,,,5325035.6500713,101321846.58167711 
 01/04  07:00:00,,,5325035.6500713,101321846.58167711 
 01/04  08:00:00,,,5325035.6500713,101321846.58167711 
 01/04  09:00:00,,,77778525.69473477,288413383.5430173 
 01/04  10:00:00,,,78733749.01457097,288413383.5430173 
 01/04  11:00:00,,,75249746.21887189,290713639.5430173 
 01/04  12:00:00,,,73281117.24102463,290713639.5430173 
 01/04  13:00:00,,,74424318.13373134,290713639.5430173 
 01/04  14:00:00,,,75042579.67071065,288413383.5430173 
 01/04  15:00:00,,,76947858.76638678,288413383.5430173 
 01/04  16:00:00,,,84934227.76310796,287263255.5430173 
 01/04  17:00:00,,,112206272.18132645,287263255.5430173 
 01/04  18:00:00,,,116862754.95892796,117393014.14742748 
 01/04  19:00:00,,,116862754.95892796,117393014.14742748 
 01/04  20:00:00,,,116862754.95892796,117393014.14742748 
 01/04  21:00:00,,,111083775.86580381,117393014.14742748 
 01/04  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/04  23:00:00,,,5325035.6500713,101321846.58167711 
 01/04  24:00:00,,,5325035.6500713,101321846.58167711 
 01/05  01:00:00,,,5325035.6500713,101321846.58167711 
 01/05  02:00:00,,,5325035.6500713,101321846.58167711 
 01/05  03:00:00,,,5325035.6500713,101321846.58167711 
 01/05  04:00:00,,,5325035.6500713,101321846.58167711 
 01/05  05:00:00,,,5325035.6500713,101321846.58167711 
 01/05  06:00:00,,,5325035.6500713,101321846.58167711 
 01/05  07:00:00,,,5325035.6500713,101321846.58167711 
 01/05  08:00:00,,,5325035.6500713,101321846.58167711 
 01/05  09:00:00,,,78103571.9015679,288413383.5430173 
 01/05  10:00:00,,,80606371.19594687,288413383.5430173 
 01/05  11:00:00,,,79398508.92198274,290713639.5430173 
 01/05  12:00:00,,,79245553.32788731,290713639.5430173 
 01/05  13:00:00,,,79359323.41842756,290713639.5430173 
 01/05  14:00:00,,,79912123.80665793,288413383.5430173 
 01/05  15:00:00,,,82376312.40825069,288413383.5430173 
 01/05  16:00:00,,,87628365.32649,287263255.5430173 
 01/05  17:00:00,,,112475959.74610692,287263255.5430173 
 01/05  18:00:00,,,116862754.95892796,117393014.14742748 
 01/05  19:00:00,,,116862754.95892796,117393014.14742748 
 01/05  20:00:00,,,116862754.95892796,117393014.14742748 
 01/05  21:00:00,,,111083775.86580381,117393014.14742748 
 01/05  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/05  23:00:00,,,5325035.6500713,101321846.58167711 
 01/05  24:00:00,,,5325035.6500713,101321846.58167711 
 01/06  01:00:00,,,5325035.6500713,101321846.58167711 
 01/06  02:00:00,,,5325035.6500713,101321846.58167711 
 01/06  03:00:00,,,5325035.6500713,101321846.58167711 
 01/06  04:00:00,,,5325035.6500713,101321846.58167711 
 01/06  05:00:00,,,5325035.6500713,101321846.58167711 
 01/06  06:00:00,,,5325035.6500713,101321846.58167711 
 01/06  07:00:00,,,5325035.6500713,101321846.58167711 
 01/06  08:00:00,,,5325035.6500713,101321846.58167711 
 01/06  09:00:00,,,77483326.98820823,288413383.5430173 
 01/06  10:00:00,,,78704117.86063293,288413383.5430173 
 01/06  11:00:00,,,77355967.60889468,290713639.5430173 
 01/06  12:00:00,,,76793735.35490358,290713639.5430173 
 01/06  13:00:00,,,75319276.46122509,290713639.5430173 
 01/06  14:00:00,,,75919932.98545082,288413383.5430173 
 01/06  15:00:00,,,78195299.44063771,288413383.5430173 
 01/06  16:00:00,,,85235081.47884539,287263255.5430173 
 01/06  17:00:00,,,112776658.09692314,287263255.5430173 
 01/06  18:00:00,,,116862754.95892796,117393014.14742748 
 01/06  19:00:00,,,116862754.95892796,117393014.14742748 
 01/06  20:00:00,,,116862754.95892796,117393014.14742748 
 01/06  21:00:00,,,111083775.86580381,117393014.14742748 
 01/06  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/06  23:00:00,,,5325035.6500713,101321846.58167711 
 01/06  24:00:00,,,5325035.6500713,101321846.58167711 
 01/07  01:00:00,,,5325035.6500713,101321846.58167711 
 01/07  02:00:00,,,5325035.6500713,101321846.58167711 
 01/07  03:00:00,,,5325035.6500713,101321846.58167711 
 01/07  04:00:00,,,5325035.6500713,101321846.58167711 
 01/07  05:00:00,,,5325035.6500713,101321846.58167711 
 01/07  06:00:00,,,5325035.6500713,101321846.58167711 
 01/07  07:00:00,,,5325035.6500713,101321846.58167711 
 01/07  08:00:00,,,5325035.6500713,101321846.58167711 
 01/07  09:00:00,,,5325035.6500713,101321846.58167711 
 01/07  10:00:00,,,5325035.6500713,101321846.58167711 
 01/07  11:00:00,,,5325035.6500713,101321846.58167711 
 01/07  12:00:00,,,5325035.6500713,101321846.58167711 
 01/07  13:00:00,,,5325035.6500713,101321846.58167711 
 01/07  14:00:00,,,5325035.6500713,101321846.58167711 
 01/07  15:00:00,,,5325035.6500713,101321846.58167711 
 01/07  16:00:00,,,5325035.6500713,101321846.58167711 
 01/07  17:00:00,,,5325035.6500713,101321846.58167711 
 01/07  18:00:00,,,5325035.6500713,101321846.58167711 
 01/07  19:00:00,,,5325035.6500713,101321846.58167711 
 01/07  20:00:00,,,5325035.6500713,101321846.58167711 
 01/07  21:00:00,,,5325035.6500713,101321846.58167711 
 01/07  22:00:00,,,5325035.6500713,101321846.58167711 
 01/07  23:00:00,,,5325035.6500713,101321846.58167711 
 01/07  24:00:00,,,5325035.6500713,101321846.58167711 
 01/08  01:00:00,,,5325035.6500713,101321846.58167711 
 01/08  02:00:00,,,5325035.6500713,101321846.58167711 
 01/08  03:00:00,,,5325035.6500713,101321846.58167711 
 01/08  04:00:00,,,5325035.6500713,101321846.58167711 
 01/08  05:00:00,,,5325035.6500713,101321846.58167711 
