Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,6465081103.39849,81446091.49379541,16510479047.319887,1505053743.343962,3529751214.9541,343366300.85817426,7820349433.8183565,186276.9036299933,21546386302.732525,94234033.80224317,6690816712.287777,54732111.404495366,17106767855.497438,1190768970.4542112,3596233270.404168,334197792.9157993,7842235043.4353,199408.212819028,21667260825.13078,104752010.69424298,6607931766.370286,64232878.92782719,16708269680.204063,1363985824.6566076,3583144374.2666445,339315446.42612237,7831106853.457269,306196.4174670265,14490202185.58542,51191966.62935516,7358838831.658431,11857019.658212392,6298977972.138949,1492714379.8780942,16413259345.609661,1866734.187963718,908887401.7252923,285127286.97176313,5684995953.038383,10277638.91224616,15036209901.66643,330151469.74070984,9480419832.802313,1148737746.2149925,1886320773.3173199,6319332032.213496,10605379007.45237,2140374049.4298086,16303994186.016417,95999876.13641274,187274190578.16223,822971693549.1425 
February,4363340736.81781,347049289.19159746,10466002675.449417,2670079830.474352,2097311913.7607834,505829499.00229156,5695048185.036988,31828547.965112273,15562901730.480358,275578331.83474594,4408742959.9812145,328330533.38609934,10353444026.711023,2530951434.272509,2104252484.4119036,515470496.1926467,5695487700.9822445,32323316.011356357,15581359417.86581,277270028.89386904,4396707612.424357,331463113.03692067,10264134135.198038,2654077491.305195,2113930537.3837552,514282878.71725017,5676907589.453537,35751321.28709951,10417815605.45577,182884182.00590843,5180828332.706456,108113353.11177728,3214480748.358181,2157147199.0224943,12529385415.754955,48273544.38676365,328940333.5032859,356516631.7260474,3326296517.986034,19915953.684667416,9278908569.021252,876414948.4698735,5791511005.053417,2227678792.326008,606624083.4646598,5446251322.610036,8203623802.807495,1403372563.6704755,11048881005.666056,530471768.5740304,165402228976.80176,591062523535.1892 
March,2944087842.606925,636625202.3226452,6497901791.059655,4252323373.3173203,1047314680.4403087,897064735.3439797,4068376419.776264,89731990.93081674,10757741818.969046,888948127.8782958,2975246974.624912,601677577.1489747,6458560650.93709,4108186953.720471,1064891612.2488883,920496207.5842432,4064267607.0608253,91645331.47107844,10759761027.248777,893397992.904491,2959352546.4439454,605239223.5408223,6430774191.499842,4320451109.373783,1067957376.0342451,910955802.2735397,4008374136.070348,104923548.17025599,7135040114.748576,644328909.2741543,3430028856.4190636,409918264.3416394,511973849.84344023,4087917351.3526683,11932697198.395605,39349493.26936084,0.0,1168573257.968525,1196266304.5662944,67272036.58240685,4694375899.37396,1914031863.3165581,2482893305.671664,4309441722.0648985,17615573.148417875,6138879167.384427,6394434609.346155,613398389.1602173,6789667417.300668,1665657766.4120219,184697066190.24048,446857616101.496 
April,1527481332.7748344,1048619933.7417012,3139463162.911021,5646906956.079828,318118678.47686535,1153657655.3399723,2122652618.5904758,518414722.1121474,5480505405.861153,2702903977.929397,1559765435.9130385,1010666442.1951327,3154593908.487717,5478340664.578733,330411290.09096223,1178489311.4645028,2121982667.4345047,522706917.6853112,5486675147.221614,2704395872.8925667,1528364036.8533053,1004380611.7829171,3112025330.3671327,5614065225.578965,327483911.4848918,1157914453.7501762,2054978707.53231,550839750.5465176,3571851302.1208315,1839235203.8823855,1730097083.407537,1130218424.9411232,66069652.298170224,5913158800.63685,6240440314.384245,302328112.37759364,0.0,2516240979.359853,232003005.22312132,621702529.5750216,1388716421.4961288,3498540706.655762,389305981.58405715,5084577329.420164,1700542.560019225,7522216247.970474,2889464065.0582423,1323729164.6514864,2620529489.3152556,2955864554.3125744,168163252942.02908,249461552290.7481 
May,440825015.7673638,1791355755.910338,778488599.1358359,8542433573.809233,12046780.812437318,1594333130.0087156,606469244.1171103,1344367185.752244,1286019665.3642297,6053817104.74276,455294089.18948394,1729569415.5039456,764642822.1652077,8299637444.6061325,13495533.410799228,1616880043.1348362,605047197.7631991,1342667823.769002,1286910096.7457187,6040974207.87715,440988453.5122214,1731984461.1501896,751019592.9262093,8463155286.639302,13602579.585463667,1602828324.0781224,572265643.8714051,1386536809.5013359,833138231.7836621,4097455375.5251994,408847130.7479982,2540521859.7223964,0.0,8731509141.922024,2805491636.4206767,1366376615.627377,0.0,4997760863.105961,0.0,2008296467.55303,65845919.26529212,6877541267.09815,17101715.676032916,7391974581.352593,1318757.5262073618,10575112708.8705,654186774.6061497,2671284858.055189,352076041.99506634,5871536209.875993,180155785597.388,113901336255.83067 
June,5726965.859376098,2600190794.955889,2866809.8976996467,11235585748.382488,0.0,2275847429.1967273,6118317.674211195,2149499123.351536,2649499.733321405,8889971032.211708,6506188.304318327,2503298973.419244,2954975.617979207,10805543279.233671,0.0,2228432166.900431,5966794.533518601,2135433835.776936,2424788.6655163765,8823000717.553543,5417816.423781551,2526635856.9548316,2225386.6705072066,11072101644.41264,0.0,2297202674.873284,3876992.259396845,2209260871.228081,458467.1007119266,6063761895.544309,3863686.474738181,4248728792.0489726,0.0,11266259601.52606,992122527.0068071,2688448522.4972706,0.0,6596396783.798694,0.0,3639490705.4960375,0.0,10823360050.646282,2229191.9161142055,9809187519.16738,1302579.4624257165,12004142589.765417,16230968.56337581,4249810960.098029,0.0,8996957517.20827,185452338882.1297,45149302962.59407 
July,8428521.681439314,2719792765.2628436,1882932.3609002985,11012806624.691826,0.0,1547984935.7963474,11887223.35237846,2197526926.1783357,9640300.285540521,8310794467.634979,9317862.84141058,2617639194.8764014,3118556.2765519763,10510718163.177567,0.0,1538778916.8534813,11707031.530651893,2181478029.8098617,9304395.697174722,8242478719.557589,8031930.902019009,2630694159.618736,2182477.340954624,10656687554.281288,0.0,1566340782.3919473,8564407.77870532,2254651239.9822493,3886949.910706378,5713151695.713905,4557226.411284355,3882898859.3083897,0.0,8013629023.042859,638140094.4056671,3373852373.4084516,0.0,4630446512.736456,0.0,2849316293.74091,0.0,9887068463.61757,1510700.7713664246,8875836897.131977,1097760.4101971688,11309350298.568111,7761580.847261737,4672352517.564245,104849.82140704723,8002639517.791591,151636968456.03403,40057113010.97567 
August,7916825.760463881,2781702700.5225587,10486656.122586517,11476019646.264828,0.0,1571992612.5729601,41651203.58511572,2008247172.973515,83444521.7473047,7551225843.259007,9946911.352793925,2689501287.1673493,12141387.187867783,10999669358.83882,0.0,1569646124.7878916,42873985.89663037,1995154688.3756452,85401879.55389713,7493602984.863259,9818942.85855669,2705997618.3695374,8868623.476979662,11140609990.414595,0.0,1580546406.5155275,38497482.25452957,2056933169.5097425,57558314.50771613,5141898292.264379,30292721.46381261,3351902271.9157405,0.0,7494030467.379238,827789928.5863208,3258127360.998564,0.0,4277043149.8262625,0.0,2367451113.8025436,0.0,9389316868.10014,4528276.3471628325,7869996289.62093,1226403.2632810134,11218612161.878891,12549390.926080087,4191690901.1748567,256113.74933981642,7204635636.1215315,153406986300.37817,49618857597.86876 
September,126731362.52186845,1890014863.136753,96528237.07127306,9068126864.632797,0.0,1464435229.349922,290425126.5656024,1249453215.1460233,425110795.4732963,5561990271.2709255,130888651.08231653,1842009491.926701,83593419.56793675,8870727793.90871,0.0,1487771686.4526188,292564490.70627385,1246724453.0881798,430561941.4977403,5536738876.0376835,130215097.10576445,1837907932.0304916,90049767.94964778,8930885469.898975,0.0,1461012951.4542909,287305780.4576916,1265557891.7722256,340205608.09039736,3636972178.577583,127637740.95735303,2428289170.34798,0.0,7258018138.574556,2369696093.0644665,1528428273.13739,0.0,4177659780.0416245,0.0,1565276544.3158383,0.0,6663390811.925962,25227007.0091579,6591581091.687053,1314010.1547401291,9138768953.59271,226615300.29948115,2622456212.647456,19925122.19589858,5223090224.562498,168936952478.6655,79654177336.16083 
October,1100533677.0879085,1142712073.3905253,1951542698.8395467,6747122567.995544,165815784.07903403,1298037740.657657,1614171943.8572564,498246525.5708042,3653330634.373393,3072212137.1381383,1111773800.5860286,1114246973.4200935,1927941879.6753607,6604247711.5097065,171422046.14938325,1328498902.835032,1616649795.5786018,498583687.46784705,3667694518.970717,3062315047.461595,1106474600.4456003,1114573255.9189143,1961716512.7984939,6708565524.012412,184545813.8235417,1293784542.5684805,1612891648.090702,509215481.4242414,2554857276.631881,1959006726.2203887,1187198923.8941092,1223902551.6537821,291784.5611921516,5923301485.809877,5374812766.977029,491157981.4348106,0.0,2337810597.5430946,68668172.96252689,434033625.75254005,868489231.9664398,3518739576.2895613,111160054.78801465,4842433786.552204,642907.5981531733,7631964983.110403,2613923467.0469637,1188445235.7167253,2005475456.8702316,2955413806.3169155,177686513555.51797,220349925025.58466 
