Time,VAV_POD_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Heat Cap [W],VAV_POD_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Sens Cool Cap [W],VAV_POD_1:DesPer 1:Des Tot Cool Cap [W],VAV_POD_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Heat Cap [W],VAV_POD_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Sens Cool Cap [W],VAV_POD_1:DesPer 2:Des Tot Cool Cap [W],VAV_POD_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Heat Cap [W],VAV_POD_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Sens Cool Cap [W],VAV_POD_2:DesPer 1:Des Tot Cool Cap [W],VAV_POD_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Heat Cap [W],VAV_POD_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Sens Cool Cap [W],VAV_POD_2:DesPer 2:Des Tot Cool Cap [W],VAV_POD_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Heat Cap [W],VAV_POD_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Sens Cool Cap [W],VAV_POD_3:DesPer 1:Des Tot Cool Cap [W],VAV_POD_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Heat Cap [W],VAV_POD_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Sens Cool Cap [W],VAV_POD_3:DesPer 2:Des Tot Cool Cap [W],VAV_OTHER:DesPer 1:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Heat Cap [W],VAV_OTHER:DesPer 1:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Sens Cool Cap [W],VAV_OTHER:DesPer 1:Des Tot Cool Cap [W],VAV_OTHER:DesPer 2:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Heat Cap [W],VAV_OTHER:DesPer 2:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Sens Cool Cap [W],VAV_OTHER:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Heat Cap [W],PSZ-AC_2:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Heat Cap [W],PSZ-AC_2:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Heat Cap [W],PSZ-AC_1:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Heat Cap [W],PSZ-AC_1:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Heat Cap [W],PSZ-AC_2:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Heat Cap [W],PSZ-AC_2:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.880412E+00,5.498586E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.804214E+00,2.756127E+04,6.260272E+04,1.870091E+00,5.468406E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.792553E+00,2.744667E+04,6.234241E+04,1.665705E+00,4.870752E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.496212E+00,2.453408E+04,5.572674E+04,2.193851E+00,4.542583E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.521323E+00,4.874973E+04,7.472349E+04,2.911486E-01,1.495969E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.390231E+03,7.956164E-01,8.650681E+03,1.262621E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,3.993094E+03,5.353416E-01,5.693267E+03,9.206598E+03,4.841118E-01,1.753802E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.873733E+03,3.881976E-01,4.069920E+03,7.329904E+03
00:20:00,1.880266E+00,5.498157E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.787076E+00,2.713238E+04,6.195208E+04,1.869942E+00,5.467970E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.775738E+00,2.702201E+04,6.170008E+04,1.665583E+00,4.870396E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.480692E+00,2.414971E+04,5.514169E+04,2.193633E+00,4.542763E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.502002E+00,4.837203E+04,7.432745E+04,2.910823E-01,1.495843E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.413671E+03,7.920470E-01,8.586715E+03,1.255951E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.014413E+03,5.442292E-01,5.772670E+03,9.297269E+03,4.840728E-01,1.753727E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.894415E+03,3.846767E-01,4.009264E+03,7.262220E+03
00:30:00,1.880120E+00,5.497732E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.770389E+00,2.671104E+04,6.131473E+04,1.869794E+00,5.467537E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.759362E+00,2.660471E+04,6.107067E+04,1.665463E+00,4.870044E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.465579E+00,2.377217E+04,5.456862E+04,2.193416E+00,4.542941E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.483114E+00,4.799925E+04,7.393649E+04,2.910164E-01,1.495717E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.437110E+03,7.885408E-01,8.523466E+03,1.249354E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.035732E+03,5.531454E-01,5.852460E+03,9.391928E+03,4.840341E-01,1.753654E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.915097E+03,3.812278E-01,3.949424E+03,7.195368E+03
00:40:00,1.879860E+00,5.496972E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.754133E+00,2.629692E+04,6.069007E+04,1.869532E+00,5.466771E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.743402E+00,2.619446E+04,6.045361E+04,1.665242E+00,4.869398E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.450846E+00,2.340109E+04,5.400684E+04,2.193100E+00,4.543204E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.464638E+00,4.763114E+04,7.355037E+04,2.909377E-01,1.495567E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.460549E+03,7.850957E-01,8.460911E+03,1.242829E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.057051E+03,5.043334E-01,5.280159E+03,8.714607E+03,4.839670E-01,1.753527E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.935779E+03,3.778487E-01,3.890378E+03,7.129330E+03
00:50:00,1.879678E+00,5.496440E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.738288E+00,2.588973E+04,6.007759E+04,1.869348E+00,5.466232E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.727839E+00,2.579094E+04,5.984835E+04,1.665089E+00,4.868951E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.436469E+00,2.303612E+04,5.345574E+04,2.192854E+00,4.543409E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.446558E+00,4.726754E+04,7.316898E+04,2.908809E-01,1.495458E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.483989E+03,7.817103E-01,8.399035E+03,1.236374E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.078370E+03,4.577788E-01,4.734124E+03,8.069591E+03,4.839332E-01,1.753465E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.956461E+03,3.745377E-01,3.832104E+03,7.064091E+03
01:00:00,1.879489E+00,5.495887E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.722844E+00,2.548926E+04,5.947690E+04,1.869157E+00,5.465673E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.712659E+00,2.539391E+04,5.925442E+04,1.664930E+00,4.868486E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.422421E+00,2.267692E+04,5.291456E+04,2.192602E+00,4.543619E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.428859E+00,4.690825E+04,7.279206E+04,2.908666E-01,1.495431E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.507428E+03,7.783836E-01,8.337825E+03,1.229988E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.099690E+03,4.559682E-01,4.692409E+03,8.024158E+03,4.839465E-01,1.753492E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.977143E+03,3.712926E-01,3.774579E+03,6.999626E+03
01:10:00,1.879500E+00,5.495918E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.707922E+00,2.518086E+04,5.897730E+04,1.869167E+00,5.465703E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.697988E+00,2.508849E+04,5.876094E+04,1.664939E+00,4.868511E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.408819E+00,2.239951E+04,5.246296E+04,2.192617E+00,4.543607E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.411743E+00,4.660836E+04,7.247639E+04,2.908720E-01,1.495442E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.523055E+03,7.751448E-01,8.285425E+03,1.224508E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.113902E+03,4.541225E-01,4.657367E+03,7.985781E+03,4.839501E-01,1.753499E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,3.990930E+03,3.681471E-01,3.725077E+03,6.943504E+03
01:20:00,1.879510E+00,5.495948E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.693409E+00,2.487811E+04,5.848854E+04,1.869178E+00,5.465734E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.683718E+00,2.478859E+04,5.827808E+04,1.664947E+00,4.868536E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.395573E+00,2.212709E+04,5.202089E+04,2.192633E+00,4.543594E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.395026E+00,4.631301E+04,7.216550E+04,2.908774E-01,1.495452E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.538681E+03,7.719726E-01,8.233781E+03,1.219107E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.128115E+03,4.523171E-01,4.622781E+03,7.948130E+03,4.839538E-01,1.753506E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,4.004718E+03,3.650788E-01,3.676454E+03,6.888331E+03
01:30:00,1.879520E+00,5.495978E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.679289E+00,2.458075E+04,5.801013E+04,1.869188E+00,5.465764E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.669835E+00,2.449402E+04,5.780545E+04,1.664956E+00,4.868561E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.382676E+00,2.185952E+04,5.158807E+04,2.192648E+00,4.543582E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.378703E+00,4.602213E+04,7.185928E+04,2.908827E-01,1.495462E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.554307E+03,7.688656E-01,8.182878E+03,1.213783E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.142328E+03,4.505508E-01,4.588634E+03,7.911120E+03,4.839574E-01,1.753513E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,4.018506E+03,3.620874E-01,3.628702E+03,6.834098E+03
01:40:00,1.879530E+00,5.496007E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.665542E+00,2.428857E+04,5.754160E+04,1.869198E+00,5.465794E+04,9.442571E-01,0.000000E+00,0.000000E+00,9.442571E-01,0.000000E+00,2.656327E+00,2.420461E+04,5.734269E+04,1.664964E+00,4.868586E+04,8.304404E-01,0.000000E+00,0.000000E+00,8.304404E-01,0.000000E+00,2.370122E+00,2.159669E+04,5.116431E+04,2.192662E+00,4.543570E+04,1.565733E+00,0.000000E+00,0.000000E+00,1.565733E+00,0.000000E+00,4.362763E+00,4.573559E+04,7.155760E+04,2.908879E-01,1.495472E+04,2.508183E-01,0.000000E+00,0.000000E+00,2.508183E-01,4.569933E+03,7.658224E-01,8.132700E+03,1.208534E+04,2.281295E-01,1.290609E+04,2.281295E-01,0.000000E+00,0.000000E+00,2.281295E-01,4.156541E+03,4.488211E-01,4.554902E+03,7.874676E+03,4.839610E-01,1.753520E+04,2.213103E-01,0.000000E+00,0.000000E+00,2.213103E-01,4.032294E+03,3.591725E-01,3.581820E+03,6.780807E+03
