Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,6543034917.589151,70053886.41501081,16848602824.181889,1214044860.1754243,3756606365.8585405,280423774.99147844,7842072098.490646,116448.24881384915,22062298071.22452,32231023.487544566,6773426972.957551,46606909.869826734,17438802052.80586,917556649.2892946,3843587606.543167,270220239.01939934,7858246228.850267,122013.96070595185,22153913277.7646,33723276.7641361,6690023642.350157,55322671.9000708,17047891681.178658,1080559297.3672857,3814889031.0731034,274784090.66667664,7857126323.291334,117166.40070715373,14853800779.639147,17747909.44430975,7552459106.030871,5623352.739157656,6784977700.888608,1208926828.1358716,16270366723.644936,2042089.0570907895,1247139912.042081,159050720.95626295,5889936336.443478,7831232.981632879,15577290249.689919,252356934.9931308,9373366461.213541,731519936.0233848,1861786539.632098,6124243383.869033,10538248505.132605,1844051108.7344007,16763829777.739464,62506304.89591421,174638363135.19724,813987172550.1667 
February,4414175578.088292,321702071.27895415,10702347054.627607,2388015839.3038974,2243445223.114426,440873414.3403955,5733721857.627409,24670641.30291515,15958137225.879183,187771943.53607446,4458155721.685074,303822705.6308419,10568884632.062292,2254065673.59149,2254390451.8999863,447588612.5810628,5731237130.315498,25063081.21868764,15960519640.904371,188373562.61208522,4446957038.918112,306817615.8537845,10484551300.052275,2375438753.7301545,2256564002.2926016,448093737.5048514,5715405961.312057,27931320.49800264,10679752516.139997,128716337.22017914,5326216421.239749,80596187.18055028,3552592686.3043427,1848397686.041326,12464210503.348654,46895448.62080597,488700148.71370596,179383414.37894008,3489820611.339057,16868169.04744091,9637369890.042194,752784697.9241121,5660655860.189364,1841732627.3624501,584213780.152742,5240044798.249593,8183586329.799764,1222886032.6158361,11377259931.925602,437355338.27937704,154050906978.82645,584282948534.2755 
March,3001220331.9453273,584601112.8322117,6746184829.583021,3899605978.294871,1153863655.0025642,805374371.2169715,4150248896.635591,69514358.37895747,11154671494.26454,699952890.2766598,3033842093.724205,551132073.9974037,6706248146.855833,3758088300.343501,1171824284.4983807,825960024.9973232,4145845236.069148,71220227.46192661,11156039771.773834,704508338.3124781,3019064705.4315476,554522958.8062584,6673737408.196742,3964586374.3161664,1174050956.7128966,817851806.5651587,4089060340.162152,83195348.89681534,7391420856.283277,518952168.3270146,3552159072.1214595,333179883.3263639,686848222.8818032,3624699277.5541058,11929836103.561392,35440367.61980982,0.0,651254864.7226437,1321034180.5144675,50225215.51647417,4954249291.203795,1697303000.3109803,2418795732.0439997,3917596510.5942864,22301357.715543535,5890446019.021118,6401751635.973827,521376843.44741386,7043451390.901452,1435547558.6563783,171837433363.0881,443057786393.526 
April,1559440784.643257,974810780.7697631,3289713294.1677766,5237630526.66739,371287042.81512254,1034168093.3068105,2170197403.6866655,466223457.1378227,5712438258.827188,2402050979.4257617,1587501194.734528,933943717.5815881,3300929688.702338,5057967346.222644,385142730.8299988,1056865242.4853358,2160481965.8187304,467653450.7708051,5690882205.543379,2398305377.855856,1576435926.2754977,928320536.53773,3288017148.413383,5178364199.8599615,383377648.64500266,1038660610.4362522,2117363692.3535519,495105105.5092578,3761240677.462175,1636756741.7363803,1805056041.0128505,1016359274.5135679,85557701.33450384,5207732589.258979,6254225655.4367075,247031038.51402923,0.0,1932150310.6414156,261046515.05850673,410739478.9968138,1464195187.7788398,3013644604.5654993,381867088.8277651,4850252923.283789,1639189.3206142134,7142710951.015876,2846157770.8802767,1332073783.2589037,2746122581.825404,2636784480.2607884,156097634253.62515,247468979639.42636 
May,464740898.41141206,1661866432.5129442,863360883.4453716,7929091563.441694,18915453.930448096,1404407671.765945,637688459.6651144,1236766689.7606068,1401672308.3553276,5547999662.380772,478954966.4512126,1605692945.0145192,841401795.1143384,7717901568.985869,20506896.66545163,1431587884.652655,635073606.1800495,1237994677.3890817,1397543237.3930328,5545434927.0265045,472384676.39135903,1604713207.6036315,853408601.021543,7854152854.432791,22243038.350790862,1410066330.1170542,610059157.4928459,1276129495.295587,930359508.6958158,3749940518.8790126,428224396.01978755,2350868621.6688366,0.0,7678237857.810348,2802156166.9551997,1226131408.1460571,0.0,4350633488.498488,0.0,1626887695.9415548,74503945.81792015,6084778716.789138,19245485.676207554,6927357191.691183,965802.531424288,10233858755.359903,628592829.5310766,2607143972.1548586,369313514.7318612,5263099085.812702,167716278760.61508,113534709530.75972 
June,5557849.368562011,2419924837.5272555,2858648.8948864806,10458626110.159334,0.0,1885192879.8296525,5756122.816773314,1998949875.0133507,2191297.8527693893,8189223030.748179,6315634.786552148,2338335739.982214,2932548.780990256,10114555886.590097,0.0,1850621834.3199048,5733792.270956132,1994899338.088393,2175082.93195454,8161495763.783312,5297334.035604575,2354389105.4706016,2060969.9223579774,10317190685.300112,0.0,1910410129.9206607,3748670.1675095633,2057051453.9148407,301208.64107487624,5592316330.09401,1540878.0512305696,3995086670.7452807,0.0,10190880790.38006,969577056.7740394,2450208560.7523847,0.0,6128540538.729101,0.0,3266413240.5651026,0.0,9947506934.05019,1444484.9317954676,9195529867.225952,1299885.2860993654,11774720920.570711,16549878.715176035,4035833110.8146663,0.0,8210178383.755697,173114071334.05533,44639831498.384766 
July,6405877.356689237,2566049071.4490957,1287934.4518037573,10414103801.570957,0.0,1378402799.5487037,9563955.745374724,2068561365.7408304,6731587.667559986,7788315907.077639,6936400.4693470895,2460451979.7530074,1266680.5052481664,9905794903.788267,0.0,1372874785.6462822,8878649.44129813,2046964412.7438648,5952889.3136499375,7699653624.128095,7427721.757852237,2475836512.756444,718286.1261044017,10052505859.51327,0.0,1392403849.4432127,8093678.728397503,2118286252.6116679,2575973.043055797,5336256938.024411,399655.5099232154,3698434088.679947,0.0,7347016931.856442,614814053.7949382,3094843005.161472,0.0,4266099588.901517,0.0,2562299887.5674634,0.0,9211660891.755947,2563978.19268631,8449678097.830692,1073583.9535180852,11169381802.552788,8973761.60103591,4423454716.630157,0.0,7423135719.890962,142500718288.40643,39020113699.40384 
August,7400919.502728799,2643862678.1346197,8701341.484610323,10905769612.398365,0.0,1420684699.328963,41493731.931524925,1902362489.8235078,87221802.38981567,7137127773.981316,9269913.821766583,2551708443.219059,10404286.22058266,10444702910.346237,0.0,1427012876.9349885,43560365.19207853,1888126774.165409,89033397.9212061,7073831220.51261,9041357.009486152,2566937365.488057,8801874.118438797,10571429980.494755,0.0,1432091037.396852,38171376.175616495,1945494238.8285413,60403085.17316244,4847189035.746695,22685140.88496825,3191985910.9959426,0.0,6796148876.838599,793655744.270942,2942935318.5345263,0.0,3884642225.0017896,0.0,2104470204.2312715,0.0,8684373971.611876,5740659.938734071,7502491031.290341,1269237.5955743913,11037883970.193802,12036205.380314637,3992515771.8365893,0.0,6603347837.454528,143980515075.049,47909883455.953125 
September,131734506.4035294,1766409803.536508,109856873.86164063,8472818744.964859,0.0,1284916372.9192348,303186111.8830365,1155435761.3392606,478911922.9398482,5132859912.9112005,136145851.95389703,1718796794.0060883,95103430.28662297,8292200487.411529,0.0,1313938435.413034,305706242.984896,1151100113.5708063,489667059.15889406,5104422401.979839,136805790.55634978,1722038248.9305856,103630438.16733104,8367189437.6130085,0.0,1290846376.2899945,302727391.0669986,1173596867.6614738,386497148.8616899,3353384737.7186427,129319083.00756131,2216889014.006552,0.0,6210144099.7237625,2335355898.954769,1295414410.3328853,0.0,3565261217.6819663,0.0,1230501732.9440608,0.0,5765960618.447429,24180952.539283395,6281310307.825965,1181413.5219785532,8767329436.926407,186684617.75213245,2625839694.1460094,14251793.325803237,4587218773.952627,157044348331.93832,78674577983.14697 
October,1113845310.0845072,1057127120.6405851,2033244147.3615575,6265662158.000076,198697008.0225439,1164984770.4365706,1646501845.1485314,442570960.94230855,3811223015.833795,2729105942.4443073,1124670158.941499,1032353709.81359,2009140784.5983286,6140529887.218289,204825811.21505988,1194741306.2421107,1647316450.8655024,447265341.69729,3819847406.8739777,2732049268.089396,1129494020.6647677,1034961411.9882058,2060041632.6304893,6236593681.717309,218133679.5172465,1160173417.7529466,1651173599.1374187,456899039.21894413,2679720535.2413616,1746806780.6541588,1277076940.2121906,1090685167.3750384,3268009.6321031167,5285689620.657151,5420878934.829305,412435789.41555023,0.0,1769793104.792637,104434269.1955069,244941461.11954576,1002306683.310853,3090829224.7622433,139308608.10274088,4629869995.383915,850176.0720318271,7272120199.14633,2515839673.1470666,1201969598.2450876,2181941008.603005,2621353510.3585134,165240114535.0097,218266073214.3623 
November,3040668249.234521,323705746.4030694,7106756574.21371,2515034610.1937675,1179257487.1929052,664827055.5746032,3599145445.937119,63569763.56221786,8918934903.940914,816701124.1994752,3090961332.5911055,293843582.1145572,7122519462.556442,2300227841.0015044,1198744716.999478,675973651.8561168,3600461103.3056707,63868249.64892443,8935073211.555838,813143459.4293542,3076473163.633659,303161117.90044874,7104876328.756048,2494534724.95748,1219072348.8849218,666373887.7690003,3608578291.0289793,66113088.22988906,6079366863.484197,507553629.5100475,2930783352.1059117,320092998.7014228,881950313.6785506,3185254361.5300636,10140046325.198555,39027742.96506242,4051541.0341861746,467029378.43729275,1260843556.0153978,41453730.98628176,5457243631.590943,1182596495.5015218,2201565334.32832,2463963010.9201136,16123819.676087398,5696545475.540563,6078354752.058258,257478316.309646,6384953169.3508835,1077816677.9723034,166320003394.8726,408418491436.62506 
December,5680089629.129248,41487147.4271562,14301789166.922096,823009693.2628775,2787681583.091421,355173625.667143,6718036986.57381,428578.9447623889,18131128543.35193,10985045.321065135,5920342332.594191,13028763.921950607,14862419846.738615,502234935.545276,2877857741.7367835,342334249.84135365,6723423184.672016,429741.97761657264,18166406187.07649,10742421.032001605,5830083258.849507,22558179.627428956,14531112130.011606,674413814.828062,2873459846.058019,343335219.6999227,6734323464.791329,433112.5384531107,12242239432.245707,5065415.689575133,6076817806.842871,3874613.4257194707,4481925664.102161,1592801604.7226708,14918017450.613031,4674801.092478601,587552041.4627293,87302133.45163742,4320421089.753272,11392903.541340215,12626324540.288147,249371965.884911,7304085649.352564,1369229139.458918,531670255.0896394,5514761202.301533,7409941971.153337,799228165.5072706,13420019084.629826,53046712.69775482,170576621813.9212,687938464567.7601 
