Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,58003351.68899866,58003351.68899864 
 01/01  02:00:00,,,75519352.66972604,75519352.66972604 
 01/01  03:00:00,,,54106000.0053204,54106000.005320415 
 01/01  04:00:00,,,59895318.80231652,59895318.80231653 
 01/01  05:00:00,,,67486582.8153044,67486582.8153044 
 01/01  06:00:00,,,87711653.04218635,87711653.04218629 
 01/01  07:00:00,,,155958271.1968443,155958271.19684428 
 01/01  08:00:00,,,162566230.1695687,162566230.16956863 
 01/01  09:00:00,,,168118233.7406124,168118233.74061227 
 01/01  10:00:00,,,144896623.60540783,144896623.6054078 
 01/01  11:00:00,,,131125699.56168462,131125699.56168455 
 01/01  12:00:00,,,136986221.32306612,136986221.323066 
 01/01  13:00:00,,,116358967.45367706,116358967.453677 
 01/01  14:00:00,,,104861768.490469,104861768.49046896 
 01/01  15:00:00,,,111467987.29500076,111467987.29500075 
 01/01  16:00:00,,,114836528.31917591,114836528.31917582 
 01/01  17:00:00,,,136034303.5919392,136034303.59193912 
 01/01  18:00:00,,,157509966.17184383,157509966.17184377 
 01/01  19:00:00,,,189877248.3007578,189877248.3007577 
 01/01  20:00:00,,,178849754.74717894,178849754.7471789 
 01/01  21:00:00,,,172104869.6498543,172104869.64985424 
 01/01  22:00:00,,,147842839.1371989,147842839.1371988 
 01/01  23:00:00,,,130807331.24597797,130807331.24597791 
 01/01  24:00:00,,,95351871.08911356,95351871.0891135 
 01/02  01:00:00,,,78233306.73632807,78233306.73632805 
 01/02  02:00:00,,,62967541.87175067,62967541.871750675 
 01/02  03:00:00,,,67912035.00501765,67912035.00501768 
 01/02  04:00:00,,,54008716.991695665,54008716.99169569 
 01/02  05:00:00,,,62351551.44493484,62351551.44493486 
 01/02  06:00:00,,,101966959.36020756,101966959.36020753 
 01/02  07:00:00,,,157043806.37327522,157043806.37327513 
 01/02  08:00:00,,,163369150.9293268,163369150.9293267 
 01/02  09:00:00,,,159238260.1132336,159238260.11323348 
 01/02  10:00:00,,,141271957.2045827,141271957.20458263 
 01/02  11:00:00,,,145307587.89354372,145307587.89354366 
 01/02  12:00:00,,,123653341.12701432,123653341.12701426 
 01/02  13:00:00,,,115009520.36542198,115009520.36542189 
 01/02  14:00:00,,,120176514.78913125,120176514.78913122 
 01/02  15:00:00,,,104631588.81454867,104631588.81454869 
 01/02  16:00:00,,,122463826.7479894,122463826.74798934 
 01/02  17:00:00,,,128906181.939695,128906181.93969494 
 01/02  18:00:00,,,165387444.75175256,165387444.7517525 
 01/02  19:00:00,,,182163505.76617604,182163505.766176 
 01/02  20:00:00,,,182569444.12123963,182569444.12123957 
 01/02  21:00:00,,,172018773.83018076,172018773.83018073 
 01/02  22:00:00,,,147806593.2518876,147806593.2518875 
 01/02  23:00:00,,,134972345.7738681,134972345.77386808 
 01/02  24:00:00,,,95258747.25161171,95258747.25161162 
 01/03  01:00:00,,,78748300.98032151,78748300.98032148 
 01/03  02:00:00,,,55914988.257143945,55914988.25714397 
 01/03  03:00:00,,,61298088.87348058,61298088.87348058 
 01/03  04:00:00,,,67222495.31718008,67222495.3171801 
 01/03  05:00:00,,,63095879.24826391,63095879.248263925 
 01/03  06:00:00,,,89628043.23536873,89628043.2353687 
 01/03  07:00:00,,,171764689.50008398,171764689.50008392 
 01/03  08:00:00,,,164613926.44995454,164613926.44995448 
 01/03  09:00:00,,,157781215.00743398,157781215.00743395 
 01/03  10:00:00,,,148789959.45865655,148789959.45865652 
 01/03  11:00:00,,,148921344.69665727,148921344.6966572 
 01/03  12:00:00,,,127216087.03234646,127216087.0323464 
 01/03  13:00:00,,,117833130.12038457,117833130.12038448 
 01/03  14:00:00,,,116595277.07047695,116595277.07047687 
 01/03  15:00:00,,,114975451.83493792,114975451.83493786 
 01/03  16:00:00,,,109239835.57872997,109239835.57872991 
 01/03  17:00:00,,,136541926.28787002,136541926.28786993 
 01/03  18:00:00,,,181194531.514655,181194531.51465496 
 01/03  19:00:00,,,184221750.3615675,184221750.36156744 
 01/03  20:00:00,,,180442487.54399505,180442487.54399496 
 01/03  21:00:00,,,163655350.23682398,163655350.23682392 
 01/03  22:00:00,,,162705429.42059934,162705429.42059925 
 01/03  23:00:00,,,136314142.37499875,136314142.37499863 
 01/03  24:00:00,,,96681408.4438897,96681408.44388962 
 01/04  01:00:00,,,73041709.64756936,73041709.6475693 
 01/04  02:00:00,,,64451330.15780406,64451330.15780406 
 01/04  03:00:00,,,62924094.69621645,62924094.696216464 
 01/04  04:00:00,,,68756382.50272977,68756382.50272977 
 01/04  05:00:00,,,64454443.141177475,64454443.141177475 
 01/04  06:00:00,,,90961811.07928465,90961811.07928461 
 01/04  07:00:00,,,157810642.92518184,157810642.9251818 
 01/04  08:00:00,,,182103046.08564642,182103046.0856464 
 01/04  09:00:00,,,154539039.78158247,154539039.78158242 
 01/04  10:00:00,,,154787435.63886535,154787435.6388653 
 01/04  11:00:00,,,148751519.61499044,148751519.61499038 
 01/04  12:00:00,,,127091886.44108085,127091886.4410808 
 01/04  13:00:00,,,117240157.44159558,117240157.44159554 
 01/04  14:00:00,,,115996761.93785676,115996761.9378567 
 01/04  15:00:00,,,101263527.03506996,101263527.03506993 
 01/04  16:00:00,,,118990192.06971785,118990192.06971781 
 01/04  17:00:00,,,140535965.71691176,140535965.71691167 
 01/04  18:00:00,,,181829941.96445882,181829941.9644587 
 01/04  19:00:00,,,184742620.11474675,184742620.1147467 
 01/04  20:00:00,,,181340426.5574993,181340426.5574992 
 01/04  21:00:00,,,165041003.11492878,165041003.11492866 
