Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2124786848.9675837,3428698.3546954095,2680508213.457458,0.0,1641723860.211258,309425168.0145099,2636866102.934732,0.0,1334773401.5720985,0.0,1333057556.0314426,0.0,828595800.5323659,24986145.557453677,1115208282.9069362,12317541.415648831,1628561016.3379543,22537325.307165347,2167903167.5186872,7952.365903948588,1583342497.8834717,23757342.001239732,2120905878.7146294,0.0,792046732.9201775,20166957.752454787,790236559.6327667,20087609.122483894,406729904.4516472,150464577.26093173,405392275.4542659,150872556.502244,3568414986.7282877,9524077.400249306,4145081732.6501074,0.0,3515837112.5312967,9708256.957319021,4092083886.0660553,0.0,2447757157.31828,0.0,2445768504.5338564,0.0,1902123186.6724095,31076302.691503357,1900396883.4009693,31247212.62884179,0.0,0.0,0.0,0.0,0.0,0.0,94014277807.01952,96058023609.48593 
February,2070294764.002452,490709.3620305358,2585669981.918619,0.0,1613985023.5804815,304601746.1809486,2596201280.065057,0.0,1364821767.9964912,0.0,1365337627.8586318,0.0,878114795.0995831,13410104.005862018,1143942102.5497928,4948781.5089643765,1447102610.1530774,27111743.615270954,1926667004.280819,240864.79361212332,1453647113.7397594,25028626.48283675,1937052681.3152628,0.0,727799553.8174802,12934021.986889476,728229732.4320487,12736103.448110828,372254124.6154432,134946716.11953574,372584355.1846048,134421038.33821154,3203929532.758778,15340757.054278133,3709410182.3762527,0.0,3210458875.0086145,13501723.929817196,3720701122.2567844,0.0,2227889015.0061555,0.0,2228691292.137061,0.0,1753013276.518501,38677671.17444438,1754035590.1778834,38588338.429801226,0.0,0.0,0.0,0.0,0.0,0.0,85274113993.94061,90806997421.56729 
March,1344867647.6767228,51321011.28718056,1845513633.039777,13205135.459278256,1127790096.816425,260477610.72815174,1843583587.7186356,12390194.66275605,881776920.5639321,31496685.962841637,882198129.7414057,31428781.269124746,493444404.75911623,117568533.1641438,655678508.2924058,91195200.14062983,708397631.0848267,259701402.7774647,1028696307.2799492,111907984.3103074,698913900.4956328,253732838.4944706,1024421514.5894514,109201942.1467125,336958798.8465314,199451310.27518085,337133116.5970622,199059046.67746434,153059829.50562558,432951817.4823133,153421168.87993813,433345635.78016996,1895066848.5544324,168217432.60574412,2307280512.6010137,55604321.52667078,1875549748.967629,149010477.20071754,2291362478.2819757,50940225.14001187,1274115052.261272,75664796.03468348,1275007588.6807144,75521153.34341781,929282947.6171618,217132392.9404025,930158187.4002212,217566216.4262759,0.0,0.0,0.0,0.0,0.0,0.0,92241532419.90813,53069594914.484 
April,398975642.6253633,99825591.7787655,685575933.0847092,41134238.556242205,450316302.9136969,173175968.14731076,649852046.4645947,40774436.7369172,186173638.4964762,98468940.19475609,185307847.3976912,99133398.46661092,48203795.95273157,228818724.0550596,83426192.92313287,197770737.42635566,16214623.280801529,510381291.40718347,74208602.68524453,304078323.756366,15966605.779089633,513713585.3015675,67990463.77781607,323553372.4468403,1754684.6558368034,444299696.7634892,1865833.3314205273,445137755.23697394,3797.7271819106927,669204912.089406,3855.39482203427,672606519.7863917,634535797.3749475,318370581.95797276,806003287.3662435,142925056.483909,600569845.1774344,298146982.9611802,765164824.9773898,134111925.85939209,328276194.3100286,177180691.39181593,327613219.8125191,176828153.33548352,215602939.86767703,381334921.7729123,215581291.71666995,382511345.44595414,0.0,0.0,0.0,0.0,0.0,0.0,86859120945.95494,13614067754.455751 
May,6776543.4617862115,376966290.2778263,27733636.729018413,265904170.29914021,156435479.06169552,203154989.0030553,28370196.60685745,271539863.15796715,1071919.7453676849,329592464.453318,1056439.7562135628,329652471.0890056,696035.2308076948,424424991.0172104,735531.7525354669,412486447.117301,112465.01879992151,1313288456.6854935,80081.6830142543,1042406050.2198422,53680.314569397546,1314499623.3258371,45679.15031269191,1042953513.3662844,68845.94605332016,1042544933.1843098,69691.51176346255,1041046838.357182,91732.8826159619,1331835367.4720502,90242.48857982694,1332785384.845977,36391436.4893836,1012710564.8033313,44932868.15484398,810047054.9076587,26664636.42463016,1005713517.1042645,34474853.90072764,803130362.0514721,3894010.9109329917,768610899.4893682,3452765.695321299,769650390.8226628,1407088.9635999373,975515890.206912,1145658.7271621795,977366955.4245471,0.0,0.0,0.0,0.0,0.0,0.0,94091921518.219,610057749.1739568 
June,494129.6389818741,1029540476.015357,645149.4916316549,889295615.057442,188313223.14194453,697479876.8252318,439801.1050941916,900096905.0161399,665893.3661767076,901777338.4513512,656824.8189047239,903913555.2992818,481537.64988856897,1050977831.3673358,481062.8159724311,1063945300.1749929,208574.98058039104,1976978720.9626255,211786.3860456192,1809990595.9026582,114651.2125732311,1995826414.2608619,110519.11061390575,1823124105.0177383,207386.73251562973,1582768256.086846,205137.72133132137,1585098702.579416,169057.57214314962,1745590106.5008683,162707.63203658324,1749504991.9210002,140865.42922738605,1856792807.5664084,154727.5018160309,1688365751.1512768,68788.21778885151,1860605536.0791178,64619.27225808288,1691922855.1535318,129640.25374442161,1492213631.0121987,107879.69923489,1497615009.066787,103306.13418983202,1654054002.7225065,97427.64803250475,1659549208.9957054,0.0,0.0,0.0,0.0,0.0,0.0,99530914452.61282,0.0 
July,565553.3310482295,1902281141.7314756,704240.050135596,1693412720.6845927,295659213.52765757,1104307092.2439816,422730.6348611872,1625785052.9951942,818918.4947089433,1471771943.3918078,805429.5784042052,1470988474.6413603,665261.0608348185,1688571840.6892593,626683.5642555408,1756698643.6985152,347247.9436603451,2742818334.217301,386339.21643420623,2508926712.703478,223216.8271723479,2669029098.0954475,190876.6331367694,2435249811.860302,373917.3692140139,2027316052.11607,353345.16144079977,2027962863.7975266,341392.8105582715,2262466756.9879713,329280.6684277098,2263418968.731802,306581.77224322263,2817580346.238165,316805.64038647595,2566843583.2958465,161376.41061725054,2725975759.868326,126895.20742322724,2473570570.788114,268659.1123567675,2100861161.5783527,255488.017241004,2103150328.7564728,285887.92693677126,2349064678.8671603,276786.2754635335,2350523028.4719253,0.0,0.0,0.0,0.0,0.0,0.0,112042383192.2103,0.0 
August,212410.19943554548,1717807385.6035283,291477.9956501073,1355965724.2865353,185710086.39389977,1247223292.2275016,199549.98660382334,1355199747.228612,423082.37617119553,1243607110.2413301,399337.75508164614,1247883574.3343916,238797.72710434257,1615366185.2032132,234433.19407985552,1661735599.07014,193061.29973971343,2293230695.1673503,220335.77361808912,1887215998.546892,99251.39776344835,2311138439.2196245,116752.21956302374,1907469973.3720798,207685.20638004385,1626066155.1468933,200252.44739187602,1634984283.427213,145789.41122931574,2030058231.9022012,143008.3377904151,2038388852.1399412,178769.81540285706,2196036097.356294,205934.6044934059,1768324976.5764794,91291.70137706836,2185080896.6767793,95495.66930672173,1762789059.8228257,158857.2478039488,1536656236.5322044,150732.38239571176,1545778553.503186,127056.6754726199,1966274857.6821597,124471.07861447596,1974075532.0339248,0.0,0.0,0.0,0.0,0.0,0.0,105024055160.92397,0.0 
September,88115.94078288238,1244043763.089512,176656.5132965525,826512875.6648307,87185145.74710876,847368340.643839,119611.3634155887,818984031.1946529,250944.23443273184,865432218.2180549,245492.38840837704,866168751.6028497,93328.92781711335,1338715477.1275482,91115.6133514317,1350197727.29786,88056.55282833871,1566028881.464729,138968.75662281868,1089269749.8758414,32840.18705291668,1563270776.7053561,72113.27368337601,1073713887.9192353,145444.744718515,1106120435.520499,141528.67529576668,1107231185.7582319,56464.97037011859,1617991293.6390867,55184.65648891515,1619095870.4781744,10047440.667580063,1250416845.1295676,18819123.02663297,837114359.0686684,9169194.067960007,1238675135.9476538,17844089.619261023,824357020.5275009,182604.2946602179,821926115.100239,303958.32846703846,823330001.1797836,46045.25626945501,1269195813.0550451,38837.912996036124,1272073863.922305,0.0,0.0,0.0,0.0,0.0,0.0,93479661766.24672,137395301.93038943 
October,2987152.1162776966,651167544.1098448,26815345.5955961,391658731.1298384,47177059.65536188,510844036.37209725,23289075.57960183,383920225.2907476,90906.1572014466,504231465.01559424,89679.46773168509,505356848.0631158,11577.698918452163,862965724.9238571,11861.49281465586,829456442.2302464,17886533.66023888,781975136.5765175,39564738.25839717,464393384.68581045,16671449.567531945,792467375.5110567,35082481.130855925,456202338.97427726,60487.431022977624,612045326.4216589,58791.67112347951,614657332.2206101,2192.977847797697,1051906851.6120003,2181.8884821693314,1055376863.4740615,389148116.7149179,462832651.96657634,505129709.80174655,213492126.4497588,372327899.85405177,452525394.0702067,479861187.79110765,206904955.1738136,171646464.17542514,262973976.39845732,171023862.2723886,263599707.33134958,114822305.55393846,533550415.15457845,114428429.35135484,536541618.3724773,0.0,0.0,0.0,0.0,0.0,0.0,88812384460.39702,4761841980.125314 
