Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,25828250.429478176,25828250.42947817 
 01/01  02:00:00,,,45696251.473413,45696251.47341299 
 01/01  03:00:00,,,25481185.178226568,25481185.178226557 
 01/01  04:00:00,,,32117858.770597894,32117858.77059789 
 01/01  05:00:00,,,38665298.99466049,38665298.99466048 
 01/01  06:00:00,,,54076557.43068239,54076557.430682376 
 01/01  07:00:00,,,114897765.41396572,114897765.41396569 
 01/01  08:00:00,,,114731199.04545188,114731199.04545186 
 01/01  09:00:00,,,121260591.48611966,121260591.48611966 
 01/01  10:00:00,,,98560941.80732909,98560941.80732906 
 01/01  11:00:00,,,84373733.3418418,84373733.3418418 
 01/01  12:00:00,,,89619810.85507512,89619810.85507509 
 01/01  13:00:00,,,69710678.76999044,69710678.76999044 
 01/01  14:00:00,,,60101680.19025339,60101680.19025338 
 01/01  15:00:00,,,67343778.75033604,67343778.75033602 
 01/01  16:00:00,,,68147205.98764828,68147205.98764825 
 01/01  17:00:00,,,79839473.54387793,79839473.54387791 
 01/01  18:00:00,,,87496965.39480676,87496965.39480674 
 01/01  19:00:00,,,118098956.21832173,118098956.2183217 
 01/01  20:00:00,,,110368024.2373711,110368024.23737107 
 01/01  21:00:00,,,106068793.31095892,106068793.31095889 
 01/01  22:00:00,,,86789216.30335817,86789216.30335814 
 01/01  23:00:00,,,80494473.48210523,80494473.4821052 
 01/01  24:00:00,,,54569563.68371353,54569563.68371351 
 01/02  01:00:00,,,46007403.48417351,46007403.4841735 
 01/02  02:00:00,,,32877637.373017684,32877637.373017676 
 01/02  03:00:00,,,38917031.55865698,38917031.55865696 
 01/02  04:00:00,,,25696805.62536726,25696805.625367258 
 01/02  05:00:00,,,33062025.561546758,33062025.561546743 
 01/02  06:00:00,,,67834576.40223245,67834576.40223244 
 01/02  07:00:00,,,115448177.35914937,115448177.35914934 
 01/02  08:00:00,,,115139894.94571322,115139894.94571322 
 01/02  09:00:00,,,112079051.26076901,112079051.26076896 
 01/02  10:00:00,,,94640187.93832536,94640187.93832536 
 01/02  11:00:00,,,98275587.47324038,98275587.47324036 
 01/02  12:00:00,,,76202576.9298793,76202576.92987928 
 01/02  13:00:00,,,68264686.50639354,68264686.50639354 
 01/02  14:00:00,,,75211710.03604798,75211710.03604797 
 01/02  15:00:00,,,60284144.25713193,60284144.25713192 
 01/02  16:00:00,,,75626708.704032,75626708.704032 
 01/02  17:00:00,,,72575895.39087772,72575895.3908777 
 01/02  18:00:00,,,95217569.24185097,95217569.24185094 
 01/02  19:00:00,,,110407915.19866937,110407915.19866936 
 01/02  20:00:00,,,114129547.39668861,114129547.39668858 
 01/02  21:00:00,,,105920624.49675217,105920624.49675214 
 01/02  22:00:00,,,86652858.66486965,86652858.66486962 
 01/02  23:00:00,,,84644636.2477454,84644636.24774536 
 01/02  24:00:00,,,54514653.618070416,54514653.618070394 
 01/03  01:00:00,,,46188956.38464892,46188956.3846489 
 01/03  02:00:00,,,25790523.0897724,25790523.08977239 
 01/03  03:00:00,,,32498863.153802663,32498863.15380266 
 01/03  04:00:00,,,38774251.177681774,38774251.177681774 
 01/03  05:00:00,,,33377079.067673936,33377079.067673918 
 01/03  06:00:00,,,54986484.79700394,54986484.797003925 
 01/03  07:00:00,,,129633925.03417891,129633925.03417888 
 01/03  08:00:00,,,115615586.06007785,115615586.06007783 
 01/03  09:00:00,,,108441956.33751035,108441956.33751032 
 01/03  10:00:00,,,99749086.45611632,99749086.45611629 
 01/03  11:00:00,,,99320372.65374531,99320372.6537453 
 01/03  12:00:00,,,77222447.66640352,77222447.6664035 
 01/03  13:00:00,,,69005010.76610836,69005010.76610836 
 01/03  14:00:00,,,68990936.67205004,68990936.67205001 
 01/03  15:00:00,,,68356871.03745817,68356871.03745815 
 01/03  16:00:00,,,60487779.71891925,60487779.71891921 
 01/03  17:00:00,,,76696894.67033024,76696894.67033021 
 01/03  18:00:00,,,109793295.14679232,109793295.1467923 
 01/03  19:00:00,,,111413081.05086052,111413081.0508605 
 01/03  20:00:00,,,111134100.84747444,111134100.8474744 
 01/03  21:00:00,,,96924002.90211387,96924002.90211383 
 01/03  22:00:00,,,100680733.60205477,100680733.60205474 
 01/03  23:00:00,,,85274190.68237126,85274190.68237123 
 01/03  24:00:00,,,55182453.85251776,55182453.852517754 
 01/04  01:00:00,,,43089011.7683781,43089011.76837808 
 01/04  02:00:00,,,30340498.298933774,30340498.298933767 
 01/04  03:00:00,,,33307819.22969959,33307819.229699578 
 01/04  04:00:00,,,39524474.012856014,39524474.01285601 
 01/04  05:00:00,,,34029794.19311358,34029794.19311357 
 01/04  06:00:00,,,55623759.54272672,55623759.542726696 
 01/04  07:00:00,,,118291331.08637881,118291331.08637878 
 01/04  08:00:00,,,128692564.75549765,128692564.75549763 
 01/04  09:00:00,,,105183267.92436905,105183267.92436905 
 01/04  10:00:00,,,104331714.40235649,104331714.40235646 
 01/04  11:00:00,,,99221640.2882456,99221640.28824559 
 01/04  12:00:00,,,77143886.13969015,77143886.13969013 
 01/04  13:00:00,,,68660062.96764785,68660062.96764785 
 01/04  14:00:00,,,68679396.26057225,68679396.26057224 
 01/04  15:00:00,,,54803075.11862448,54803075.11862448 
 01/04  16:00:00,,,70336524.2726542,70336524.27265418 
 01/04  17:00:00,,,80389166.65204172,80389166.65204169 
 01/04  18:00:00,,,110097648.60735828,110097648.60735823 
