Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2747685478.062678,271371.8276068723,3319114012.2957587,0.0,2093316978.5268195,479081792.9434203,3280104800.2571635,0.0,2091785248.1798782,0.0,2090231853.6037621,0.0,1545094373.2242148,2278407.144307794,1875978154.06835,420951.18753785844,2248928549.3315134,6644814.443155551,2815060805.814493,0.0,2207877269.7904215,6821541.569108792,2773226231.675533,0.0,1530696423.779103,0.0,1529126248.8523307,0.0,1004236534.0267991,24763119.35842916,1002808753.367664,24899690.24405779,4178301784.7703958,5130057.955118424,4774834872.969508,0.0,4130478044.4411726,4271117.490884241,4727395898.493403,0.0,3201070511.1554995,0.0,3199262388.1030755,0.0,2616255162.9835453,9686343.726418061,2614526126.925941,9759259.95912996,0.0,0.0,0.0,0.0,0.0,0.0,58334440920.84242,135393163670.8197 
February,2620915258.4957175,0.0,3142405307.5239744,0.0,1994402429.9291854,388963013.3338374,3152716982.869484,0.0,2032576051.1739285,0.0,2033070902.9995236,0.0,1526875627.99202,161295.40745277004,1817207302.7381735,0.0,1985179472.5952165,7703383.995602187,2490414252.679042,0.0,1993380599.8387687,5606749.126311072,2501256712.754518,0.0,1382485581.2068202,0.0,1383084673.7584722,0.0,912102636.179805,25911073.102927368,912747505.800137,25947940.854251336,3737056667.790145,7338627.285933549,4263194089.6710725,0.0,3744214295.6507025,4256826.45369473,4274401134.0869427,0.0,2896856733.74296,0.0,2897577500.4454637,0.0,2382490010.49144,14976350.133277098,2383494074.13093,15084484.716353262,0.0,0.0,0.0,0.0,0.0,0.0,52960211543.127365,126865606589.97285 
March,1979405414.750589,9432511.163991185,2555870158.5658607,2177346.163740007,1808389895.3916101,883019221.4767007,2559544759.21169,2247494.1079184953,1648288003.7781508,2231050.9018048793,1648593517.4358358,2236022.5095305587,1095537297.6111317,13029421.841504449,1372631294.630516,6986006.103487849,1147071159.7895484,94455811.27516316,1590919896.440556,23599974.829194594,1144889847.4982538,91912823.526491,1588399582.8517175,22176879.473409895,836759143.4970758,32359558.08296077,837121960.7598724,32040968.270681184,480132692.45012957,148857078.03471422,480674064.4553311,148239744.77770764,2431075262.534042,64236331.319063045,2939365166.0168757,14789151.694807546,2418599500.2566724,56125852.927521236,2928999876.361388,10990591.901847435,1941734188.8149023,12227061.726782577,1942807861.3706613,12202817.380802833,1467890596.8672116,80211386.81351183,1469096347.0915582,80275945.345505,0.0,0.0,0.0,0.0,0.0,0.0,56980304201.84647,86460751301.52823 
April,1060076360.5115207,17353904.904828742,1453848989.7454324,4735576.894352485,1241414287.0485444,1181295597.2003558,1423985340.071628,5069719.9618157735,914050534.047917,4696932.79135985,912449262.1848654,4695608.161698952,541122257.791964,22722541.805157885,766719398.3964378,14348661.51512296,287714628.4772516,148393706.17147756,526688672.775969,66566819.92194674,267030451.39032352,159999770.58545688,497921931.83611876,70281647.0062555,204107046.26544008,89737793.18020035,202999670.4877839,90220561.317521,52344768.92911723,232977383.0470007,52087788.68076121,233857839.63207254,1086595313.9400005,110080930.77314213,1350335933.0671892,43856381.58740985,1051106587.3605253,103176322.33419211,1312798371.2992313,45651631.45865949,839969252.290829,44713504.85577704,839772472.9038897,44603263.817764774,598432473.7121007,113627689.39946267,598220443.6348654,113985085.76747343,0.0,0.0,0.0,0.0,0.0,0.0,52800158091.60511,39377342026.81966 
May,287152343.2543303,54259833.138582334,460578643.0712619,33249954.76274382,771257856.0274191,1187731147.6740794,452103859.2063683,32505443.97886304,280190705.7141867,36296293.87772041,281301966.8992539,36240357.246666096,127086027.57233682,61128762.22062924,249957712.26839742,44042019.809166536,482317.5710404753,547523719.8308771,6020804.562868305,424505948.0394379,257861.7943763619,546161486.4755279,1988035.0054547072,434992375.5386643,1107401.4334401041,370805964.0244573,1076545.038605516,370535758.68422353,608867.456171517,470174416.51615024,593159.3044658316,470083850.95240533,158349500.63287807,460814529.39969265,207453522.42136014,354149318.8733632,139665982.29942882,457569195.6244572,192448192.96544376,359370573.78706783,92761802.1701755,299021994.1791163,92819924.07904662,298955143.4350696,60245131.50996378,399693823.2672051,59419779.94689222,399625126.23322743,0.0,0.0,0.0,0.0,0.0,0.0,54478262747.71445,7624685882.855956 
June,4812437.503560405,290291149.4216591,9992366.430939289,212636952.50494167,204676806.34186408,1014565981.321227,7984903.054183127,215323874.23056647,12640236.62934878,160141178.7794484,12183794.303141939,161000800.05812967,6729888.511336063,225263423.73906672,10050093.861471394,191480666.24229977,616088.8513578642,1088992933.4266772,783331.072723213,943645109.7292408,405196.3020853342,1095899525.09909,461435.85000572115,945436046.9730487,1163575.2336466047,717701093.7549585,1141809.664211581,718972287.879408,898355.5256344565,855890989.6131179,879429.3895176123,858071847.7320344,2104174.1588371526,1054982757.4709901,2190936.013414171,919796174.8050135,1089683.2426328028,1051129297.007597,1512096.1359540112,920632738.9830431,654480.3386803166,721561774.6438236,614300.9543816124,724063440.8280512,624748.9959574793,853640543.2687622,586179.1443195785,857669712.8691877,0.0,0.0,0.0,0.0,0.0,0.0,58149786416.44215,267865610.47001198 
July,2441774.705722743,915553249.0801214,2967173.672125602,728470822.4246421,208185300.75146526,1031866103.1537929,2458387.311259917,665607602.4633207,3649827.942434394,510427514.1734062,3650954.939152172,508699863.7737401,2991288.040066318,691832601.1429067,3182251.5400322913,648337340.7046933,1081219.6676844154,1751504487.822321,1160273.4979634855,1538922148.3095884,649606.5366899772,1676190733.2111344,722691.5476743773,1460707960.0786653,1731820.298662865,1080767609.1243129,1696985.9226246406,1080481867.3757498,1463985.0622721284,1288280332.9279602,1452081.259797191,1288880930.8648233,980732.0483543715,1875763874.2067215,968831.4332225592,1641947683.852922,443063.6547558723,1777491482.2096548,471486.4381260109,1545546095.7606704,1204802.052891528,1205685704.7761505,1157220.8693616143,1206103080.28549,1141857.6723535175,1427470481.568842,1136565.8172474888,1428702169.3519547,0.0,0.0,0.0,0.0,0.0,0.0,69550645680.04039,13152864.243422564 
August,851839.8520098448,819358245.8289757,1832164.1293776808,512307619.9570853,62486757.60538191,1260313647.7288415,1354333.4191936725,498002101.1866669,2368229.6329371226,379225002.70051616,2345283.2019367716,381851021.3059947,1136051.5111720324,682318471.982538,1369245.3169726175,606990077.8770939,390267.2882743072,1362970663.7962172,773968.7633026912,1000379141.07456,248107.58551341377,1357263245.6116486,414515.49847855413,989025898.2449893,1207181.6874981457,747299854.2642334,1172299.0727349978,751478361.5697011,515811.1852333568,1100150850.1364944,507742.7316802,1106654541.3633883,350341.8625441866,1339854855.3538756,513693.4897949362,969785559.8985717,218174.52328695598,1306670467.0753517,260394.86851895,934380851.1457005,772614.3078497639,736730635.7303497,730003.1151085655,739858992.3121687,408969.14046663936,1095606361.4405463,398503.44574714033,1099091043.4742498,0.0,0.0,0.0,0.0,0.0,0.0,62217853018.304665,22986373.385542996 
September,367253.1632189937,557197722.675356,7452463.344087928,309937920.6704465,133228326.43911615,1654706726.9307938,3457005.1699048015,312345176.16198605,2188059.201182686,281747912.66359097,2163862.7312356564,282002963.4088788,460553.42672329344,520267698.2403397,619453.8787896143,464933978.5833391,154342.74289455745,787911009.971537,944656.3613423203,480683042.8283569,92126.12057358671,778511717.4748052,617928.6536952673,476935920.2703176,1315092.4903646738,415965791.1384191,1311567.074215758,416318396.24785846,196446.66954531602,726775050.2929709,185700.63086599126,726997585.8102133,82512958.91070956,646964495.8500642,148139788.50574973,376234225.8016464,83027783.69682726,641361866.7192358,145703402.275798,371663951.8872079,70046065.64148676,313134926.2756644,70213253.75933935,313392299.58699733,26347192.488472246,592432503.1664588,26826962.570085272,593431410.0183465,0.0,0.0,0.0,0.0,0.0,0.0,53179473292.30957,1660614801.2576861 
October,157364379.62121636,220475808.61221918,342107155.8567076,91335910.64105165,573645848.0642126,1828626012.9344087,323645473.0541928,94254280.5443369,142237517.16579598,115378251.9554471,141199051.6711839,115433627.95606838,37988552.715812914,259473107.19345194,98736724.05780737,198973668.67916542,163319227.43891284,320990701.2413114,308571492.0392501,130689657.50845839,152217479.46832848,315881606.21137536,288639365.991838,132050547.61652766,88513219.92801993,175404741.58505777,87794798.92431253,175731913.4020152,28644997.713532764,386272384.14948887,28591606.98789307,387112843.3865972,763021152.4978682,187964411.03197366,1023725394.3188858,46745196.6698266,743182971.4374162,178947507.0540161,991735401.780165,41136360.00579494,593149832.4950908,51825501.91955809,592705583.3809128,51308770.107721716,390706529.1884984,209612047.353805,390020040.2409526,210211540.70559677,0.0,0.0,0.0,0.0,0.0,0.0,51506660078.379295,19098044521.957058 
