Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,54627910.57341933,54627910.57341935 
 01/01  02:00:00,,,72772899.54362935,72772899.54362935 
 01/01  03:00:00,,,51690402.68206122,51690402.68206122 
 01/01  04:00:00,,,57782854.46402861,57782854.46402862 
 01/01  05:00:00,,,67331820.90512727,67331820.90512729 
 01/01  06:00:00,,,90213786.90779187,90213786.90779188 
 01/01  07:00:00,,,157041438.37740874,157041438.3774087 
 01/01  08:00:00,,,161246007.38852137,161246007.3885213 
 01/01  09:00:00,,,163127305.04570073,163127305.0457007 
 01/01  10:00:00,,,138971286.86399788,138971286.8639978 
 01/01  11:00:00,,,125117555.85751963,125117555.85751957 
 01/01  12:00:00,,,130814349.03320998,130814349.03320995 
 01/01  13:00:00,,,110415349.49132046,110415349.49132043 
 01/01  14:00:00,,,99457481.04885095,99457481.04885091 
 01/01  15:00:00,,,106251228.97198549,106251228.97198549 
 01/01  16:00:00,,,110607678.72274803,110607678.72274801 
 01/01  17:00:00,,,133168575.59398814,133168575.59398806 
 01/01  18:00:00,,,154304969.11408705,154304969.114087 
 01/01  19:00:00,,,190061948.71367443,190061948.7136743 
 01/01  20:00:00,,,182677373.94925186,182677373.94925183 
 01/01  21:00:00,,,176576635.81132272,176576635.81132263 
 01/01  22:00:00,,,148022234.76840723,148022234.76840717 
 01/01  23:00:00,,,128190299.36675127,128190299.36675116 
 01/01  24:00:00,,,91321762.7114099,91321762.7114099 
 01/02  01:00:00,,,74832884.22834805,74832884.22834803 
 01/02  02:00:00,,,60079320.89436889,60079320.89436889 
 01/02  03:00:00,,,65296389.98967306,65296389.98967309 
 01/02  04:00:00,,,51604233.42134308,51604233.4213431 
 01/02  05:00:00,,,61938433.41519508,61938433.4151951 
 01/02  06:00:00,,,104198240.4358231,104198240.43582311 
 01/02  07:00:00,,,157837081.75266677,157837081.7526667 
 01/02  08:00:00,,,161835455.8064862,161835455.80648616 
 01/02  09:00:00,,,154112137.87956947,154112137.87956947 
 01/02  10:00:00,,,135157959.47070473,135157959.47070467 
 01/02  11:00:00,,,139144511.69954616,139144511.6995461 
 01/02  12:00:00,,,117434851.54920235,117434851.5492023 
 01/02  13:00:00,,,109016964.72047457,109016964.72047453 
 01/02  14:00:00,,,114660946.42849399,114660946.42849392 
 01/02  15:00:00,,,99295652.3540177,99295652.35401765 
 01/02  16:00:00,,,118159405.40154412,118159405.4015441 
 01/02  17:00:00,,,125970368.61283179,125970368.61283173 
 01/02  18:00:00,,,162098973.52569935,162098973.52569926 
 01/02  19:00:00,,,182361833.8765547,182361833.8765546 
 01/02  20:00:00,,,186405715.73167852,186405715.73167843 
 01/02  21:00:00,,,176485941.445601,176485941.445601 
 01/02  22:00:00,,,147935543.74863434,147935543.7486343 
 01/02  23:00:00,,,132344833.81655738,132344833.81655732 
 01/02  24:00:00,,,91257322.609151,91257322.60915096 
 01/03  01:00:00,,,74304431.98200159,74304431.98200157 
 01/03  02:00:00,,,52332114.146718375,52332114.14671838 
 01/03  03:00:00,,,58175409.763194285,58175409.76319429 
 01/03  04:00:00,,,64116207.4046666,64116207.40466663 
 01/03  05:00:00,,,61822461.62662259,61822461.62662261 
 01/03  06:00:00,,,94271114.89030443,94271114.89030443 
 01/03  07:00:00,,,168300526.89026988,168300526.89026985 
 01/03  08:00:00,,,162180631.5706634,162180631.57066327 
 01/03  09:00:00,,,152299691.6343306,152299691.6343305 
 01/03  10:00:00,,,142281582.4929352,142281582.4929352 
 01/03  11:00:00,,,142269422.56320548,142269422.56320548 
 01/03  12:00:00,,,120538004.68705833,120538004.68705833 
 01/03  13:00:00,,,110899320.86690682,110899320.86690684 
 01/03  14:00:00,,,114267223.22738855,114267223.22738853 
