Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,1999598938.313007,5161365.469070276,2923326219.442872,0.0,1788750540.9092565,602583660.3432784,2875324962.0525646,0.0,1542374008.0128486,0.0,1540491885.9668415,0.0,757167350.9022316,50253006.03582746,992855136.5402594,33036595.048374813,1565577891.3777514,43898805.02845082,2424267003.6099334,0.0,1513261184.5359488,42035176.46244949,2372357795.673661,0.0,993461873.9850665,8796618.274240647,991491177.8775858,8736071.220230209,383040547.109286,187046554.24778396,381621290.0330466,187612300.8502109,3445192563.6288934,12784942.06318289,4401797582.440155,0.0,3389127401.291304,13653705.98241962,4343916739.388662,0.0,2667699317.5283666,0.0,2665534454.421501,0.0,1811026729.4127407,42824681.82968489,1809206256.4182935,43028535.782966994,0.0,0.0,0.0,0.0,0.0,0.0,92820268184.16202,109618500026.19214 
February,1966253277.2966878,1732418.3756327934,2797231548.3547006,0.0,1720495797.6620097,490234418.84240997,2808955794.1944146,0.0,1551089765.9847412,0.0,1551666790.1488566,0.0,814746990.1956027,26619318.162078418,1022407186.3459651,15492561.483473612,1398028799.593171,43010316.39739098,2153478707.4408665,16472.177726785194,1403627267.2360628,37169479.24180312,2165420383.866274,0.0,913756917.3523551,4545729.839242313,914337168.2462349,4433444.941455279,387991580.620776,202163375.78163826,388114626.8667749,201607706.29338485,3090167538.67236,21409172.78480482,3934758475.7505755,0.0,3097497398.1368184,19264969.3936667,3947174354.8351617,0.0,2426070691.7450075,0.0,2426976760.4932613,0.0,1668759961.1853333,46871254.532065436,1669905127.606671,46766261.29695208,0.0,0.0,0.0,0.0,0.0,0.0,84155216798.68001,104180574714.4071 
March,1229260550.3235188,70945438.1016356,2019974944.5126448,10795042.22393258,1390535084.1374993,1075274694.5605235,2018224265.2824252,9698621.664361347,1039850624.2569065,21193107.767314427,1040363404.8548298,21199892.413711227,468481669.90815735,159721240.61344936,606159781.5809541,126655730.98626627,658414395.919026,292815525.4116935,1171794260.646907,96873970.06116499,652424146.2631755,289903519.67783254,1166349094.1398323,93381908.21888803,436665455.9243474,162693425.3343428,436975997.91177934,162327272.12814513,145078802.4924061,435390455.43609,145696425.7685064,436133053.7522358,1762719884.2590506,190530313.9527991,2473440979.854537,51835909.49036347,1743291107.2900674,170358239.92855576,2455884168.103738,46475823.2987722,1419915151.7419114,66066063.054191254,1420828602.7923262,65852112.52528765,864211796.805541,242261897.61053607,865233493.3197436,242680817.50642225,0.0,0.0,0.0,0.0,0.0,0.0,91463307498.6366,61743292647.58687 
April,279931613.5684332,122315648.80067322,812644696.6521835,32241984.933715235,830768885.5535301,1437755272.8567626,773028979.0921993,30638345.65607531,286325689.63233286,67070963.48250825,284993710.67783594,67461588.26753448,38102308.56419254,270709683.1991206,82705356.09046063,220108888.24261662,12165586.487350283,526194138.55718476,111916234.12452722,275861279.7862327,9975581.985970736,522545343.574405,97640671.78256871,292740303.7373196,4968553.090253076,400154393.7032621,5176769.895344856,400870602.6464598,4222.6369828800325,634080532.1471847,4278.22659187982,637806544.6495112,504051534.0786129,333435297.3658563,901045169.3557497,133880220.9228452,473451056.9453588,309578192.00376844,855828690.3830266,123513096.25326405,405428047.8825209,154826740.5707228,404473636.9573671,154320266.1696215,159771583.9955622,386710573.6292652,159981260.45378757,387630748.7995438,0.0,0.0,0.0,0.0,0.0,0.0,86320853268.84859,17602593882.44498 
May,1661844.500400515,371839858.0141408,53746485.314976655,226728673.21538687,318428681.4992254,1504658030.0498781,52311313.35672887,234282867.717845,2242318.317623104,280273464.75487304,2189652.267354163,279337952.0803059,998685.4523671782,384958529.4412173,1240764.9243703203,340646722.4581393,68177.1083705235,1319793299.9895825,62270.39963880182,1023112621.813175,71391.92782467528,1319302258.2840347,58729.1351191736,1031183498.2985641,94540.529639971,983265320.1245852,93198.95527203614,983763853.5518508,108317.12658842809,1301892456.276413,108182.83952727105,1302564556.6638863,13157951.843276883,1031361417.9279777,57601299.62210196,800602641.5288727,7967943.13490069,1022955464.974746,44746303.57104079,791240239.584398,8103369.214177733,735562242.0110866,7573605.180045532,736317923.1623211,86839.22840202157,958960874.1134834,90703.73007289052,961728754.646124,0.0,0.0,0.0,0.0,0.0,0.0,92632723905.49234,1635996299.9314334 
June,706596.546617022,1019588038.705725,952674.507943441,857138070.2086148,93838355.98797704,1527596913.6942527,657606.007572769,868080785.1151017,1024975.6281539815,832359812.3533123,1014012.5681159629,834717419.0791943,815614.4271155817,996135345.1675692,927381.0495243832,912555439.9711488,167268.46618821664,2000896197.3915155,217250.58128070695,1810217383.1466563,197839.44776755557,2021096460.7412884,224187.21408716976,1822916818.971823,379785.9964605573,1541344230.5838397,371744.09367525904,1544699992.3009288,300306.5106213994,1733751551.5170155,298397.5754393953,1738301490.8225377,130092.11810893044,1876562665.116268,153656.3789061023,1679983497.8581584,130662.57196723112,1878072524.4719567,130474.87827966726,1682713614.1636312,230006.0247199124,1450326643.2444546,227853.4710817026,1456538257.6909337,204475.79609362042,1633237488.8372803,203133.96512467897,1639139958.5931323,0.0,0.0,0.0,0.0,0.0,0.0,96747217913.02235,66217475.28794283 
July,797207.9392101972,1914732483.2958882,793297.575986095,1694613496.996872,168335492.77717784,1653184078.8720205,621787.4591562089,1620633428.0184155,1036741.2888948146,1424493456.9562747,1031676.3477165231,1422901886.306382,1037411.0318813946,1647684711.7417192,1040107.2441869612,1649724253.1023202,365862.12490629323,2783060713.351216,334971.4329377404,2539643451.216871,394976.48470381234,2703577105.7398653,363499.6856730999,2461638299.342388,507606.5702085922,2001515246.8722124,494002.1072851969,2002630218.214559,587625.0410468433,2246493043.6517477,583627.3731052496,2247416145.9886556,333160.7470284627,2851015384.928552,301027.2201381091,2586602596.388893,267428.6021360826,2753464326.781368,255999.7630085059,2489778752.8413143,400306.8268673786,2070473362.1782007,401075.4160162456,2073109361.6733344,446506.45742416155,2330273583.6692476,429068.27388487937,2332298724.571705,0.0,0.0,0.0,0.0,0.0,0.0,108169103989.12808,211003.26273725653 
August,376846.4077891897,1720551484.6484725,534992.8853311,1315042247.6038866,44624996.97013977,1904775256.1653805,430408.15210462234,1313767954.824896,727614.4550724436,1166025188.580719,722272.0359660991,1170522680.9179075,469848.52299487614,1573650667.9824648,479527.7639817115,1529844034.9972117,181408.18748239242,2341590705.2622333,246848.05171646125,1874822611.3790617,193454.42693292245,2353708658.8323946,248877.52962960678,1897331255.2171798,410900.5939650869,1576509122.8435361,400253.4838163661,1585067039.6196215,299481.70709860633,2032183083.2427948,293641.0295293604,2040580226.30317,132180.6303442007,2232894746.556865,192038.86006608157,1752389598.8207498,135611.71045740298,2220774207.1777487,216415.9273062422,1743436635.582853,310075.83311726566,1483703387.307142,309080.88248344604,1493306310.0520175,201575.4938909753,1962199103.1106784,201110.95374559634,1970685313.8515081,0.0,0.0,0.0,0.0,0.0,0.0,101777428191.07904,0.0 
September,193291.99058516076,1211149123.9129891,317833.84170134313,765293631.9135425,36690893.23039896,2117235318.0030942,240563.2651752151,755879165.0024837,413939.9435853079,766967629.8329471,406781.2743017438,767319168.4938798,209796.2871953003,1265428125.9278686,207884.26178522283,1140049533.8782403,102471.26724360907,1582545732.5023646,148626.55941787918,1048819035.8390396,87666.8831047061,1587396437.839645,147126.44378569673,1034297024.8661295,233451.82607207753,1040643211.8492829,225049.15948718693,1041556512.2191865,145128.99132932167,1609006226.2732828,144157.56372447038,1610709652.1685607,9881252.38469048,1259645513.7642233,26738657.960249152,800617916.8754026,8321822.4123502,1250275945.3707533,26236971.12695565,784163336.8140099,1579665.439007417,768301166.0452667,1820142.2175399314,771342817.5896238,104644.81355398802,1257147711.5587862,102541.26444905487,1261746759.2229817,0.0,0.0,0.0,0.0,0.0,0.0,91150712462.1841,350303288.4692009 
October,15623433.07818209,607927265.525841,51509678.60776557,328419042.0834594,214502053.14853883,2288090380.822741,47133849.824342616,323077108.9529043,1754307.0223198633,416605110.4141006,1692449.9355022535,416941689.19045264,40723.85592565601,761967108.940246,486328.3437429596,603454064.3333168,27292200.658435263,774252988.9232473,55390377.58886381,424311101.17365056,25585186.826206636,782382553.8261524,49927513.94706122,412553930.1669526,287447.7248795856,551019986.003174,251818.05751621368,552087980.055342,23748.37640663086,1020333610.1595196,23741.66710409762,1024176801.3741058,338388653.46318597,476640329.42136264,582813955.153054,194256582.24465677,322819573.5058571,465326139.10037756,553798494.6862609,186785325.43551502,223869130.7587986,235599733.0225118,223049560.8527603,235632669.79668418,99443355.12960446,540828113.4143131,99076045.28942724,544210761.4070996,0.0,0.0,0.0,0.0,0.0,0.0,87743039809.39244,6748264425.843365 
