Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,80453343.65496217,80453343.6549621 
 01/01  02:00:00,,,98009257.5368976,98009257.53689754 
 01/01  03:00:00,,,76105291.86161333,76105291.86161329 
 01/01  04:00:00,,,82324082.92875412,82324082.9287541 
 01/01  05:00:00,,,91732805.61936975,91732805.61936969 
 01/01  06:00:00,,,117104623.89719401,117104623.89719397 
 01/01  07:00:00,,,189914117.66323718,189914117.6632371 
 01/01  08:00:00,,,201073143.096899,201073143.0968991 
 01/01  09:00:00,,,203449809.4465539,203449809.4465538 
 01/01  10:00:00,,,177736384.98722258,177736384.98722255 
 01/01  11:00:00,,,162646352.37074482,162646352.37074474 
 01/01  12:00:00,,,167163295.97072452,167163295.9707245 
 01/01  13:00:00,,,146539499.18781865,146539499.1878186 
 01/01  14:00:00,,,134270150.62642103,134270150.626421 
 01/01  15:00:00,,,140530921.20605004,140530921.20604998 
 01/01  16:00:00,,,145932995.79692233,145932995.79692224 
 01/01  17:00:00,,,177354155.08095095,177354155.08095098 
 01/01  18:00:00,,,205531685.88125026,205531685.88125032 
 01/01  19:00:00,,,240649091.4424725,240649091.44247258 
 01/01  20:00:00,,,229604740.7927729,229604740.79277298 
 01/01  21:00:00,,,221463723.30907843,221463723.30907848 
 01/01  22:00:00,,,191636782.83624735,191636782.83624744 
 01/01  23:00:00,,,165271101.8833128,165271101.8833128 
 01/01  24:00:00,,,121716062.9225648,121716062.92256474 
 01/02  01:00:00,,,99130177.29971968,99130177.29971962 
 01/02  02:00:00,,,82027734.1699656,82027734.16996554 
 01/02  03:00:00,,,86122598.60166985,86122598.60166977 
 01/02  04:00:00,,,72289217.03514634,72289217.03514627 
 01/02  05:00:00,,,82516356.40381636,82516356.40381628 
 01/02  06:00:00,,,126852237.79455215,126852237.79455207 
 01/02  07:00:00,,,186093058.18071425,186093058.1807142 
 01/02  08:00:00,,,197077608.0630022,197077608.06300223 
 01/02  09:00:00,,,189865119.98947626,189865119.98947617 
 01/02  10:00:00,,,169397894.84056813,169397894.84056804 
 01/02  11:00:00,,,173912336.20708627,173912336.20708618 
 01/02  12:00:00,,,152581602.02159166,152581602.0215916 
 01/02  13:00:00,,,143596728.65523335,143596728.6552333 
 01/02  14:00:00,,,147834487.73216188,147834487.7321618 
 01/02  15:00:00,,,132106262.49300681,132106262.49300675 
 01/02  16:00:00,,,152099165.95801648,152099165.9580164 
 01/02  17:00:00,,,168439057.13636994,168439057.13637 
 01/02  18:00:00,,,212108515.76474038,212108515.76474047 
 01/02  19:00:00,,,232223465.34957567,232223465.34957573 
 01/02  20:00:00,,,231340612.88604087,231340612.88604093 
 01/02  21:00:00,,,221287941.83948252,221287941.83948258 
 01/02  22:00:00,,,190223518.25701514,190223518.25701526 
 01/02  23:00:00,,,167935217.5797909,167935217.5797909 
 01/02  24:00:00,,,120633190.88292101,120633190.88292095 
 01/03  01:00:00,,,97607375.09682046,97607375.09682038 
 01/03  02:00:00,,,73503579.7911746,73503579.79117453 
 01/03  03:00:00,,,78452588.58611007,78452588.58610998 
 01/03  04:00:00,,,83633367.63058436,83633367.63058428 
 01/03  05:00:00,,,81101953.87016778,81101953.87016769 
 01/03  06:00:00,,,112628330.4337713,112628330.4337712 
 01/03  07:00:00,,,199231195.6625859,199231195.66258582 
 01/03  08:00:00,,,196744530.41262722,196744530.41262725 
 01/03  09:00:00,,,189453406.9686666,189453406.96866655 
 01/03  10:00:00,,,178657842.20677543,178657842.20677534 
 01/03  11:00:00,,,178994099.1180097,178994099.1180097 
 01/03  12:00:00,,,158006472.59611025,158006472.5961102 
 01/03  13:00:00,,,147657102.07576165,147657102.07576156 
 01/03  14:00:00,,,146629668.78683892,146629668.78683883 
 01/03  15:00:00,,,143026686.17739046,143026686.17739034 
 01/03  16:00:00,,,142231701.0479024,142231701.04790235 
 01/03  17:00:00,,,176143291.66220254,176143291.66220272 
 01/03  18:00:00,,,228226636.1053393,228226636.10533944 
 01/03  19:00:00,,,234169963.07699046,234169963.07699054 
 01/03  20:00:00,,,230904399.787491,230904399.78749102 
 01/03  21:00:00,,,219064132.67723134,219064132.67723146 
 01/03  22:00:00,,,199814841.24057484,199814841.24057493 
 01/03  23:00:00,,,172089801.8307702,172089801.83077013 
 01/03  24:00:00,,,125411227.40008162,125411227.40008159 
 01/04  01:00:00,,,99024921.07346131,99024921.07346125 
 01/04  02:00:00,,,82695958.74838693,82695958.7483869 
 01/04  03:00:00,,,84535260.63961855,84535260.63961853 
 01/04  04:00:00,,,89684488.15522796,89684488.15522793 
 01/04  05:00:00,,,86689459.99233957,86689459.99233952 
 01/04  06:00:00,,,118516630.48520376,118516630.4852037 
 01/04  07:00:00,,,196800237.33968467,196800237.33968464 
 01/04  08:00:00,,,210573931.05959162,210573931.05959165 
 01/04  09:00:00,,,192021979.9083002,192021979.90830013 
 01/04  10:00:00,,,185886806.65220883,185886806.65220878 
 01/04  11:00:00,,,183283587.39144754,183283587.39144748 
 01/04  12:00:00,,,162206875.84854704,162206875.84854695 
 01/04  13:00:00,,,151952220.6511049,151952220.65110484 
 01/04  14:00:00,,,152556765.0161698,152556765.01616973 
 01/04  15:00:00,,,137234034.1712677,137234034.17126766 
 01/04  16:00:00,,,151109791.96484533,151109791.9648453 
 01/04  17:00:00,,,181124766.1677731,181124766.1677732 
 01/04  18:00:00,,,231446842.527838,231446842.5278381 
 01/04  19:00:00,,,237655998.11178392,237655998.11178398 
 01/04  20:00:00,,,236608069.50118706,236608069.50118715 
 01/04  21:00:00,,,219618280.58902255,219618280.58902264 
 01/04  22:00:00,,,203314161.425546,203314161.4255461 
 01/04  23:00:00,,,173770846.43669128,173770846.43669128 
 01/04  24:00:00,,,126397475.67886415,126397475.67886412 
 01/05  01:00:00,,,96693299.12278286,96693299.12278281 
 01/05  02:00:00,,,86578817.92424062,86578817.9242406 
 01/05  03:00:00,,,84636138.16022386,84636138.16022381 
 01/05  04:00:00,,,89598344.33375958,89598344.33375955 
 01/05  05:00:00,,,86621055.18310869,86621055.18310864 
 01/05  06:00:00,,,118317042.62019724,118317042.62019719 
 01/05  07:00:00,,,194910459.56381637,194910459.56381634 
 01/05  08:00:00,,,212637548.9629261,212637548.96292615 
 01/05  09:00:00,,,192348728.65399665,192348728.65399665 
 01/05  10:00:00,,,184824459.38435152,184824459.38435152 
 01/05  11:00:00,,,182335970.44221964,182335970.4422196 
 01/05  12:00:00,,,160640850.4134438,160640850.41344374 
 01/05  13:00:00,,,150103822.3367275,150103822.33672744 
 01/05  14:00:00,,,151803992.1905136,151803992.19051352 
 01/05  15:00:00,,,137886396.9955197,137886396.99551964 
 01/05  16:00:00,,,148410880.6314769,148410880.63147688 
 01/05  17:00:00,,,178613695.30753052,178613695.3075306 
 01/05  18:00:00,,,230517497.0064978,230517497.0064979 
 01/05  19:00:00,,,238652711.49469423,238652711.49469435 
 01/05  20:00:00,,,234621788.93469822,234621788.93469834 
 01/05  21:00:00,,,218543192.1977315,218543192.19773164 
 01/05  22:00:00,,,199086288.2596885,199086288.25968862 
 01/05  23:00:00,,,168749212.45898193,168749212.45898193 
 01/05  24:00:00,,,131154606.34250525,131154606.34250519 
 01/06  01:00:00,,,95329591.03842773,95329591.03842771 
 01/06  02:00:00,,,89367935.53165627,89367935.53165619 
 01/06  03:00:00,,,80288220.77592908,80288220.77592905 
 01/06  04:00:00,,,81497239.98783599,81497239.98783591 
 01/06  05:00:00,,,93634128.3032136,93634128.30321357 
 01/06  06:00:00,,,117847280.5879783,117847280.58797826 
 01/06  07:00:00,,,196480245.49489856,196480245.4948985 
 01/06  08:00:00,,,208860447.4332151,208860447.43321517 
 01/06  09:00:00,,,193456041.6370705,193456041.63707048 
 01/06  10:00:00,,,181745995.94997713,181745995.94997704 
 01/06  11:00:00,,,180848308.25184745,180848308.25184742 
 01/06  12:00:00,,,159306545.64000463,159306545.64000458 
 01/06  13:00:00,,,152355809.53363296,152355809.53363287 
 01/06  14:00:00,,,148905421.9690995,148905421.96909943 
 01/06  15:00:00,,,131153302.42699447,131153302.42699438 
 01/06  16:00:00,,,147018561.9218973,147018561.92189726 
 01/06  17:00:00,,,183433317.11755526,183433317.11755538 
 01/06  18:00:00,,,219076131.48841345,219076131.48841354 
 01/06  19:00:00,,,239783218.44690505,239783218.44690517 
 01/06  20:00:00,,,236153673.59954008,236153673.5995401 
 01/06  21:00:00,,,216855480.5684531,216855480.56845313 
 01/06  22:00:00,,,193939585.29197598,193939585.29197606 
 01/06  23:00:00,,,168493184.42807713,168493184.42807713 
 01/06  24:00:00,,,132297371.70598485,132297371.7059848 
 01/07  01:00:00,,,95682902.33359694,95682902.3335969 
 01/07  02:00:00,,,92945749.31428716,92945749.31428711 
 01/07  03:00:00,,,83229252.49784406,83229252.49784401 
 01/07  04:00:00,,,79664566.91056491,79664566.91056488 
 01/07  05:00:00,,,88267822.48017186,88267822.4801718 
 01/07  06:00:00,,,121654727.7977223,121654727.79772225 
 01/07  07:00:00,,,188263164.41494682,188263164.41494676 
 01/07  08:00:00,,,206223215.02624854,206223215.02624863 
 01/07  09:00:00,,,187591570.5918883,187591570.59188828 
 01/07  10:00:00,,,176168088.89882103,176168088.89882094 
 01/07  11:00:00,,,175887547.0482634,175887547.0482633 
 01/07  12:00:00,,,154443841.54821286,154443841.5482128 
 01/07  13:00:00,,,151466952.02774742,151466952.0277474 
 01/07  14:00:00,,,143916474.64741442,143916474.6474144 
 01/07  15:00:00,,,133605902.99786027,133605902.99786021 
 01/07  16:00:00,,,146007784.35230896,146007784.3523089 
 01/07  17:00:00,,,175874065.05613282,175874065.05613288 
 01/07  18:00:00,,,217745420.15239054,217745420.15239066 
 01/07  19:00:00,,,237082126.73106983,237082126.7310699 
 01/07  20:00:00,,,229807201.91749996,229807201.91750005 
 01/07  21:00:00,,,218196954.94736838,218196954.9473685 
 01/07  22:00:00,,,197078576.92048973,197078576.92048985 
 01/07  23:00:00,,,164602629.97702718,164602629.97702718 
 01/07  24:00:00,,,124313116.58931154,124313116.58931147 
 01/08  01:00:00,,,93401821.37647189,93401821.37647182 
 01/08  02:00:00,,,88309833.23909281,88309833.23909277 
 01/08  03:00:00,,,81639022.01640023,81639022.01640019 
 01/08  04:00:00,,,79132564.57141782,79132564.57141776 
 01/08  05:00:00,,,83218440.75114502,83218440.75114495 
 01/08  06:00:00,,,120947572.50148006,120947572.50148001 
 01/08  07:00:00,,,187488940.68212214,187488940.68212205 
 01/08  08:00:00,,,206004260.07339376,206004260.07339385 
 01/08  09:00:00,,,192354295.33386636,192354295.3338663 
 01/08  10:00:00,,,175098977.65717843,175098977.65717834 
 01/08  11:00:00,,,172653471.01024026,172653471.01024023 
 01/08  12:00:00,,,156614476.19402412,156614476.19402403 
 01/08  13:00:00,,,151544882.75361055,151544882.7536105 
 01/08  14:00:00,,,142730515.3492846,142730515.34928453 
 01/08  15:00:00,,,134291770.49648032,134291770.49648026 
 01/08  16:00:00,,,147129208.75225604,147129208.75225598 
 01/08  17:00:00,,,180009290.49237785,180009290.49237788 
 01/08  18:00:00,,,221207292.69978297,221207292.6997831 
 01/08  19:00:00,,,238577826.8116228,238577826.81162286 
