Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2671757138.02223,7120526.047990529,3838769445.1978116,0.0,2348897663.3372784,305953112.7749541,3822717825.706846,0.0,1982452666.5442023,8882.569431702163,1981977578.107528,7837.437418561319,939463123.7442927,73031634.75745055,1219325458.5135953,47136974.072977655,2001989690.5744448,68122392.90598823,3086176593.4697957,412525.7968053313,1982477264.907164,68926525.81282352,3068015493.0687575,125969.83310862786,1187341986.821911,31202507.39447345,1186791229.8206024,31090580.13024889,448196081.31411254,349477766.06914854,448305930.23494434,349581615.01067674,4758660537.099829,28529615.932402246,5941758880.974332,0.0,4727278959.419303,20236035.07363599,5920154417.823638,0.0,3640113876.8658524,39276.80439957425,3639674184.2168784,34877.82024503402,2545013104.877041,72839246.88309005,2545063356.3552117,73006972.46918596,0.0,0.0,0.0,0.0,0.0,0.0,117370133127.9222,190115221317.65253 
February,1679790900.7388763,87121885.91649765,2722965026.709609,671739.7658553064,1631706759.691547,741219532.6374376,2721510821.060533,25422.098068273248,1323307141.738953,13661755.2452382,1323465045.8104122,13493676.07014635,530722466.7674956,226836380.1278807,699744285.8757796,172710709.2546334,1134354577.2983491,242409142.40528756,2013888107.4546227,39319523.2601055,1127301646.3058825,235666277.0360613,1998073262.334979,28585227.05814763,684650827.810295,113240343.06728965,684843587.0723102,112855208.78213803,222388221.39581814,547777626.671254,222451864.28952962,548336321.0599926,3158987013.4598417,133799606.0254268,4216301423.5562787,9147356.689340128,3140167390.3155813,123927025.89380229,4201087351.164891,3405538.4471459948,2490258390.3284574,17233725.723605745,2490481711.2617087,16812006.73644226,1578242005.0093658,206271600.19110587,1579354806.007586,207183025.8998565,0.0,0.0,0.0,0.0,0.0,0.0,105563877620.4315,126057281164.74869 
March,858694489.9371605,124704751.17317656,1868577634.964725,5056201.821844895,1199801978.683115,1191093673.4493845,1837706106.3727489,3212997.2481743107,735723788.9584955,37203072.0475727,734285116.6861116,36807123.47981021,117427629.52132764,389428207.3400231,237597618.2772965,295237013.7282281,194871010.70227733,516321091.1967517,803727436.6021314,139875261.0170135,188374249.84649068,536748142.4918809,756523704.4395089,133109008.30171308,121596852.43046764,389507848.61382383,120743275.24293843,389596398.1650223,0.0,857703840.6585524,0.0,859004444.3303875,1671195399.0530448,212127218.2627763,2555904707.359794,36865580.06804456,1623105102.0708852,202967058.33180833,2491473084.5368247,15722299.444208037,1323912697.695089,72480311.03815342,1322945719.3151746,71999828.92024106,658143861.1506557,351933436.21977365,659122596.8913037,353089809.11382765,0.0,0.0,0.0,0.0,0.0,0.0,114697052843.17676,66912570194.75353 
April,257467116.94097373,315750466.58868706,642177050.9892237,137618054.95043582,655725924.1681176,1996059507.6512628,559036541.0420736,135700130.535188,166036434.3875313,238079996.39784735,163827547.6593004,239398166.74640873,25429548.392758787,495206478.4165121,63767631.01357365,405366578.74298394,25621346.627059743,1063072533.0604904,117796908.61903717,605134439.2259202,18729219.188328456,1085659895.6569808,91743891.53987503,605936565.6783135,2179003.6613241876,812950602.0667167,2014782.6184347116,814316384.5692405,0.0,1389893453.7967136,0.0,1396715293.9120727,549706284.0015336,644063996.2780783,856621815.6827528,278396061.1501933,494516222.84757525,639662068.8535135,773733510.4880439,263530936.87445053,350557327.0900384,362871051.93981284,348721862.6213531,362411577.3349202,166026917.45260745,769392185.4466921,165062749.98714328,774524816.4627403,0.0,0.0,0.0,0.0,0.0,0.0,111105381015.52513,23958849434.13305 
May,95739.4409766958,668694816.2483438,12614944.69941361,424429056.71326476,375078017.43310523,2471486915.5049496,15117786.43593273,428982989.8049584,201895.8559285508,555708147.4516262,199393.12473494187,558897359.1596557,66251.09372325515,821858843.2830309,120753.79965008951,610330880.9698318,40723.6039159885,1917818087.1694326,45447.012541782104,1470808369.9452708,26043.317393363985,1953520692.3916802,14641.286135267166,1506740962.911581,38785.385326628195,1580822618.9207537,38304.37520739593,1586674837.0978246,26614.385759216762,2050867793.9792523,26522.534841109977,2055155387.1185415,15515950.989886701,1421457304.4499416,52553755.145909525,1010543198.5793806,15206396.07278646,1424906004.2240758,52181554.75360877,992704134.5493764,150770.97364426765,1042697760.3179101,199616.71102699506,1048829963.8193098,31811.16067956986,1464785405.4697103,31551.336247258972,1471631398.4205086,0.0,0.0,0.0,0.0,0.0,0.0,119053926117.34082,3931821699.2800117 
June,126328.32393591764,1413776444.534253,248690.01717043624,1151568053.631586,87032097.73379721,2639125030.992832,122164.37543074891,1174132132.6250262,247233.55630678326,1261458843.5518212,220629.44376647894,1264909529.922658,98015.55490625749,1513264356.0590804,110584.76370313195,1246710388.63023,80979.77916778854,2533229262.7363467,133304.93815143182,2245781614.1925254,27356.83411971487,2572800695.884776,34729.93096746495,2285277930.2199707,103934.7063025784,2098857755.4054382,91278.86217152934,2105786161.673419,39760.61267584806,2393301522.3980885,39515.03400212645,2399866284.968242,59235.45208344761,2183592803.1729574,92658.87181152245,1880999888.6348534,19835.022392841296,2215249752.890131,30687.25433589626,1905610728.232819,51754.45765118257,1799996123.848612,46680.02848195646,1808968205.7111495,39073.933880818426,2090467552.2508647,35705.37634375788,2099414273.4224966,0.0,0.0,0.0,0.0,0.0,0.0,121715888379.75945,543818364.6998746 
July,149153.38162957627,2158703905.9039946,235254.60746098528,1802386536.296996,92661579.37411465,2832356840.996367,202902.19195345108,1858252311.4908652,325776.37987219595,1728872602.1275823,326881.5202720258,1735860774.90363,203955.18145641187,2077905103.963317,216807.8675828507,1890421675.225045,82672.54795185073,3120392145.274092,122709.64930337723,2730814299.1957016,56711.393103217575,3198295296.501239,68816.2254633658,2807202268.0293975,159430.2875344554,2415882315.3988075,156977.39518178615,2426471387.1124935,90628.73372414407,2812008922.654131,90852.11714273559,2821700563.3516245,73875.4882711076,2919534966.610049,94222.97525224523,2508033572.4656878,40824.48494804762,2972983649.3259797,61940.27604872437,2552227323.340386,101816.65787921118,2235244025.4504943,100129.86205759547,2247333957.382316,78799.26974760139,2633321138.010287,78398.22211852146,2643779275.291886,0.0,0.0,0.0,0.0,0.0,0.0,131670386338.66248,196373113.994002 
August,147226.77234389595,2273882753.6975894,200969.85190753866,1713809183.3591325,59565344.11455489,3278029074.3008566,198557.25344327773,1752237559.7090468,260610.71081023198,1678053717.8869913,259507.50109356915,1682691737.3769464,209552.6525707834,2234352300.688679,221094.57406084132,2003067764.985957,69248.74864970047,2987119991.2952766,155936.6804460876,2379008420.1789618,60253.462212640115,3037753413.037178,93425.09985658193,2433052892.6589417,174258.57415719103,2194011975.6426,173147.67914753486,2201317502.6222987,92329.7458375896,2811537426.334854,91982.92837603354,2816795739.925904,64534.47308202993,2634525826.529258,131083.21943469084,2019728968.4121811,53867.31394481364,2672916952.820308,74885.74306639166,2054286826.2971041,125246.71760518927,1879532217.9838614,119626.46602494526,1887534229.1112852,76701.8476180973,2488370240.9807334,76788.74866894008,2495256635.5118856,0.0,0.0,0.0,0.0,0.0,0.0,129248843513.66264,276519659.1787295 
September,27321.153324080784,1474156577.733306,111191.02334091769,882041744.1731312,199169561.31128213,3342584100.769645,66722.83104942282,851715132.7149798,142864.14644552564,1059721600.318206,141747.85438197566,1058372951.7655715,33931.102728844875,1695618451.1726344,38715.40712194802,1304743825.6504714,9482.432716796424,1980586644.080253,48504.12518007127,1295003949.6524787,9014.77367244067,1947923179.4603558,43756.69568057428,1261775565.1528785,53075.95311192791,1500979942.4326262,52548.03174140032,1500078914.8233604,15704.357000535096,2212046647.9279037,15703.476055905467,2211027661.2941446,1177505.6925294353,1386304069.839396,10439086.750140501,801077586.1950011,1653200.9244521311,1335536641.0612712,11106984.44105629,738109055.7622408,41460.98863471245,876167698.1675984,38720.17689371553,876644390.1294949,6758.879062371161,1500366213.9809291,6803.287619150583,1501745844.0752993,0.0,0.0,0.0,0.0,0.0,0.0,114741031577.1093,2126454120.3631644 
October,3811.602831064215,806531828.1399755,53690726.15273333,414816812.6330132,534682693.35699457,3016959944.194872,54343850.7574548,410773908.5030147,27713.34142605481,617331444.603455,26530.12328992172,617098736.3941303,5782.841573611526,1061673147.1305703,6642.405253911037,803136312.2409194,167271.58164598304,1046709868.3171409,34491661.67641246,558498260.3620193,116655.51686084503,1037716507.4971067,36612272.914795,548924268.5703391,6841.099519699708,808772227.3479707,6687.113338654726,808633322.5725001,1354.5497849935145,1482414190.9612126,1358.0125269751761,1482125718.7832036,520465039.1523747,527087398.2099584,876152470.4493407,175240685.85742757,514295793.098973,506641522.94958377,860797425.2909572,166642400.04708967,287829283.1947929,286205455.7570533,288412479.4553438,285234233.9495378,122214323.48286627,720008335.2663816,122756172.488885,721690440.9333793,0.0,0.0,0.0,0.0,0.0,0.0,111818841874.67584,15223919103.49591 
November,539259444.9953835,148645987.1650587,1028623327.867589,29924152.35462284,1028364599.2597235,1420923196.6901045,1021852495.9169791,31922627.11927473,212696444.30478776,168623128.55663434,212602498.40913638,168711817.77140868,50090767.99716543,451655833.9355662,126567046.78634524,315686865.05579484,456153215.2058275,221061151.87867805,859340413.4966109,72195286.42528999,447071055.47436154,222794545.5518257,853635257.9856855,74560890.3211309,89165107.47882648,331955675.0683667,89068864.2562173,332022595.366202,20376302.176324785,669936503.6790254,20373169.73836039,670978844.399242,2042712032.159781,80689316.6331385,2619998571.1769876,12944431.317038883,2032129362.8861856,79826397.99868315,2606653981.9394655,11629271.512638208,1285783924.813817,29970567.037287865,1285507126.812369,29923235.28750139,850342843.7213794,162616795.1186937,850485123.6650847,163282629.0927836,0.0,0.0,0.0,0.0,0.0,0.0,108372075486.49742,61316702103.46214 
December,2063271858.6535275,4943481.625442743,2907465880.3244267,0.0,1852887751.9695888,553956285.538107,2914956688.0216756,0.0,1322604019.1704006,6346999.875204728,1323081933.6015737,6310533.481742829,616939959.579593,92161910.07804033,859856832.127493,49687456.55077997,1715309851.8743472,40395557.22057555,2527296056.53678,1104281.1394284526,1719015346.420266,37335766.7209258,2533110830.992296,886879.601306054,848520715.4489301,66061807.936026186,848659527.1193696,65763676.85938576,346533165.3815404,337728252.0778511,346706816.9514651,337338293.71140844,4193268330.259837,9199729.34531669,5094838368.86075,0.0,4193425891.25891,7167964.7811836675,5098348055.879076,0.0,3004551060.687451,155496.84323264193,3004946449.232848,152811.06831168843,2171114793.324382,41687405.05030999,2171819937.3693333,41667712.3716088,0.0,0.0,0.0,0.0,0.0,0.0,115323905693.04713,145754901482.3797 
