Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,58750472.89344061,58750472.89344061 
 01/01  02:00:00,,,78730390.4488399,78730390.44883993 
 01/01  03:00:00,,,57865511.542789645,57865511.542789675 
 01/01  04:00:00,,,64651612.888680115,64651612.88868013 
 01/01  05:00:00,,,73772738.85838285,73772738.85838282 
 01/01  06:00:00,,,95970909.0505136,95970909.05051361 
 01/01  07:00:00,,,162596569.3094736,162596569.30947357 
 01/01  08:00:00,,,168014511.37942848,168014511.37942842 
 01/01  09:00:00,,,170180671.05843085,170180671.0584308 
 01/01  10:00:00,,,144285751.446096,144285751.446096 
 01/01  11:00:00,,,128229691.9315028,128229691.93150279 
 01/01  12:00:00,,,131687362.37474684,131687362.37474677 
 01/01  13:00:00,,,111538189.57253513,111538189.57253505 
 01/01  14:00:00,,,100813940.37278742,100813940.37278739 
 01/01  15:00:00,,,107546484.44232139,107546484.44232136 
 01/01  16:00:00,,,111266936.99021327,111266936.99021323 
 01/01  17:00:00,,,135807394.35122204,135807394.35122195 
 01/01  18:00:00,,,153047468.72154152,153047468.72154143 
 01/01  19:00:00,,,187810506.87443402,187810506.874434 
 01/01  20:00:00,,,180457601.60026848,180457601.6002684 
 01/01  21:00:00,,,174618543.82950604,174618543.82950604 
 01/01  22:00:00,,,147491955.24317467,147491955.2431746 
 01/01  23:00:00,,,128852081.33492638,128852081.33492632 
 01/01  24:00:00,,,92754016.22820929,92754016.22820929 
 01/02  01:00:00,,,76991518.56457643,76991518.56457645 
 01/02  02:00:00,,,61878534.98812854,61878534.98812857 
 01/02  03:00:00,,,66965509.79827617,66965509.79827619 
 01/02  04:00:00,,,53688070.164440826,53688070.16444085 
 01/02  05:00:00,,,63606475.25713986,63606475.25713988 
 01/02  06:00:00,,,104655154.58905053,104655154.58905053 
 01/02  07:00:00,,,157609442.33036107,157609442.33036098 
 01/02  08:00:00,,,162799278.76593894,162799278.76593888 
 01/02  09:00:00,,,155332720.69547218,155332720.69547212 
 01/02  10:00:00,,,134724741.18941367,134724741.18941355 
 01/02  11:00:00,,,138731581.8666699,138731581.8666698 
 01/02  12:00:00,,,116664486.17596051,116664486.17596045 
 01/02  13:00:00,,,108079381.07677393,108079381.07677384 
 01/02  14:00:00,,,113880968.5063462,113880968.50634615 
 01/02  15:00:00,,,98740155.55419956,98740155.55419955 
 01/02  16:00:00,,,117026786.34684707,117026786.34684703 
 01/02  17:00:00,,,126361829.54072088,126361829.54072082 
 01/02  18:00:00,,,159267267.09149233,159267267.09149227 
 01/02  19:00:00,,,179124217.11693552,179124217.1169355 
 01/02  20:00:00,,,182639027.98005334,182639027.98005322 
 01/02  21:00:00,,,173068652.27894515,173068652.27894506 
 01/02  22:00:00,,,145726075.94899637,145726075.94899628 
 01/02  23:00:00,,,131398602.5081094,131398602.50810933 
 01/02  24:00:00,,,91348170.62572438,91348170.62572435 
 01/03  01:00:00,,,74449962.87607867,74449962.8760787 
 01/03  02:00:00,,,52533885.13487545,52533885.13487547 
 01/03  03:00:00,,,58489009.57043316,58489009.570433185 
 01/03  04:00:00,,,64200608.61144507,64200608.61144509 
 01/03  05:00:00,,,61459496.39638395,61459496.396383956 
 01/03  06:00:00,,,93319185.16327408,93319185.16327403 
 01/03  07:00:00,,,166660566.52090377,166660566.5209037 
 01/03  08:00:00,,,161790974.7649711,161790974.76497102 
 01/03  09:00:00,,,153519351.08012334,153519351.0801233 
 01/03  10:00:00,,,142901782.77773595,142901782.7777359 
 01/03  11:00:00,,,142824255.68485367,142824255.68485364 
 01/03  12:00:00,,,121331070.67754376,121331070.67754379 
 01/03  13:00:00,,,111937252.1039785,111937252.10397846 
