Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,78533460.4792909,78533460.4792909 
 01/01  02:00:00,,,76530906.86553031,76530906.86553031 
 01/01  03:00:00,,,81645705.55873996,81645705.55873996 
 01/01  04:00:00,,,81608283.70064163,81608283.70064163 
 01/01  05:00:00,,,81911750.24848028,81911750.24848026 
 01/01  06:00:00,,,81632561.36209461,81632561.36209461 
 01/01  07:00:00,,,106077405.4411736,106077405.44117355 
 01/01  08:00:00,,,99199096.38489066,99199096.38489066 
 01/01  09:00:00,,,87907949.98258908,87907949.98258908 
 01/01  10:00:00,,,89872210.04048696,89872210.04048696 
 01/01  11:00:00,,,97490614.36380152,97490614.36380152 
 01/01  12:00:00,,,96245033.79614215,96245033.79614215 
 01/01  13:00:00,,,94608915.04214537,94608915.0421454 
 01/01  14:00:00,,,98673444.54918967,98673444.54918967 
 01/01  15:00:00,,,99542712.78832372,99542712.7883237 
 01/01  16:00:00,,,88162087.24714538,88162087.24714538 
 01/01  17:00:00,,,96728821.118265,96728821.118265 
 01/01  18:00:00,,,103623017.13022962,103623017.13022962 
 01/01  19:00:00,,,95997292.12676768,95997292.1267677 
 01/01  20:00:00,,,79776621.66315943,79776621.66315943 
 01/01  21:00:00,,,82279696.9704337,82279696.9704337 
 01/01  22:00:00,,,79990204.80086347,79990204.80086347 
 01/01  23:00:00,,,78736243.69395736,78736243.69395736 
 01/01  24:00:00,,,78657149.4971194,78657149.4971194 
 01/02  01:00:00,,,95907040.58240339,95907040.58240339 
 01/02  02:00:00,,,94531748.56875643,94531748.56875643 
 01/02  03:00:00,,,94520185.15904266,94520185.15904266 
 01/02  04:00:00,,,94510562.89026588,94510562.89026588 
 01/02  05:00:00,,,94500168.78233717,94500168.78233717 
 01/02  06:00:00,,,92910429.67948273,92910429.67948273 
 01/02  07:00:00,,,138853841.05664116,138853841.05664116 
 01/02  08:00:00,,,195184144.10182667,195184144.10182664 
 01/02  09:00:00,,,367625665.8742647,367625665.87426466 
 01/02  10:00:00,,,351486083.9773526,351486083.9773526 
 01/02  11:00:00,,,364853895.1277693,364853895.12776923 
 01/02  12:00:00,,,382672203.58179176,382672203.58179176 
 01/02  13:00:00,,,370584071.62409353,370584071.6240935 
 01/02  14:00:00,,,398575058.41443133,398575058.4144313 
 01/02  15:00:00,,,388181251.95148605,388181251.95148593 
 01/02  16:00:00,,,394360860.11517,394360860.11517 
 01/02  17:00:00,,,403940312.5706773,403940312.5706772 
 01/02  18:00:00,,,274918666.8550036,274918666.85500354 
 01/02  19:00:00,,,171217527.98096892,171217527.98096892 
 01/02  20:00:00,,,153416571.8301704,153416571.83017042 
 01/02  21:00:00,,,141320931.02334094,141320931.02334097 
 01/02  22:00:00,,,139390309.8125682,139390309.8125682 
 01/02  23:00:00,,,126129977.97799003,126129977.97799006 
 01/02  24:00:00,,,120596416.32507941,120596416.32507941 
 01/03  01:00:00,,,96331915.94651204,96331915.94651207 
 01/03  02:00:00,,,97064354.54412788,97064354.54412788 
 01/03  03:00:00,,,96827983.51443422,96827983.51443422 
 01/03  04:00:00,,,96396582.48970205,96396582.48970205 
 01/03  05:00:00,,,94806177.59510979,94806177.59510979 
 01/03  06:00:00,,,92910429.67948273,92910429.67948273 
 01/03  07:00:00,,,140703377.66032752,140703377.66032752 
 01/03  08:00:00,,,198380048.20985696,198380048.20985696 
 01/03  09:00:00,,,376765846.1466715,376765846.1466714 
 01/03  10:00:00,,,365052372.60958993,365052372.60958993 
 01/03  11:00:00,,,375458777.6646882,375458777.6646882 
 01/03  12:00:00,,,389583625.41601396,389583625.4160139 
 01/03  13:00:00,,,375995144.8627267,375995144.8627266 
 01/03  14:00:00,,,405732506.91550386,405732506.9155038 
 01/03  15:00:00,,,402597177.2506962,402597177.2506962 
 01/03  16:00:00,,,410855354.17655194,410855354.1765519 
 01/03  17:00:00,,,426563346.24807024,426563346.24807024 
 01/03  18:00:00,,,292110856.35540617,292110856.3554061 
 01/03  19:00:00,,,176360180.02914035,176360180.02914035 
 01/03  20:00:00,,,156146613.92809945,156146613.92809945 
 01/03  21:00:00,,,143394890.97969463,143394890.97969463 
 01/03  22:00:00,,,139611192.329853,139611192.329853 
 01/03  23:00:00,,,126942294.67862792,126942294.67862792 
 01/03  24:00:00,,,121492631.03972992,121492631.03972992 
 01/04  01:00:00,,,97159038.22933164,97159038.22933164 
 01/04  02:00:00,,,97112216.60914439,97112216.60914439 
 01/04  03:00:00,,,96976360.03173982,96976360.03173983 
 01/04  04:00:00,,,97399778.86437576,97399778.86437576 
 01/04  05:00:00,,,97257905.33307998,97257905.33307996 
 01/04  06:00:00,,,94806177.59510979,94806177.59510979 
 01/04  07:00:00,,,136394801.44397402,136394801.44397402 
 01/04  08:00:00,,,180580812.45220533,180580812.45220536 
 01/04  09:00:00,,,380123741.2687552,380123741.26875514 
 01/04  10:00:00,,,361906132.24506736,361906132.2450673 
 01/04  11:00:00,,,367489603.42441833,367489603.42441833 
 01/04  12:00:00,,,386257337.64578986,386257337.64578986 
 01/04  13:00:00,,,379125859.40221375,379125859.40221363 
 01/04  14:00:00,,,409520823.11383855,409520823.11383855 
 01/04  15:00:00,,,401469612.6811192,401469612.68111914 
 01/04  16:00:00,,,403745915.9781511,403745915.97815096 
 01/04  17:00:00,,,414106865.98789686,414106865.9878967 
 01/04  18:00:00,,,293811102.18102396,293811102.18102396 
 01/04  19:00:00,,,198872291.6971406,198872291.6971406 
 01/04  20:00:00,,,185356397.01204765,185356397.01204765 
 01/04  21:00:00,,,174856575.58793345,174856575.58793345 
 01/04  22:00:00,,,173948491.21946272,173948491.21946275 
 01/04  23:00:00,,,150141504.341824,150141504.341824 
 01/04  24:00:00,,,146989210.3394356,146989210.3394356 
 01/05  01:00:00,,,126493763.74307878,126493763.74307878 
 01/05  02:00:00,,,121891284.88255565,121891284.88255565 
 01/05  03:00:00,,,123616230.07299976,123616230.07299976 
