Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,33145721525.93972,480544716.4685046,3743539383.7287097,62619495.04473427,2484771395.07764,46780690.46838029,3184830568.6224003,0.0,22201765437.100212,0.0,21320074909.98575,865289.467962861,4780281240.101031,586445.0421832828,4225065204.146176,204191.29206156303,9295722138.334032,636103.0917449519,4215465489.8975115,0.0,4158385145.399805,0.0,3726535777.7740636,114271427.69268061,8281535504.686664,0.0,3668134669.3078885,0.0,4968236738.640491,0.0,4259359083.653556,0.0,9238491201.187613,0.0,4297385215.419234,170631765379.94485,12957523295.008772 
February,0.0,30908697443.48456,344753660.39413023,4307113948.502578,30493018.796379056,2681760337.7176223,28207223.04876142,3275346979.583964,0.0,21050926101.297634,0.0,20642816604.584312,0.0,4927580063.442435,0.0,4519792281.0589,0.0,8884474055.733316,0.0,4494777716.23528,0.0,4012723105.683418,0.0,3869957540.744131,21116292.03520448,7847329663.957026,0.0,3787793533.8342767,0.0,5017776689.981584,0.0,4497248402.710783,0.0,8759606279.491713,0.0,4517525921.632809,158228071469.5541,11120960694.421879 
March,0.0,35840404777.49412,388997229.642699,5683875793.086782,17968415.25053529,3384720286.0108423,18881224.436779857,3879798604.9004464,0.0,24415430295.044262,0.0,24815094325.35739,0.0,6241203961.509017,0.0,5896524304.7108,0.0,9220613626.07309,0.0,5918462821.107404,0.0,4585666171.58381,0.0,4688988130.442254,90230280.7458222,7175609695.955762,0.0,4662215989.904382,0.0,6164819439.829192,0.0,5743231948.603292,0.0,9008006668.432095,0.0,5818230102.957529,186249062103.4617,12726407399.796526 
April,0.0,33487230172.28916,163633909.37452048,7053659788.032955,8371006.137737538,3902717458.5316243,7835485.27817964,4160266727.202472,0.0,23382087232.567905,0.0,24729800269.654015,0.0,7118497846.983633,0.0,6530865652.643997,0.0,8362886371.678054,0.0,6574638846.124769,0.0,5077082827.686099,0.0,5144916252.551174,12027101.842500545,6515024875.025263,0.0,5142920993.289711,0.0,6818421805.009028,0.0,6235989023.587336,0.0,8029958749.3825245,0.0,6336841259.095471,181289072446.57816,11373773468.84534 
May,0.0,35497649987.32745,74130392.85339952,8124969743.3257,5048724.135597868,4432438104.281198,5168808.087298056,4574008639.718912,0.0,25000637347.84181,0.0,26829008616.958416,0.0,8457454526.620415,0.0,7421594078.348828,0.0,8308675409.879282,0.0,6925969781.538798,0.0,6047787217.382031,0.0,5848676719.821939,0.0,6502059408.478205,0.0,5339457828.485132,0.0,8058438292.955671,0.0,7061204706.941739,0.0,7921463414.728376,0.0,6654349980.399486,207146854762.09863,11615366975.193611 
June,0.0,35637757686.43548,11805106.13783744,8692120313.3039,2470418.1346446835,4764542578.480124,841677.298532776,4987081033.564638,0.0,25063303186.939453,0.0,27070971300.99321,0.0,9187401362.641981,0.0,7491258166.655159,0.0,8604489736.25473,0.0,6894407675.195253,0.0,7208340272.6616745,0.0,6256615912.034225,0.0,7577642604.576093,0.0,5624829068.179616,0.0,8664377701.755802,0.0,7039298052.948905,0.0,8112974392.326193,0.0,6537853530.0879965,211726069669.90582,11038188990.75578 
July,0.0,34702399964.29694,14156711.05334918,9108180959.575302,3356010.952506796,4916849711.355384,358368.00741692435,5147255759.30742,0.0,24777098891.579803,0.0,26994289856.189255,0.0,9411230983.37777,0.0,7755218656.092598,0.0,9002446006.766626,0.0,7295722728.620376,0.0,7603857237.237219,0.0,6662330832.638758,0.0,8197441894.452258,0.0,6149944456.379695,0.0,8786725997.82226,0.0,7241415500.680926,0.0,8406283389.63578,0.0,6861580599.279417,212356215182.25378,10674606994.618979 
August,0.0,37561625259.29816,17027573.92056813,9067395547.01434,2830680.654901446,5089216512.136741,1102061.0762253655,5518617789.144544,0.0,26404753508.56954,0.0,28367618639.278122,0.0,9328638487.066944,0.0,7622504709.174877,0.0,9890323873.238716,0.0,7692401359.79011,0.0,8048309085.61749,0.0,6926392676.37849,0.0,9654333149.61206,0.0,6971184782.12019,0.0,8816543450.7909,0.0,7175095865.078503,0.0,9360191271.352703,0.0,7320427810.661733,224267084545.10794,11082017112.799213 
September,0.0,34525700809.64492,24867767.972943313,7454350414.044554,4785908.2589069195,4321282789.085256,2776007.33172353,4862963859.217624,0.0,24194291623.01941,0.0,25808252736.973,0.0,7889559702.319293,0.0,6650187014.09738,0.0,9683024874.827122,0.0,6360892218.0904,0.0,7076920830.558168,0.0,6265597378.931068,0.0,9669988516.306658,0.0,5950477571.4511,0.0,7454658030.550135,0.0,6247563513.188934,0.0,9169868352.017899,0.0,6036278523.047785,203214874531.06424,10461827105.407995 
October,0.0,35701511478.76561,123285782.75615454,6441324791.043574,7133982.418976632,4042458016.621296,8256873.535530476,4774614063.823684,0.0,24964092055.416103,0.0,25754416350.644073,0.0,7127701966.610035,0.0,6180462852.248265,0.0,10480466044.276003,0.0,5999765205.046043,0.0,6741440513.13452,0.0,6118557932.777312,0.0,10675783128.971334,0.0,5908850817.769755,0.0,6963223999.544412,0.0,5976118904.170244,0.0,10146633737.98047,0.0,5873206924.313823,201082650667.27634,11049837186.712133 
November,0.0,34493908245.775536,221951212.78439903,4884777699.735549,17645259.274697915,3311371496.5221066,13431275.457377642,4086116009.6797404,0.0,23661100019.18461,0.0,23734700924.56248,0.0,5936074910.882431,0.0,5060977903.90138,0.0,10084801882.52823,0.0,4921688071.749726,0.0,5640912772.75734,0.0,4966349060.570262,0.0,10302505008.371128,0.0,4776636460.130042,0.0,5923976186.652887,0.0,4939193842.337533,0.0,9821113017.093052,0.0,4869782724.5577755,181785641393.25443,11100621556.504808 
December,0.0,33981010508.42085,487245772.69709754,3717747312.3923483,28617766.382524922,2599169493.5984354,21550424.75516265,3448912570.7018914,0.0,22798882825.527176,0.0,21880155713.678894,0.0,4853652460.814811,0.0,4147720161.1597877,0.0,9733384895.417664,0.0,4180018126.2635727,0.0,4598426968.269604,0.0,3991632550.962305,7822731.7021221295,9436779291.466751,0.0,3968981655.5755334,0.0,5056337112.89735,0.0,4190496727.63527,0.0,9652887808.43432,0.0,4280273754.188692,167311402927.64792,11663275256.42827 
