Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.001631E+00,2.665491E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.625470E+00,5.076367E+04,6.671703E+04,2.077414E+00,2.603109E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.341979E+00,3.618956E+04,5.214960E+04,2.548035E+00,2.215454E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.222392E+00,3.483159E+04,5.091529E+04
00:20:00,2.001536E+00,2.665569E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.609887E+00,5.047918E+04,6.638474E+04,2.077372E+00,2.603144E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.324928E+00,3.588842E+04,5.180633E+04,2.548014E+00,2.215471E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.196020E+00,3.442461E+04,5.046235E+04
00:30:00,2.001442E+00,2.665647E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.594596E+00,5.019800E+04,6.604806E+04,2.077330E+00,2.603178E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.308207E+00,3.559101E+04,5.146123E+04,2.547993E+00,2.215488E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.170355E+00,3.402565E+04,5.001246E+04
00:40:00,2.001348E+00,2.665724E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.579579E+00,4.991994E+04,6.572686E+04,2.077288E+00,2.603212E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.291794E+00,3.529711E+04,5.112669E+04,2.547972E+00,2.215505E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.145351E+00,3.363420E+04,4.957683E+04
00:50:00,2.001255E+00,2.665801E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.564821E+00,4.964482E+04,6.542400E+04,2.077247E+00,2.603246E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.275672E+00,3.500649E+04,5.080554E+04,2.547952E+00,2.215522E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.120969E+00,3.324980E+04,4.915780E+04
01:00:00,2.001162E+00,2.665877E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.550308E+00,4.937250E+04,6.513440E+04,2.077206E+00,2.603280E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.259822E+00,3.471897E+04,5.049546E+04,2.547932E+00,2.215539E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.097173E+00,3.287205E+04,4.875302E+04
01:10:00,2.001169E+00,2.665872E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.539560E+00,4.917877E+04,6.493116E+04,2.077209E+00,2.603278E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.247735E+00,3.451004E+04,5.027218E+04,2.547933E+00,2.215538E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.077391E+00,3.257574E+04,4.843809E+04
01:20:00,2.001175E+00,2.665867E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.529182E+00,4.898925E+04,6.473444E+04,2.077211E+00,2.603275E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.236086E+00,3.430607E+04,5.005687E+04,2.547934E+00,2.215537E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.058333E+00,3.228765E+04,4.813442E+04
01:30:00,2.001181E+00,2.665862E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.519112E+00,4.880322E+04,6.454222E+04,2.077214E+00,2.603273E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.224788E+00,3.410609E+04,4.984730E+04,2.547936E+00,2.215535E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.039909E+00,3.200676E+04,4.783976E+04
01:40:00,2.001187E+00,2.665857E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,4.509325E+00,4.862039E+04,6.435385E+04,2.077217E+00,2.603271E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.213825E+00,3.390990E+04,4.964269E+04,2.547937E+00,2.215534E+04,1.217729E+00,0.000000E+00,0.000000E+00,1.217729E+00,0.000000E+00,3.022080E+00,3.173262E+04,4.755311E+04
