Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,76775275.4503524,76775275.4503524 
 01/01  02:00:00,,,78815628.41907717,78815628.41907717 
 01/01  03:00:00,,,81621615.03495553,81621615.03495553 
 01/01  04:00:00,,,81979666.19886734,81979666.19886732 
 01/01  05:00:00,,,77126773.48758857,77126773.48758857 
 01/01  06:00:00,,,79175317.22294872,79175317.2229487 
 01/01  07:00:00,,,114763371.86845256,114763371.86845256 
 01/01  08:00:00,,,90966512.99272603,90966512.99272601 
 01/01  09:00:00,,,92527828.9553263,92527828.95532629 
 01/01  10:00:00,,,91684262.00247414,91684262.00247413 
 01/01  11:00:00,,,87504737.9613783,87504737.9613783 
 01/01  12:00:00,,,98131199.35895008,98131199.35895008 
 01/01  13:00:00,,,90492125.34176,90492125.34175996 
 01/01  14:00:00,,,101551698.28003588,101551698.28003587 
 01/01  15:00:00,,,93300298.85668543,93300298.8566854 
 01/01  16:00:00,,,102216795.0565258,102216795.0565258 
 01/01  17:00:00,,,94469891.77282459,94469891.77282459 
 01/01  18:00:00,,,106726308.86384887,106726308.86384887 
 01/01  19:00:00,,,88987223.21612105,88987223.21612103 
 01/01  20:00:00,,,80979868.28786536,80979868.28786536 
 01/01  21:00:00,,,80769615.6887847,80769615.6887847 
 01/01  22:00:00,,,79691111.50078622,79691111.50078622 
 01/01  23:00:00,,,78602642.69388449,78602642.69388448 
 01/01  24:00:00,,,77620766.68178132,77620766.68178132 
 01/02  01:00:00,,,95821981.86334965,95821981.86334965 
 01/02  02:00:00,,,94461295.03532566,94461295.03532566 
 01/02  03:00:00,,,93905317.64268675,93905317.64268675 
 01/02  04:00:00,,,94449866.24967262,94449866.24967262 
 01/02  05:00:00,,,94444851.64215401,94444851.64215401 
 01/02  06:00:00,,,92910429.67948273,92910429.67948273 
 01/02  07:00:00,,,136824740.110638,136824740.110638 
 01/02  08:00:00,,,194371804.73459104,194371804.73459098 
 01/02  09:00:00,,,368958164.2042052,368958164.20420516 
 01/02  10:00:00,,,351618894.08147514,351618894.0814751 
 01/02  11:00:00,,,365689827.0163029,365689827.0163029 
 01/02  12:00:00,,,384309108.45833564,384309108.4583356 
 01/02  13:00:00,,,372600532.1048488,372600532.1048488 
 01/02  14:00:00,,,399456855.14624894,399456855.1462488 
 01/02  15:00:00,,,388723523.15148735,388723523.1514872 
 01/02  16:00:00,,,394995442.28667367,394995442.2866736 
 01/02  17:00:00,,,404704936.7770001,404704936.77700007 
 01/02  18:00:00,,,275448018.28312993,275448018.2831299 
 01/02  19:00:00,,,170457341.46098766,170457341.46098766 
 01/02  20:00:00,,,153436474.675301,153436474.67530102 
 01/02  21:00:00,,,141626761.65710247,141626761.65710247 
 01/02  22:00:00,,,139696086.82358575,139696086.82358575 
 01/02  23:00:00,,,126119227.56108221,126119227.56108221 
 01/02  24:00:00,,,120410919.11215019,120410919.11215019 
 01/03  01:00:00,,,96550079.97128488,96550079.97128487 
 01/03  02:00:00,,,96882578.72234644,96882578.72234643 
 01/03  03:00:00,,,96292031.62850697,96292031.62850697 
 01/03  04:00:00,,,96248914.27458854,96248914.27458853 
 01/03  05:00:00,,,96524828.55784215,96524828.55784214 
 01/03  06:00:00,,,92910429.67948273,92910429.67948273 
 01/03  07:00:00,,,137848916.49390632,137848916.49390632 
 01/03  08:00:00,,,195767237.31355765,195767237.31355762 
 01/03  09:00:00,,,377161703.7578322,377161703.75783217 
 01/03  10:00:00,,,364781053.6145933,364781053.6145932 
 01/03  11:00:00,,,376071357.15705276,376071357.15705264 
 01/03  12:00:00,,,391489528.52960587,391489528.5296057 
 01/03  13:00:00,,,377333645.68801236,377333645.68801236 
 01/03  14:00:00,,,407859632.50477844,407859632.5047784 
 01/03  15:00:00,,,404987665.75957394,404987665.75957394 
 01/03  16:00:00,,,413396141.93940675,413396141.93940663 
 01/03  17:00:00,,,429462740.36224735,429462740.3622473 
 01/03  18:00:00,,,292447992.6844527,292447992.68445265 
 01/03  19:00:00,,,175278578.99104002,175278578.99104 
 01/03  20:00:00,,,155871610.43378472,155871610.43378472 
 01/03  21:00:00,,,142959528.34141323,142959528.34141323 
 01/03  22:00:00,,,139732160.45505312,139732160.45505312 
 01/03  23:00:00,,,126439039.09164935,126439039.09164937 
 01/03  24:00:00,,,122330408.15402502,122330408.15402502 
 01/04  01:00:00,,,97313270.09399483,97313270.09399481 
 01/04  02:00:00,,,96944287.3809829,96944287.3809829 
 01/04  03:00:00,,,96786394.17251894,96786394.17251894 
 01/04  04:00:00,,,97093552.82777366,97093552.82777366 
 01/04  05:00:00,,,97048150.75680032,97048150.75680032 
 01/04  06:00:00,,,94748875.65744126,94748875.65744126 
 01/04  07:00:00,,,136339188.58302915,136339188.58302915 
 01/04  08:00:00,,,177538214.40279046,177538214.40279046 
 01/04  09:00:00,,,381289786.9576395,381289786.95763946 
 01/04  10:00:00,,,362420008.3203551,362420008.32035506 
 01/04  11:00:00,,,368166706.9681176,368166706.9681175 
 01/04  12:00:00,,,387214347.07966334,387214347.0796633 
 01/04  13:00:00,,,380701733.41149753,380701733.4114975 
 01/04  14:00:00,,,417182003.2559819,417182003.2559818 
 01/04  15:00:00,,,409928068.17282546,409928068.1728254 
 01/04  16:00:00,,,412325038.5133452,412325038.51334506 
 01/04  17:00:00,,,423972458.94259953,423972458.9425994 
 01/04  18:00:00,,,301332282.89242005,301332282.89242005 
 01/04  19:00:00,,,200660036.32539698,200660036.32539696 
 01/04  20:00:00,,,186016287.515824,186016287.515824 
 01/04  21:00:00,,,175357461.34619913,175357461.34619913 
 01/04  22:00:00,,,174581416.50837782,174581416.50837782 
 01/04  23:00:00,,,149653617.54254657,149653617.54254657 
 01/04  24:00:00,,,147711498.73261252,147711498.73261252 
 01/05  01:00:00,,,126199374.2352401,126199374.2352401 
