Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.557021E+00,2.207885E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.603933E+03,4.483266E+00,5.032084E+04,6.627250E+04,2.632804E+00,2.145516E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.603933E+03,3.239654E+00,3.576219E+04,5.170939E+04,3.042273E+00,1.808247E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.603933E+03,3.113913E+00,3.429014E+04,5.035045E+04
00:20:00,2.556927E+00,2.207963E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.711512E+03,4.468173E+00,5.003661E+04,6.593818E+04,2.632762E+00,2.145551E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.711512E+03,3.223114E+00,3.546104E+04,5.136391E+04,3.042265E+00,1.808254E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.711512E+03,3.088346E+00,3.388330E+04,4.989550E+04
00:30:00,2.556832E+00,2.208041E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.819091E+03,4.453370E+00,4.975577E+04,6.559912E+04,2.632720E+00,2.145585E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.819091E+03,3.206895E+00,3.516363E+04,5.101654E+04,3.042256E+00,1.808261E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.819091E+03,3.063469E+00,3.348455E+04,4.944364E+04
00:40:00,2.556738E+00,2.208118E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.926669E+03,4.438844E+00,4.947819E+04,6.527598E+04,2.632678E+00,2.145619E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.926669E+03,3.190977E+00,3.486975E+04,5.067998E+04,3.042247E+00,1.808268E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,1.926669E+03,3.039242E+00,3.309339E+04,4.900635E+04
00:50:00,2.556645E+00,2.208195E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.034248E+03,4.424586E+00,4.920373E+04,6.497197E+04,2.632637E+00,2.145653E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.034248E+03,3.175344E+00,3.457919E+04,5.035723E+04,3.042239E+00,1.808275E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.034248E+03,3.015635E+00,3.270950E+04,4.858619E+04
01:00:00,2.556553E+00,2.208271E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.141827E+03,4.410565E+00,4.893206E+04,6.468178E+04,2.632596E+00,2.145687E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.141827E+03,3.159981E+00,3.429180E+04,5.004599E+04,3.042230E+00,1.808282E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.141827E+03,2.992608E+00,3.233239E+04,4.818073E+04
01:10:00,2.556559E+00,2.208266E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.213546E+03,4.400254E+00,4.873967E+04,6.447910E+04,2.632599E+00,2.145685E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.213546E+03,3.148328E+00,3.408370E+04,4.982262E+04,3.042231E+00,1.808282E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.213546E+03,2.973524E+00,3.203729E+04,4.786602E+04
01:20:00,2.556565E+00,2.208261E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.285265E+03,4.390283E+00,4.855127E+04,6.428297E+04,2.632602E+00,2.145682E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.285265E+03,3.137112E+00,3.388071E+04,4.960760E+04,3.042232E+00,1.808281E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.285265E+03,2.955126E+00,3.175023E+04,4.756259E+04
01:30:00,2.556571E+00,2.208256E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.356984E+03,4.380590E+00,4.836611E+04,6.409127E+04,2.632604E+00,2.145680E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.356984E+03,3.126244E+00,3.368179E+04,4.939859E+04,3.042232E+00,1.808281E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.356984E+03,2.937314E+00,3.147002E+04,4.726797E+04
01:40:00,2.556577E+00,2.208251E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.428703E+03,4.371146E+00,4.818386E+04,6.390322E+04,2.632607E+00,2.145678E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.428703E+03,3.115702E+00,3.348668E+04,4.919468E+04,3.042233E+00,1.808280E+04,2.155521E+00,0.000000E+00,0.000000E+00,2.155521E+00,2.428703E+03,2.920050E+00,3.119623E+04,4.698117E+04
