Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,222003654.7823481,222003654.7823481 
 01/01  02:00:00,,,199727958.79870605,199727958.79870602 
 01/01  03:00:00,,,224589268.2268798,224589268.22687978 
 01/01  04:00:00,,,204650764.2565725,204650764.2565725 
 01/01  05:00:00,,,243904801.78441215,243904801.78441212 
 01/01  06:00:00,,,201281843.3678232,201281843.36782327 
 01/01  07:00:00,,,253585029.71147895,253585029.7114789 
 01/01  08:00:00,,,215505047.6782669,215505047.67826688 
 01/01  09:00:00,,,232837799.3977619,232837799.39776194 
 01/01  10:00:00,,,182328824.94190675,182328824.94190672 
 01/01  11:00:00,,,179948136.70352343,179948136.7035234 
 01/01  12:00:00,,,158021677.3571285,158021677.3571285 
 01/01  13:00:00,,,169506379.9256711,169506379.9256711 
 01/01  14:00:00,,,147040623.29217583,147040623.29217583 
 01/01  15:00:00,,,165241220.602292,165241220.60229197 
 01/01  16:00:00,,,151651967.35501975,151651967.35501975 
 01/01  17:00:00,,,188930732.130225,188930732.130225 
 01/01  18:00:00,,,188846090.50397903,188846090.50397903 
 01/01  19:00:00,,,250985451.29346538,250985451.29346538 
 01/01  20:00:00,,,194078783.098251,194078783.098251 
 01/01  21:00:00,,,238303321.75797552,238303321.75797552 
 01/01  22:00:00,,,195421183.21334726,195421183.21334723 
 01/01  23:00:00,,,232518994.04087922,232518994.04087922 
 01/01  24:00:00,,,209675285.31923172,209675285.31923172 
 01/02  01:00:00,,,234778660.38663357,234778660.3866336 
 01/02  02:00:00,,,216186994.21063614,216186994.21063614 
 01/02  03:00:00,,,296797613.9555532,296797613.9555532 
 01/02  04:00:00,,,215118876.92972437,215118876.92972434 
 01/02  05:00:00,,,242364386.120264,242364386.120264 
 01/02  06:00:00,,,214777547.03256565,214777547.0325657 
 01/02  07:00:00,,,288757000.9262055,288757000.9262056 
 01/02  08:00:00,,,312023427.8872852,312023427.88728523 
 01/02  09:00:00,,,345821297.675427,345821297.675427 
 01/02  10:00:00,,,301452942.10462964,301452942.1046295 
 01/02  11:00:00,,,280209703.68526673,280209703.6852667 
 01/02  12:00:00,,,268350294.35281608,268350294.352816 
 01/02  13:00:00,,,287660996.59086764,287660996.59086764 
 01/02  14:00:00,,,267315642.1944964,267315642.19449636 
 01/02  15:00:00,,,256306703.23960504,256306703.239605 
 01/02  16:00:00,,,262494032.47031435,262494032.47031435 
 01/02  17:00:00,,,288761274.7281081,288761274.7281081 
 01/02  18:00:00,,,274735469.43450683,274735469.43450683 
 01/02  19:00:00,,,227173745.0952521,227173745.0952521 
 01/02  20:00:00,,,210844376.918708,210844376.918708 
 01/02  21:00:00,,,208285603.87949142,208285603.87949142 
 01/02  22:00:00,,,213106319.8082178,213106319.80821776 
 01/02  23:00:00,,,211247854.27864313,211247854.27864316 
 01/02  24:00:00,,,193496871.97784305,193496871.97784302 
 01/03  01:00:00,,,220864311.3577742,220864311.35777423 
 01/03  02:00:00,,,188021311.37941825,188021311.37941825 
 01/03  03:00:00,,,232252761.88823724,232252761.8882372 
 01/03  04:00:00,,,190563895.6436506,190563895.64365053 
 01/03  05:00:00,,,253645915.16253704,253645915.16253704 
 01/03  06:00:00,,,230685406.2539196,230685406.2539196 
 01/03  07:00:00,,,302028638.49729055,302028638.4972905 
 01/03  08:00:00,,,306422428.5791169,306422428.57911694 
 01/03  09:00:00,,,351863363.79939055,351863363.7993905 
 01/03  10:00:00,,,311324131.7783085,311324131.7783085 
 01/03  11:00:00,,,294111644.1165006,294111644.1165005 
 01/03  12:00:00,,,281923754.60152584,281923754.6015258 
 01/03  13:00:00,,,298350585.41550356,298350585.41550356 
 01/03  14:00:00,,,284710955.6842197,284710955.68421966 
 01/03  15:00:00,,,271213363.9971415,271213363.99714136 
 01/03  16:00:00,,,286664812.93472296,286664812.93472296 
 01/03  17:00:00,,,313960606.65354085,313960606.65354085 
 01/03  18:00:00,,,296798417.19089186,296798417.1908918 
 01/03  19:00:00,,,261326557.34499073,261326557.34499073 
 01/03  20:00:00,,,242671308.94431403,242671308.94431403 
 01/03  21:00:00,,,239843778.34632525,239843778.3463252 
 01/03  22:00:00,,,246602797.60115623,246602797.60115618 
 01/03  23:00:00,,,222823191.16062266,222823191.16062266 
 01/03  24:00:00,,,206628697.15613636,206628697.15613633 
 01/04  01:00:00,,,267467761.80002886,267467761.80002877 
