Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,638529.5203263519,8386001275.484526,7516539015.157716,0.0,2619802419.3275404,179512.36905815965,2137013222.4248345,78110199.28835946,209717918.6654395,5460929491.651463,4042365463.116737,3228763006.177679,8015943194.69217,39102792.21898705,5081087272.677857,68547729.77066231,6675828796.247533,396621835.4414746,5364539655.782402,76681314.3214612,4864663948.017637,96061381.49159677,2950984168.5871143,143458169.49439874,7258812946.429266,143865433.81763735,3168223191.4340982,116770700.1967717,5159800684.642971,128300210.90303294,3245314011.262869,113533744.46199982,4087569548.894535,583796793.8096497,3393697831.1923447,143420570.31201673,175200996913.2734,94205395139.1535 
February,0.0,7876641286.102142,6903536670.236897,0.0,2364274566.690216,45114.75847742113,1910296675.9258718,97904959.12049042,99254274.4297369,5079079421.342023,3692146935.7937126,2931033554.0860214,7261521880.637925,68669666.26087788,4678130941.995737,88912155.38854483,6133233015.2081995,391142723.38782644,4725453862.855397,120758818.05716074,4690065706.522917,113256406.9261105,2882044810.478427,134450287.52782342,7132968548.029582,102326343.65299246,2878783913.8151283,150790770.88698784,4803068422.507338,167626583.8783799,3044101184.496005,120912427.86832152,3802910023.6799626,542545441.0808545,3022656085.3043847,191309506.71797377,159270544184.161,95576062102.11244 
March,0.0,10106005733.34021,4098954873.0050964,138822187.25094646,1626257474.5572865,20099376.541298322,1232361981.9326813,149950160.80953476,1976233.3424464832,6862896994.526573,1025473238.3417196,6243532031.743505,3795513996.2790556,603194321.1519905,2321419613.508301,605384665.3809602,3119357357.595551,1444713867.8507779,2362560149.4159107,630226475.3605884,2290197772.8782196,573846958.9231625,1269073309.513238,553198894.8832545,3961248757.7835107,649068433.2828252,1247529165.3953779,557483051.4848857,2039105857.4543078,774188240.6692729,1236195552.5233355,619551091.9983948,1561996370.061158,1669403338.1405413,1222260314.5294428,746004658.4608448,129195679648.03236,70169918661.79549 
April,0.0,11308783772.832125,1555307607.9602287,405996125.74766743,851834909.1294074,51180954.848852135,581320481.0709472,267188018.85074207,0.0,6586256696.308869,0.0,7483790320.746599,688868516.2700833,1106511323.4366477,389074582.29701537,1012292853.5955002,554595781.7066917,1897936554.1842165,385589377.1608677,1190543243.080033,159373936.84850633,1055244809.6656221,55504660.72801861,896767108.2940742,1403509133.0311263,1021437387.9588732,37242256.9567082,943763719.3736974,82971389.12343523,1243950714.8650787,46042154.75844524,1064750108.813952,48527241.71358568,2120015079.8059545,33058145.9062223,1316726706.552796,88605683278.61499,42359619879.15873 
May,0.0,18540581130.816666,483435843.77496064,2238918578.4537854,274312206.86499596,694157634.8810551,158517835.74498802,997463963.0807673,0.0,11557673373.48174,0.0,11494677242.640701,573129.483783215,2601084405.6600785,266323.877799397,2985195130.7432365,876707.9004439949,3932468354.613396,882193.9426614026,3057766000.7243485,0.0,1990341432.9231224,0.0,2246576177.948944,331261049.5516053,2371113552.9430304,0.0,2258758869.2636657,0.0,2655747904.7566895,0.0,3045482965.5896635,0.0,4011633985.1750484,0.0,3096449510.7620916,98944980912.11105,17356654030.24176 
June,0.0,22706762740.657036,333435515.6727714,3721483971.7088046,32025584.547062807,1586621274.1840663,28402402.45595486,1802396539.668927,0.0,15723793197.43548,0.0,15760100955.680243,0.0,4244704978.53638,0.0,4339931617.930556,0.0,5282967209.7592535,0.0,4286623109.416336,0.0,3051659686.3681293,0.0,3462423678.4041476,33891985.14828777,3424252571.723514,0.0,3347134460.8916316,0.0,4226244921.330456,0.0,4272249350.05233,0.0,5233410214.338753,0.0,4250985271.096865,112190689700.69171,11664418465.036629 
July,0.0,23629498780.85458,248863643.70290345,4747539279.2894335,15947392.799478566,2287499114.0427504,12337775.670659175,2462677476.318886,0.0,17210707831.903046,0.0,17740147986.624687,0.0,5253069059.601345,0.0,5035909090.721843,0.0,6585796409.395992,0.0,5420431118.624657,0.0,3972532552.447192,0.0,4196126212.1345115,203448.6193604752,5052992211.074148,0.0,4566885098.368584,0.0,5093036205.504349,0.0,4862754012.10747,0.0,6381093653.160622,0.0,5282106409.605747,129771868014.40979,10703419616.12821 
August,0.0,24846142975.48587,315862723.76934403,3869553761.6198735,24462651.344296813,1923995273.2839708,21250354.32314315,2276892858.7100124,0.0,17361262897.56012,0.0,16911155937.960957,0.0,4377766712.766845,0.0,4438677995.501861,0.0,6720726618.468099,0.0,4415098234.281463,0.0,3704213015.3681583,0.0,4062145642.928163,0.0,5533193402.410341,0.0,3999921467.128418,0.0,4466477241.006037,0.0,4460437981.686538,0.0,6797480795.942612,0.0,4482025374.33785,126683299505.57611,11068537325.657415 
September,0.0,20314360784.176815,403367273.7902899,1848175847.1244955,193054037.34083664,908626783.6238666,120530010.23729871,1264242451.3039997,0.0,12618352937.169958,0.0,11592476837.212633,992459.4477436187,2532846810.171832,772943.2203570071,2487081745.8205285,13259.863972646826,4806401122.413669,0.0,2490244001.6095576,0.0,2581819166.94169,0.0,2571643194.788781,56001114.71506388,4180057149.784839,0.0,2536335221.334058,0.0,2756984037.7659106,0.0,2606997229.4981375,0.0,5086228534.063526,0.0,2660087957.2559896,101311573694.60663,12725019429.416544 
October,0.0,15359825505.113937,1258052716.837718,490613880.82292414,701471626.140773,197191718.1076346,474742290.9694335,420445295.99290437,0.0,8339861118.98236,30620781.3173044,7924588984.53487,431250396.9667074,1351801652.7941332,250677316.8674698,1119182030.3881702,308554216.2932513,2813782817.451155,270638450.0412007,1211125008.444476,6334809.74523334,1643614684.8611813,1337434.6994488523,1371013786.7765257,470030571.69970787,2535976034.8101954,3007591.356820307,1428278863.260552,95658481.1597199,1562621931.5747197,53787901.708317235,1203373024.7307556,53491323.04943145,3202469624.798808,61441759.6748687,1383437727.3686376,94895827008.96834,26017555753.804165 
November,0.0,9043066536.414814,3683349584.2588563,5323163.057080207,1349150459.4207258,7638608.908042973,1112655162.7082539,75504558.42535116,593844.060214151,6201498708.403715,702610439.3725827,5555741221.32638,3081159138.0066795,477679932.3506456,1937346036.1023605,353766589.18492913,2569132968.6933746,838158723.8702551,2008543011.9144745,367387399.3281354,778357548.8697034,769484263.6682462,475194957.9459143,549209889.0330228,2427014988.1154804,585591789.5928946,498935655.5994814,555954907.6572634,1315702470.4354715,714627910.2081256,832438519.5296398,400465049.67221934,1006659662.3591623,1088312985.6110036,861447263.5387446,519023625.6667212,113665471791.0799,54233320197.69264 
December,0.0,8692045211.964008,6804368291.7968235,1125622.9553326103,2387692199.360686,512282.8133246612,1946278361.2426288,69030446.74296013,288864786.41933936,5699996699.950836,3734559666.391388,3601728348.9485455,6936425024.945023,141000631.95266154,4636258556.70873,129240344.45663741,6182403285.082099,408534658.53674537,4718674154.477398,118907714.1480958,3529844417.5460835,284731959.60620797,2303232408.577165,231034773.063742,6132426278.080522,208258252.52232528,2347294260.109777,219039718.05488712,4311621164.315464,278852079.1789166,2882092057.3689923,167062626.0496865,3686673096.207799,608914579.0517435,2882371015.152549,213487223.36349756,162282294477.30762,81676987811.19064 
