Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.833575E+03,2.608005E+04,1.930904E-01,1.988557E+00,7.428920E+03,1.704885E+04,3.741815E-01,1.299956E+00,1.496353E+04,1.629726E+04,7.536863E-01,1.242648E+00,1.017745E+04,3.226088E+03,5.125436E-01,2.460068E-01,6.625561E+03,2.101796E+03,3.336661E-01,1.602739E-01,1.017170E+04,3.334298E+03,5.122539E-01,2.542585E-01,6.698905E+03,2.448670E+03,3.373598E-01,1.867247E-01,7.344742E+03,3.020307E+03,3.699102E-01,2.303071E-01,4.810626E+03,2.346097E+03,2.422813E-01,1.788963E-01,7.344735E+03,3.460361E+03,3.699099E-01,2.638619E-01,4.871831E+03,2.813438E+03,2.453638E-01,2.145316E-01,7.794949E+03,3.449264E+03,3.925673E-01,2.630224E-01,5.098083E+03,2.247215E+03,2.567471E-01,1.713610E-01,7.787564E+03,3.561947E+03,3.921954E-01,2.716150E-01,5.162159E+03,2.594697E+03,2.599741E-01,1.978576E-01
00:20:00,3.826522E+03,2.603109E+04,1.927352E-01,1.984820E+00,7.427624E+03,1.699126E+04,3.741163E-01,1.295561E+00,1.496325E+04,1.617684E+04,7.536722E-01,1.233462E+00,1.017739E+04,3.172288E+03,5.125405E-01,2.419038E-01,6.625522E+03,2.065901E+03,3.336641E-01,1.575364E-01,1.017163E+04,3.279602E+03,5.122508E-01,2.500871E-01,6.698866E+03,2.401044E+03,3.373578E-01,1.830927E-01,7.344068E+03,2.986993E+03,3.698763E-01,2.277662E-01,4.810213E+03,2.319425E+03,2.422605E-01,1.768621E-01,7.344061E+03,3.422997E+03,3.698759E-01,2.610121E-01,4.871419E+03,2.777081E+03,2.453431E-01,2.117589E-01,7.794654E+03,3.410798E+03,3.925524E-01,2.600886E-01,5.097896E+03,2.220977E+03,2.567377E-01,1.693599E-01,7.787269E+03,3.522220E+03,3.921805E-01,2.685851E-01,5.161971E+03,2.557305E+03,2.599646E-01,1.950060E-01
00:30:00,3.819513E+03,2.598263E+04,1.923821E-01,1.981122E+00,7.426336E+03,1.693403E+04,3.740514E-01,1.291194E+00,1.496297E+04,1.605935E+04,7.536582E-01,1.224500E+00,1.017732E+04,3.120025E+03,5.125375E-01,2.379180E-01,6.625483E+03,2.030954E+03,3.336622E-01,1.548713E-01,1.017157E+04,3.226332E+03,5.122478E-01,2.460246E-01,6.698828E+03,2.354912E+03,3.373558E-01,1.795747E-01,7.343398E+03,2.954392E+03,3.698425E-01,2.252798E-01,4.809803E+03,2.293205E+03,2.422399E-01,1.748625E-01,7.343392E+03,3.386283E+03,3.698422E-01,2.582121E-01,4.871010E+03,2.741680E+03,2.453225E-01,2.090593E-01,7.794361E+03,3.373192E+03,3.925377E-01,2.572205E-01,5.097710E+03,2.195268E+03,2.567283E-01,1.673992E-01,7.786975E+03,3.483273E+03,3.921657E-01,2.656147E-01,5.161785E+03,2.521005E+03,2.599552E-01,1.922377E-01
00:40:00,3.812547E+03,2.593461E+04,1.920312E-01,1.977457E+00,7.425056E+03,1.687713E+04,3.739869E-01,1.286852E+00,1.496269E+04,1.594456E+04,7.536443E-01,1.215744E+00,1.017726E+04,3.069212E+03,5.125344E-01,2.340430E-01,6.625445E+03,1.996909E+03,3.336602E-01,1.522749E-01,1.017151E+04,3.174422E+03,5.122447E-01,2.420658E-01,6.698789E+03,2.310239E+03,3.373539E-01,1.761679E-01,7.342733E+03,2.922461E+03,3.698090E-01,2.228445E-01,4.809396E+03,2.267425E+03,2.422193E-01,1.728964E-01,7.342726E+03,3.350199E+03,3.698087E-01,2.554602E-01,4.870603E+03,2.707122E+03,2.453020E-01,2.064240E-01,7.794070E+03,3.336402E+03,3.925230E-01,2.544147E-01,5.097525E+03,2.170069E+03,2.567190E-01,1.654774E-01,7.786683E+03,3.445080E+03,3.921510E-01,2.627019E-01,5.161600E+03,2.485644E+03,2.599459E-01,1.895411E-01
00:50:00,3.805623E+03,2.588698E+04,1.916825E-01,1.973823E+00,7.423785E+03,1.682051E+04,3.739229E-01,1.282531E+00,1.496242E+04,1.583227E+04,7.536305E-01,1.207180E+00,1.017720E+04,3.019769E+03,5.125314E-01,2.302724E-01,6.625407E+03,1.963722E+03,3.336583E-01,1.497440E-01,1.017145E+04,3.123805E+03,5.122417E-01,2.382057E-01,6.698751E+03,2.266947E+03,3.373520E-01,1.728664E-01,7.342072E+03,2.891162E+03,3.697757E-01,2.204575E-01,4.808991E+03,2.242068E+03,2.421990E-01,1.709627E-01,7.342065E+03,3.314720E+03,3.697754E-01,2.527545E-01,4.870199E+03,2.673263E+03,2.452817E-01,2.038419E-01,7.793780E+03,3.300389E+03,3.925084E-01,2.516683E-01,5.097341E+03,2.145361E+03,2.567097E-01,1.635931E-01,7.786394E+03,3.407614E+03,3.921364E-01,2.598446E-01,5.161416E+03,2.451222E+03,2.599367E-01,1.869161E-01
01:00:00,3.798742E+03,2.583969E+04,1.913359E-01,1.970215E+00,7.422521E+03,1.676412E+04,3.738593E-01,1.278229E+00,1.496215E+04,1.572231E+04,7.536168E-01,1.198794E+00,1.017714E+04,2.971622E+03,5.125284E-01,2.266007E-01,6.625369E+03,1.931353E+03,3.336564E-01,1.472756E-01,1.017139E+04,3.074421E+03,5.122387E-01,2.344396E-01,6.698713E+03,2.224958E+03,3.373501E-01,1.696644E-01,7.341415E+03,2.860462E+03,3.697427E-01,2.181163E-01,4.808588E+03,2.217123E+03,2.421787E-01,1.690604E-01,7.341409E+03,3.279827E+03,3.697423E-01,2.500934E-01,4.869798E+03,2.640105E+03,2.452615E-01,2.013133E-01,7.793493E+03,3.265118E+03,3.924940E-01,2.489784E-01,5.097158E+03,2.121127E+03,2.567005E-01,1.617449E-01,7.786106E+03,3.370851E+03,3.921219E-01,2.570410E-01,5.161234E+03,2.417700E+03,2.599275E-01,1.843597E-01
01:10:00,3.799191E+03,2.581550E+04,1.913585E-01,1.968368E+00,7.422605E+03,1.672933E+04,3.738635E-01,1.275575E+00,1.496217E+04,1.563532E+04,7.536178E-01,1.192159E+00,1.017715E+04,2.929308E+03,5.125286E-01,2.233737E-01,6.625371E+03,1.902687E+03,3.336565E-01,1.450895E-01,1.017140E+04,3.030820E+03,5.122389E-01,2.311147E-01,6.698716E+03,2.187131E+03,3.373502E-01,1.667797E-01,7.341459E+03,2.835158E+03,3.697449E-01,2.161865E-01,4.808615E+03,2.195568E+03,2.421800E-01,1.674165E-01,7.341452E+03,3.250273E+03,3.697445E-01,2.478396E-01,4.869825E+03,2.610645E+03,2.452628E-01,1.990668E-01,7.793512E+03,3.235251E+03,3.924949E-01,2.467007E-01,5.097170E+03,2.100329E+03,2.567011E-01,1.601588E-01,7.786125E+03,3.339468E+03,3.921229E-01,2.546476E-01,5.161246E+03,2.388024E+03,2.599281E-01,1.820965E-01
01:20:00,3.799637E+03,2.579213E+04,1.913810E-01,1.966584E+00,7.422689E+03,1.669547E+04,3.738677E-01,1.272991E+00,1.496218E+04,1.555110E+04,7.536187E-01,1.185736E+00,1.017715E+04,2.888580E+03,5.125288E-01,2.202678E-01,6.625374E+03,1.875042E+03,3.336567E-01,1.429813E-01,1.017140E+04,2.988769E+03,5.122391E-01,2.279078E-01,6.698718E+03,2.150747E+03,3.373503E-01,1.640051E-01,7.341502E+03,2.810692E+03,3.697471E-01,2.143206E-01,4.808642E+03,2.174596E+03,2.421814E-01,1.658172E-01,7.341496E+03,3.221568E+03,3.697467E-01,2.456506E-01,4.869852E+03,2.582048E+03,2.452641E-01,1.968860E-01,7.793531E+03,3.206459E+03,3.924959E-01,2.445049E-01,5.097182E+03,2.080232E+03,2.567017E-01,1.586262E-01,7.786144E+03,3.309141E+03,3.921239E-01,2.523348E-01,5.161258E+03,2.359428E+03,2.599287E-01,1.799159E-01
01:30:00,3.800081E+03,2.576920E+04,1.914034E-01,1.964834E+00,7.422772E+03,1.666202E+04,3.738719E-01,1.270439E+00,1.496220E+04,1.546907E+04,7.536197E-01,1.179479E+00,1.017716E+04,2.849316E+03,5.125290E-01,2.172736E-01,6.625377E+03,1.848346E+03,3.336568E-01,1.409454E-01,1.017140E+04,2.948150E+03,5.122393E-01,2.248103E-01,6.698721E+03,2.115703E+03,3.373505E-01,1.613327E-01,7.341546E+03,2.786990E+03,3.697492E-01,2.125131E-01,4.808668E+03,2.154166E+03,2.421827E-01,1.642592E-01,7.341539E+03,3.193647E+03,3.697489E-01,2.435213E-01,4.869878E+03,2.554252E+03,2.452655E-01,1.947663E-01,7.793550E+03,3.178638E+03,3.924968E-01,2.423833E-01,5.097194E+03,2.060775E+03,2.567023E-01,1.571424E-01,7.786163E+03,3.279773E+03,3.921248E-01,2.500952E-01,5.161270E+03,2.331828E+03,2.599293E-01,1.778111E-01
01:40:00,3.800522E+03,2.574665E+04,1.914256E-01,1.963112E+00,7.422854E+03,1.662891E+04,3.738760E-01,1.267913E+00,1.496222E+04,1.538907E+04,7.536206E-01,1.173378E+00,1.017716E+04,2.811462E+03,5.125292E-01,2.143869E-01,6.625379E+03,1.822567E+03,3.336569E-01,1.389796E-01,1.017141E+04,2.908919E+03,5.122395E-01,2.218185E-01,6.698723E+03,2.081942E+03,3.373506E-01,1.587582E-01,7.341589E+03,2.764031E+03,3.697514E-01,2.107623E-01,4.808695E+03,2.134264E+03,2.421840E-01,1.627416E-01,7.341582E+03,3.166489E+03,3.697511E-01,2.414502E-01,4.869904E+03,2.527229E+03,2.452668E-01,1.927057E-01,7.793569E+03,3.151759E+03,3.924978E-01,2.403334E-01,5.097206E+03,2.041941E+03,2.567029E-01,1.557062E-01,7.786182E+03,3.251340E+03,3.921258E-01,2.479269E-01,5.161282E+03,2.305183E+03,2.599299E-01,1.757792E-01
