Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.398044E+03,3.801660E+04,1.753873E-01,3.296285E+00,7.523615E+03,2.292059E+04,3.883252E-01,1.987373E+00,1.515726E+04,2.216546E+04,7.823298E-01,1.921897E+00,1.034123E+04,4.697823E+03,5.336743E-01,4.073732E-01,6.731135E+03,3.042752E+03,3.473681E-01,2.638542E-01,1.033539E+04,4.809185E+03,5.333731E-01,4.170299E-01,6.807122E+03,3.400388E+03,3.512895E-01,2.948661E-01,7.476692E+03,4.514797E+03,3.858705E-01,3.914858E-01,4.896749E+03,3.302978E+03,2.527193E-01,2.864069E-01,7.476685E+03,4.962460E+03,3.858701E-01,4.303027E-01,4.960181E+03,3.788774E+03,2.559931E-01,3.285303E-01,7.926953E+03,4.900383E+03,4.090904E-01,4.249323E-01,5.183444E+03,3.173465E+03,2.675034E-01,2.751849E-01,7.919529E+03,5.014949E+03,4.087073E-01,4.348666E-01,5.249926E+03,3.531073E+03,2.709343E-01,3.061940E-01
00:20:00,3.392137E+03,3.796192E+04,1.750824E-01,3.291543E+00,7.522520E+03,2.285715E+04,3.882687E-01,1.981868E+00,1.515703E+04,2.203798E+04,7.823176E-01,1.910841E+00,1.034118E+04,4.641846E+03,5.336716E-01,4.025189E-01,6.731102E+03,3.005500E+03,3.473664E-01,2.606236E-01,1.033534E+04,4.752146E+03,5.333704E-01,4.120834E-01,6.807089E+03,3.350545E+03,3.512878E-01,2.905439E-01,7.476121E+03,4.479662E+03,3.858410E-01,3.884388E-01,4.896399E+03,3.274819E+03,2.527013E-01,2.839649E-01,7.476114E+03,4.922825E+03,3.858407E-01,4.268655E-01,4.959832E+03,3.749962E+03,2.559750E-01,3.251647E-01,7.926704E+03,4.860019E+03,4.090776E-01,4.214317E-01,5.183286E+03,3.146035E+03,2.674952E-01,2.728062E-01,7.919279E+03,4.973170E+03,4.086944E-01,4.312434E-01,5.249768E+03,3.491648E+03,2.709261E-01,3.027752E-01
00:30:00,3.386266E+03,3.790784E+04,1.747793E-01,3.286852E+00,7.521433E+03,2.279419E+04,3.882126E-01,1.976406E+00,1.515679E+04,2.191366E+04,7.823055E-01,1.900059E+00,1.034112E+04,4.587582E+03,5.336690E-01,3.978131E-01,6.731069E+03,2.969309E+03,3.473647E-01,2.574852E-01,1.033529E+04,4.696726E+03,5.333678E-01,4.072775E-01,6.807057E+03,3.302480E+03,3.512861E-01,2.863758E-01,7.475554E+03,4.445365E+03,3.858117E-01,3.854644E-01,4.896052E+03,3.247212E+03,2.526833E-01,2.815709E-01,7.475547E+03,4.883992E+03,3.858114E-01,4.234980E-01,4.959486E+03,3.712221E+03,2.559572E-01,3.218920E-01,7.926457E+03,4.820661E+03,4.090648E-01,4.180186E-01,5.183128E+03,3.119232E+03,2.674871E-01,2.704818E-01,7.919031E+03,4.932343E+03,4.086816E-01,4.277029E-01,5.249610E+03,3.453487E+03,2.709180E-01,2.994659E-01
00:40:00,3.380431E+03,3.785428E+04,1.744782E-01,3.282206E+00,7.520352E+03,2.273165E+04,3.881568E-01,1.970982E+00,1.515656E+04,2.179225E+04,7.822935E-01,1.889529E+00,1.034107E+04,4.534932E+03,5.336663E-01,3.932474E-01,6.731037E+03,2.934126E+03,3.473630E-01,2.544342E-01,1.033524E+04,4.642838E+03,5.333651E-01,4.026043E-01,6.807024E+03,3.256064E+03,3.512844E-01,2.823507E-01,7.474990E+03,4.411863E+03,3.857826E-01,3.825591E-01,4.895706E+03,3.220134E+03,2.526655E-01,2.792227E-01,7.474983E+03,4.845924E+03,3.857823E-01,4.201967E-01,4.959141E+03,3.675473E+03,2.559394E-01,3.187054E-01,7.926211E+03,4.782255E+03,4.090521E-01,4.146880E-01,5.182972E+03,3.093027E+03,2.674790E-01,2.682093E-01,7.918785E+03,4.892421E+03,4.086689E-01,4.242408E-01,5.249454E+03,3.416498E+03,2.709100E-01,2.962583E-01
00:50:00,3.374631E+03,3.780119E+04,1.741788E-01,3.277600E+00,7.519278E+03,2.266949E+04,3.881014E-01,1.965589E+00,1.515633E+04,2.167353E+04,7.822816E-01,1.879233E+00,1.034102E+04,4.483811E+03,5.336637E-01,3.888141E-01,6.731005E+03,2.899903E+03,3.473613E-01,2.514663E-01,1.033519E+04,4.590399E+03,5.333625E-01,3.980568E-01,6.806992E+03,3.211183E+03,3.512828E-01,2.784587E-01,7.474430E+03,4.379121E+03,3.857537E-01,3.797197E-01,4.895363E+03,3.193563E+03,2.526478E-01,2.769185E-01,7.474423E+03,4.808584E+03,3.857534E-01,4.169586E-01,4.958799E+03,3.639652E+03,2.559217E-01,3.155991E-01,7.925966E+03,4.744753E+03,4.090395E-01,4.114357E-01,5.182817E+03,3.067396E+03,2.674710E-01,2.659866E-01,7.918540E+03,4.853359E+03,4.086563E-01,4.208533E-01,5.249299E+03,3.380604E+03,2.709020E-01,2.931456E-01
01:00:00,3.368867E+03,3.774851E+04,1.738813E-01,3.273029E+00,7.518212E+03,2.260764E+04,3.880463E-01,1.960224E+00,1.515610E+04,2.155728E+04,7.822697E-01,1.869152E+00,1.034097E+04,4.434144E+03,5.336611E-01,3.845070E-01,6.730973E+03,2.866597E+03,3.473597E-01,2.485781E-01,1.033514E+04,4.539338E+03,5.333599E-01,3.936288E-01,6.806960E+03,3.167739E+03,3.512811E-01,2.746913E-01,7.473874E+03,4.347115E+03,3.857250E-01,3.769441E-01,4.895022E+03,3.167481E+03,2.526302E-01,2.746567E-01,7.473867E+03,4.771945E+03,3.857247E-01,4.137813E-01,4.958459E+03,3.604699E+03,2.559042E-01,3.125681E-01,7.925723E+03,4.708112E+03,4.090270E-01,4.082582E-01,5.182662E+03,3.042316E+03,2.674630E-01,2.638116E-01,7.918297E+03,4.815118E+03,4.086437E-01,4.175370E-01,5.249145E+03,3.345734E+03,2.708940E-01,2.901218E-01
01:10:00,3.369243E+03,3.772023E+04,1.739007E-01,3.270574E+00,7.518282E+03,2.256967E+04,3.880500E-01,1.956931E+00,1.515612E+04,2.146663E+04,7.822705E-01,1.861290E+00,1.034098E+04,4.390938E+03,5.336613E-01,3.807601E-01,6.730975E+03,2.837391E+03,3.473598E-01,2.460453E-01,1.033514E+04,4.494686E+03,5.333601E-01,3.897565E-01,6.806962E+03,3.128886E+03,3.512812E-01,2.713220E-01,7.473911E+03,4.320910E+03,3.857269E-01,3.746715E-01,4.895045E+03,3.145086E+03,2.526314E-01,2.727147E-01,7.473904E+03,4.741083E+03,3.857266E-01,4.111049E-01,4.958482E+03,3.573806E+03,2.559053E-01,3.098891E-01,7.925740E+03,4.677426E+03,4.090278E-01,4.055970E-01,5.182673E+03,3.021020E+03,2.674636E-01,2.619648E-01,7.918313E+03,4.782808E+03,4.086445E-01,4.147350E-01,5.249155E+03,3.315103E+03,2.708945E-01,2.874654E-01
01:20:00,3.369616E+03,3.769292E+04,1.739200E-01,3.268203E+00,7.518353E+03,2.253282E+04,3.880536E-01,1.953734E+00,1.515613E+04,2.137900E+04,7.822714E-01,1.853690E+00,1.034098E+04,4.349472E+03,5.336615E-01,3.771643E-01,6.730977E+03,2.809301E+03,3.473599E-01,2.436094E-01,1.033514E+04,4.451716E+03,5.333603E-01,3.860302E-01,6.806965E+03,3.091592E+03,3.512814E-01,2.680879E-01,7.473948E+03,4.295679E+03,3.857289E-01,3.724835E-01,4.895068E+03,3.123346E+03,2.526326E-01,2.708294E-01,7.473941E+03,4.711178E+03,3.857285E-01,4.085115E-01,4.958504E+03,3.543896E+03,2.559065E-01,3.072954E-01,7.925756E+03,4.647927E+03,4.090286E-01,4.030388E-01,5.182683E+03,3.000497E+03,2.674641E-01,2.601849E-01,7.918329E+03,4.751663E+03,4.086454E-01,4.120340E-01,5.249165E+03,3.285659E+03,2.708951E-01,2.849120E-01
01:30:00,3.369987E+03,3.766617E+04,1.739391E-01,3.265881E+00,7.518423E+03,2.249649E+04,3.880572E-01,1.950582E+00,1.515615E+04,2.129370E+04,7.822722E-01,1.846293E+00,1.034098E+04,4.309643E+03,5.336617E-01,3.737103E-01,6.730979E+03,2.782252E+03,3.473600E-01,2.412637E-01,1.033515E+04,4.410288E+03,5.333604E-01,3.824377E-01,6.806967E+03,3.055729E+03,3.512815E-01,2.649779E-01,7.473984E+03,4.271383E+03,3.857307E-01,3.703765E-01,4.895090E+03,3.102206E+03,2.526337E-01,2.689961E-01,7.473978E+03,4.682143E+03,3.857304E-01,4.059936E-01,4.958527E+03,3.514886E+03,2.559077E-01,3.047797E-01,7.925772E+03,4.619489E+03,4.090295E-01,4.005726E-01,5.182693E+03,2.980669E+03,2.674646E-01,2.584655E-01,7.918345E+03,4.721560E+03,4.086462E-01,4.094235E-01,5.249175E+03,3.257292E+03,2.708956E-01,2.824522E-01
01:40:00,3.370356E+03,3.763986E+04,1.739582E-01,3.263599E+00,7.518493E+03,2.246059E+04,3.880608E-01,1.947467E+00,1.515616E+04,2.121058E+04,7.822730E-01,1.839084E+00,1.034099E+04,4.271358E+03,5.336618E-01,3.703904E-01,6.730981E+03,2.756234E+03,3.473601E-01,2.390075E-01,1.033515E+04,4.370354E+03,5.333606E-01,3.789747E-01,6.806969E+03,3.021234E+03,3.512816E-01,2.619866E-01,7.474021E+03,4.247909E+03,3.857326E-01,3.683410E-01,4.895113E+03,3.081648E+03,2.526349E-01,2.672134E-01,7.474014E+03,4.653949E+03,3.857323E-01,4.035487E-01,4.958549E+03,3.486736E+03,2.559088E-01,3.023387E-01,7.925787E+03,4.592074E+03,4.090303E-01,3.981953E-01,5.182703E+03,2.961517E+03,2.674651E-01,2.568046E-01,7.918361E+03,4.692467E+03,4.086470E-01,4.069006E-01,5.249185E+03,3.229957E+03,2.708961E-01,2.800817E-01
