Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,18803078233.84841,8276482669.49593,0.0,2992257916.6405826,200901.06890699384,3132254652.460644,49576562.306672975,14634132.637419522,9845412542.262556,1779735984.8862112,6446267298.244333,7001631923.536328,186508389.5719753,4307905954.113628,210797762.8237056,5707189196.504817,823770532.488551,4544446687.987127,185153598.31696922,3824870189.790453,327349236.67150897,2330635880.5671115,329721642.5863718,6558004142.100174,306924221.00066507,2487688099.5702496,267128988.05684984,4102328570.1129427,405162542.0890998,2571907262.5127754,264658055.1270733,3252971754.839348,1192015654.2711978,2685297190.3833866,314567332.87401927,205617022980.42187,103379214249.5675 
February,0.0,17630870069.28835,7543247600.0393915,31913.412532415532,2673421870.2870235,222982.15152844146,2798617624.39687,66704990.69567102,3669229.114894092,9406040818.64416,1590405895.369921,6012758227.76801,6448884271.089914,242336182.06971774,3981202054.65533,220543962.49047133,5241185835.973527,782702211.4116069,4008933429.850516,242418053.2319629,3775686551.8930144,337328870.23304373,2284604472.6113553,299796962.28540164,6392565271.40211,199894587.18898413,2264654242.816511,305476463.2989191,3878481596.683084,424313394.0198891,2424431302.5758715,262076748.52585688,3013222876.9456334,1073412273.2099382,2397435738.7109084,366544352.1431285,187779993707.68405,103296979817.12766 
March,0.0,23848091839.75543,4613422895.190889,345230221.6378942,1779054653.7266135,117876101.46172388,1607088417.865233,347853244.30461144,253367.26227469902,12354638385.579588,344988759.3580096,10878666764.769852,3217142955.450312,1122457197.027254,1945117509.5426984,1052523895.0007093,2628122147.4891167,2564393224.2828383,1967033523.023657,1093030277.4190786,1842611026.3421552,1086276759.6249864,1030705134.9172043,975732054.5531026,3752865132.873307,1254651759.9770064,988818216.1877486,952198257.8587507,1538659835.8092844,1448352506.496508,946655769.7024227,1134088185.8739784,1197515852.8013403,2980792261.2732854,925960965.0733778,1302631077.3011527,169025973850.36353,70974600239.86128 
April,0.0,25204158926.090694,1922662473.8475256,890693495.9010117,719801935.1467375,261048647.1406438,496103832.90488386,737808435.3926522,0.0,12785549957.446774,0.0,12209386560.230762,662877060.6947147,1723863694.4536088,387748009.95487195,1715408531.4374585,549402937.5094674,3142954682.1615725,383317499.4434417,1857615583.9941173,251164736.82501695,1781420828.9663458,90563831.08013621,1554268219.6101449,1682070138.7149122,1856853236.7069411,75785417.54546477,1576309901.4004533,82354518.2704716,2044717351.9505482,49248424.97910432,1911182632.0416503,50445314.10372555,3514145444.8728232,38696509.2465864,2058200856.265979,132711097586.24022,34777135971.27865 
May,0.0,31100303065.456356,691954500.5854843,3464309948.517092,165987954.90069133,1558939296.1242735,118230727.14346197,2081853342.0054,0.0,19277409494.756256,0.0,18071116080.725086,9620025.829702603,3929181904.043518,5524761.481520744,4070296259.9332466,7995338.899243599,5438794966.537169,6698475.346319485,4007555418.6276636,1425917.972011379,3128056423.146275,612441.88288257,3265656204.764744,482512998.4152577,3631336974.6731896,602875.1106956451,3197444485.425969,0.0,4183807517.3855257,0.0,4185300457.801295,0.0,5682556490.176139,0.0,4152762438.751703,151348825075.23425,15308320611.908075 
June,0.0,33909759366.017563,469291202.85353607,5195663033.289635,30324504.12770153,2752045548.291592,24461053.56620695,3263708462.0068884,0.0,22530676857.12218,0.0,22580057756.54414,0.0,5842446112.241106,0.0,5427944357.159517,0.0,6870967365.053339,0.0,5324350873.229599,0.0,4588504447.419565,0.0,4567772441.070462,114625590.40609866,4973767387.367649,0.0,4412913971.206517,0.0,5849197005.522777,0.0,5316231330.662599,0.0,6813427993.235329,0.0,5279187824.426283,165979168743.21698,11291187296.57638 
July,0.0,33978430907.532967,302412186.49514526,6415850460.275251,17706752.225574203,3584657098.277566,14809249.02882211,4088417342.8532896,0.0,23399442122.395992,0.0,24228011169.809105,0.0,6911263427.88864,0.0,6160465831.557126,0.0,8249685921.741027,0.0,6518218576.4218025,0.0,5604686377.721162,0.0,5328753174.67298,12992494.837860476,6873275015.685085,0.0,5680748104.4994755,0.0,6695920482.564458,0.0,5902719734.81835,0.0,7971480480.721036,0.0,6316147562.656755,179803963590.59155,10690965911.438889 
August,0.0,36100709083.79485,419603412.33293235,5369268649.768718,24573681.251065604,3184106818.864293,22356879.049232326,3902455473.1953096,0.0,24092087275.005527,0.0,24044533890.28123,0.0,6068373489.288813,0.0,5605304205.669263,0.0,8482097334.97868,0.0,5534735550.900497,0.0,5366449946.202241,0.0,5244304956.488267,704089.2586143262,7460930972.219207,0.0,5140627577.144749,0.0,6097109576.772699,0.0,5505494022.5980015,0.0,8433901935.711517,0.0,5509429288.162645,181665680667.63693,11073957359.626808 
September,0.0,31530245908.247524,603999814.2571534,2826442432.047313,129524070.12249252,1756822751.7046247,94255960.73983161,2475414018.8452625,0.0,19491052459.492214,0.0,18069384751.407646,15753436.443254605,3817593963.198744,9214469.925746582,3416571383.0078535,11391036.224684844,6322144141.64077,9126672.460598594,3373519149.161806,0.0,3930566513.3975425,0.0,3535407573.8517404,114914930.7617903,5789362991.86084,0.0,3482615004.471652,0.0,4137112863.4836745,0.0,3543737986.3508687,0.0,6650045697.512727,0.0,3581342376.92396,151016705827.38513,12048731917.103027 
October,0.0,28561960079.021954,1539022170.5131326,925864657.3974127,576266944.4986542,547258160.0359317,406400493.6712912,1129891902.2918725,0.0,15079794073.125889,4100445.2222863883,12996046686.114141,431475060.97067,2079023072.4156735,254041294.27816084,1713408696.984564,316638103.0093449,4078294939.279025,274353274.3741229,1746672691.6328342,34144602.950697154,2773265222.2964196,12336698.78763425,2184880169.782224,668622322.4069153,3941502838.9234614,18971619.731309902,2190560598.967971,106647867.85922983,2534223630.2812567,60058552.02090527,1943653378.512367,64635099.32787339,4669041224.666018,68629338.77830474,2051097697.5609431,142227187238.14,22660345685.47872 
