Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.398044E+03,3.810657E+04,1.753873E-01,3.204824E+00,7.523615E+03,2.300753E+04,3.883252E-01,1.934980E+00,1.515726E+04,2.219435E+04,7.823298E-01,1.866590E+00,1.034123E+04,4.647757E+03,5.336743E-01,3.909237E-01,6.731135E+03,3.008785E+03,3.473681E-01,2.530704E-01,1.033539E+04,4.757833E+03,5.333731E-01,4.001821E-01,6.807122E+03,3.364979E+03,3.512895E-01,2.830293E-01,7.476692E+03,4.476949E+03,3.858705E-01,3.765416E-01,4.896749E+03,3.275960E+03,2.527193E-01,2.755302E-01,7.476685E+03,4.923196E+03,3.858701E-01,4.140733E-01,4.960181E+03,3.760981E+03,2.559931E-01,3.163229E-01,7.926953E+03,4.867612E+03,4.090904E-01,4.094100E-01,5.183444E+03,3.150634E+03,2.675034E-01,2.649974E-01,7.919529E+03,4.981100E+03,4.087073E-01,4.189552E-01,5.249926E+03,3.507049E+03,2.709343E-01,2.949745E-01
00:20:00,3.392137E+03,3.805170E+04,1.750824E-01,3.200207E+00,7.522520E+03,2.294379E+04,3.882687E-01,1.929616E+00,1.515703E+04,2.206656E+04,7.823176E-01,1.855839E+00,1.034118E+04,4.591946E+03,5.336716E-01,3.862291E-01,6.731102E+03,2.971641E+03,3.473664E-01,2.499459E-01,1.033534E+04,4.700907E+03,5.333704E-01,3.953937E-01,6.807089E+03,3.315222E+03,3.512878E-01,2.788441E-01,7.476121E+03,4.441999E+03,3.858410E-01,3.736015E-01,4.896399E+03,3.247879E+03,2.527013E-01,2.731682E-01,7.476114E+03,4.883659E+03,3.858407E-01,4.107474E-01,4.959832E+03,3.722230E+03,2.559750E-01,3.130636E-01,7.926704E+03,4.827355E+03,4.090776E-01,4.060237E-01,5.183286E+03,3.123278E+03,2.674952E-01,2.626964E-01,7.919279E+03,4.939395E+03,4.086944E-01,4.154471E-01,5.249768E+03,3.467672E+03,2.709261E-01,2.916624E-01
00:30:00,3.386266E+03,3.799742E+04,1.747793E-01,3.195641E+00,7.521433E+03,2.288054E+04,3.882126E-01,1.924293E+00,1.515679E+04,2.194192E+04,7.823055E-01,1.845354E+00,1.034112E+04,4.537870E+03,5.336690E-01,3.816805E-01,6.731069E+03,2.935572E+03,3.473647E-01,2.469120E-01,1.033529E+04,4.645612E+03,5.333678E-01,3.907426E-01,6.807057E+03,3.267245E+03,3.512861E-01,2.748086E-01,7.475554E+03,4.407914E+03,3.858117E-01,3.707343E-01,4.896052E+03,3.220356E+03,2.526833E-01,2.708531E-01,7.475547E+03,4.844930E+03,3.858114E-01,4.074897E-01,4.959486E+03,3.684550E+03,2.559572E-01,3.098943E-01,7.926457E+03,4.788117E+03,4.090648E-01,4.027230E-01,5.183128E+03,3.096556E+03,2.674871E-01,2.604486E-01,7.919031E+03,4.898643E+03,4.086816E-01,4.120191E-01,5.249610E+03,3.429560E+03,2.709180E-01,2.884567E-01
00:40:00,3.380431E+03,3.794369E+04,1.744782E-01,3.191119E+00,7.520352E+03,2.281771E+04,3.881568E-01,1.919007E+00,1.515656E+04,2.182018E+04,7.822935E-01,1.835113E+00,1.034107E+04,4.485441E+03,5.336663E-01,3.772705E-01,6.731037E+03,2.900530E+03,3.473630E-01,2.439645E-01,1.033524E+04,4.591862E+03,5.333651E-01,3.862214E-01,6.807024E+03,3.220920E+03,3.512844E-01,2.709121E-01,7.474990E+03,4.374667E+03,3.857826E-01,3.679377E-01,4.895706E+03,3.193368E+03,2.526655E-01,2.685830E-01,7.474983E+03,4.806974E+03,3.857823E-01,4.042971E-01,4.959141E+03,3.647866E+03,2.559394E-01,3.068088E-01,7.926211E+03,4.749842E+03,4.090521E-01,3.995035E-01,5.182972E+03,3.070439E+03,2.674790E-01,2.582517E-01,7.918785E+03,4.858795E+03,4.086689E-01,4.086672E-01,5.249454E+03,3.392623E+03,2.709100E-01,2.853498E-01
00:50:00,3.374631E+03,3.789042E+04,1.741788E-01,3.186637E+00,7.519278E+03,2.275526E+04,3.881014E-01,1.913752E+00,1.515633E+04,2.170111E+04,7.822816E-01,1.825097E+00,1.034102E+04,4.434595E+03,5.336637E-01,3.729935E-01,6.731005E+03,2.866479E+03,3.473613E-01,2.411003E-01,1.033519E+04,4.539579E+03,5.333625E-01,3.818237E-01,6.806992E+03,3.176136E+03,3.512828E-01,2.671452E-01,7.474430E+03,4.342291E+03,3.857537E-01,3.652144E-01,4.895363E+03,3.166895E+03,2.526478E-01,2.663562E-01,7.474423E+03,4.769759E+03,3.857534E-01,4.011667E-01,4.958799E+03,3.612110E+03,2.559217E-01,3.038012E-01,7.925966E+03,4.712484E+03,4.090395E-01,3.963610E-01,5.182817E+03,3.044902E+03,2.674710E-01,2.561036E-01,7.918540E+03,4.819806E+03,4.086563E-01,4.053877E-01,5.249299E+03,3.356783E+03,2.709020E-01,2.823352E-01
01:00:00,3.368867E+03,3.783756E+04,1.738813E-01,3.182188E+00,7.518212E+03,2.269312E+04,3.880463E-01,1.908524E+00,1.515610E+04,2.158453E+04,7.822697E-01,1.815290E+00,1.034097E+04,4.385306E+03,5.336611E-01,3.688477E-01,6.730973E+03,2.833420E+03,3.473597E-01,2.383196E-01,1.033514E+04,4.488702E+03,5.333599E-01,3.775441E-01,6.806960E+03,3.132795E+03,3.512811E-01,2.634996E-01,7.473874E+03,4.310644E+03,3.857250E-01,3.625523E-01,4.895022E+03,3.140920E+03,2.526302E-01,2.641714E-01,7.473867E+03,4.733257E+03,3.857247E-01,3.980963E-01,4.958459E+03,3.577223E+03,2.559042E-01,3.008668E-01,7.925723E+03,4.676005E+03,4.090270E-01,3.932926E-01,5.182662E+03,3.019926E+03,2.674630E-01,2.540028E-01,7.918297E+03,4.781644E+03,4.086437E-01,4.021776E-01,5.249145E+03,3.321972E+03,2.708940E-01,2.794071E-01
01:10:00,3.369243E+03,3.780958E+04,1.739007E-01,3.179832E+00,7.518282E+03,2.265527E+04,3.880500E-01,1.905339E+00,1.515612E+04,2.149390E+04,7.822705E-01,1.807666E+00,1.034098E+04,4.342529E+03,5.336613E-01,3.652494E-01,6.730975E+03,2.804508E+03,3.473598E-01,2.358876E-01,1.033514E+04,4.444331E+03,5.333601E-01,3.738118E-01,6.806962E+03,3.094097E+03,3.512812E-01,2.602445E-01,7.473911E+03,4.284831E+03,3.857269E-01,3.603810E-01,4.895045E+03,3.118695E+03,2.526314E-01,2.623019E-01,7.473904E+03,4.702634E+03,3.857266E-01,3.955204E-01,4.958482E+03,3.546453E+03,2.559053E-01,2.982786E-01,7.925740E+03,4.645571E+03,4.090278E-01,3.907325E-01,5.182673E+03,2.998791E+03,2.674636E-01,2.522249E-01,7.918313E+03,4.749498E+03,4.086445E-01,3.994735E-01,5.249155E+03,3.291452E+03,2.708945E-01,2.768399E-01
01:20:00,3.369616E+03,3.778259E+04,1.739200E-01,3.177558E+00,7.518353E+03,2.261855E+04,3.880536E-01,1.902248E+00,1.515613E+04,2.140629E+04,7.822714E-01,1.800296E+00,1.034098E+04,4.301419E+03,5.336615E-01,3.617914E-01,6.730977E+03,2.776677E+03,3.473599E-01,2.335466E-01,1.033514E+04,4.401684E+03,5.333603E-01,3.702246E-01,6.806965E+03,3.056963E+03,3.512814E-01,2.571211E-01,7.473948E+03,4.259894E+03,3.857289E-01,3.582833E-01,4.895068E+03,3.097134E+03,2.526326E-01,2.604883E-01,7.473941E+03,4.672979E+03,3.857285E-01,3.930259E-01,4.958504E+03,3.516665E+03,2.559065E-01,2.957731E-01,7.925756E+03,4.616346E+03,4.090286E-01,3.882742E-01,5.182683E+03,2.978439E+03,2.674641E-01,2.505130E-01,7.918329E+03,4.718526E+03,4.086454E-01,3.968683E-01,5.249165E+03,3.262120E+03,2.708951E-01,2.743727E-01
01:30:00,3.369987E+03,3.775614E+04,1.739391E-01,3.175331E+00,7.518423E+03,2.258235E+04,3.880572E-01,1.899202E+00,1.515615E+04,2.132102E+04,7.822722E-01,1.793123E+00,1.034098E+04,4.261793E+03,5.336617E-01,3.584584E-01,6.730979E+03,2.749813E+03,3.473600E-01,2.312870E-01,1.033515E+04,4.360659E+03,5.333604E-01,3.667738E-01,6.806967E+03,3.021269E+03,3.512815E-01,2.541188E-01,7.473984E+03,4.235712E+03,3.857307E-01,3.562492E-01,4.895090E+03,3.076186E+03,2.526337E-01,2.587263E-01,7.473978E+03,4.644211E+03,3.857304E-01,3.906061E-01,4.958527E+03,3.487778E+03,2.559077E-01,2.933433E-01,7.925772E+03,4.588241E+03,4.090295E-01,3.859102E-01,5.182693E+03,2.958811E+03,2.674646E-01,2.488620E-01,7.918345E+03,4.688609E+03,4.086462E-01,3.943518E-01,5.249175E+03,3.233869E+03,2.708956E-01,2.719964E-01
01:40:00,3.370356E+03,3.773014E+04,1.739582E-01,3.173143E+00,7.518493E+03,2.254657E+04,3.880608E-01,1.896192E+00,1.515616E+04,2.123792E+04,7.822730E-01,1.786133E+00,1.034099E+04,4.223553E+03,5.336618E-01,3.552419E-01,6.730981E+03,2.723856E+03,3.473601E-01,2.291036E-01,1.033515E+04,4.321123E+03,5.333606E-01,3.634484E-01,6.806969E+03,2.986957E+03,3.512816E-01,2.512327E-01,7.474021E+03,4.212215E+03,3.857326E-01,3.542728E-01,4.895113E+03,3.055842E+03,2.526349E-01,2.570151E-01,7.474014E+03,4.616311E+03,3.857323E-01,3.882594E-01,4.958549E+03,3.459750E+03,2.559088E-01,2.909859E-01,7.925787E+03,4.561175E+03,4.090303E-01,3.836336E-01,5.182703E+03,2.939894E+03,2.674651E-01,2.472708E-01,7.918361E+03,4.659716E+03,4.086470E-01,3.919215E-01,5.249185E+03,3.206650E+03,2.708961E-01,2.697070E-01
