Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,467478221.27324367,467478221.2732437 
 01/01  02:00:00,,,403773811.875065,403773811.8750651 
 01/01  03:00:00,,,493200143.7035657,493200143.7035656 
 01/01  04:00:00,,,413562707.49598616,413562707.4959861 
 01/01  05:00:00,,,507091048.78536695,507091048.7853669 
 01/01  06:00:00,,,421686762.8609967,421686762.8609967 
 01/01  07:00:00,,,531280571.7163698,531280571.7163698 
 01/01  08:00:00,,,445243699.74320567,445243699.74320567 
 01/01  09:00:00,,,490023388.97613937,490023388.97613937 
 01/01  10:00:00,,,341982905.7603467,341982905.7603467 
 01/01  11:00:00,,,372571363.1129422,372571363.11294216 
 01/01  12:00:00,,,294970107.09918135,294970107.09918135 
 01/01  13:00:00,,,353476084.11976206,353476084.11976194 
 01/01  14:00:00,,,290363473.94592994,290363473.94593 
 01/01  15:00:00,,,332027384.25295985,332027384.25295985 
 01/01  16:00:00,,,276567250.9447907,276567250.9447907 
 01/01  17:00:00,,,402830632.09781325,402830632.0978131 
 01/01  18:00:00,,,365954890.6729224,365954890.6729223 
 01/01  19:00:00,,,441708480.0893114,441708480.08931136 
 01/01  20:00:00,,,378977893.99042517,378977893.9904251 
 01/01  21:00:00,,,469771691.5147531,469771691.5147531 
 01/01  22:00:00,,,393160613.944178,393160613.9441779 
 01/01  23:00:00,,,484684148.46737444,484684148.46737444 
 01/01  24:00:00,,,397184916.3634243,397184916.3634243 
 01/02  01:00:00,,,485817238.7328199,485817238.7328199 
 01/02  02:00:00,,,401061450.5926148,401061450.5926148 
 01/02  03:00:00,,,477683056.70289946,477683056.70289946 
 01/02  04:00:00,,,403799729.8474565,403799729.84745646 
 01/02  05:00:00,,,485911929.3437109,485911929.3437109 
 01/02  06:00:00,,,395832595.63276416,395832595.63276416 
 01/02  07:00:00,,,532913391.08950347,532913391.08950347 
 01/02  08:00:00,,,608665668.8036587,608665668.8036587 
 01/02  09:00:00,,,642423906.7691014,642423906.7691015 
 01/02  10:00:00,,,516495596.31484187,516495596.3148417 
 01/02  11:00:00,,,447778531.69939727,447778531.6993972 
 01/02  12:00:00,,,426538545.6882011,426538545.6882011 
 01/02  13:00:00,,,453325132.84333664,453325132.8433365 
 01/02  14:00:00,,,415982371.0322279,415982371.03222775 
 01/02  15:00:00,,,398897675.89772797,398897675.8977279 
 01/02  16:00:00,,,407225256.6045229,407225256.60452276 
 01/02  17:00:00,,,458039180.5135028,458039180.5135028 
 01/02  18:00:00,,,441218977.16585815,441218977.1658581 
 01/02  19:00:00,,,406872657.01343673,406872657.0134367 
 01/02  20:00:00,,,387585369.0641352,387585369.0641352 
 01/02  21:00:00,,,376698994.8550362,376698994.8550362 
 01/02  22:00:00,,,373209131.6698574,373209131.6698573 
 01/02  23:00:00,,,337233506.811466,337233506.811466 
 01/02  24:00:00,,,309959477.0210725,309959477.0210725 
 01/03  01:00:00,,,352577996.603455,352577996.603455 
 01/03  02:00:00,,,296786908.4426342,296786908.44263417 
 01/03  03:00:00,,,342973246.3470437,342973246.3470437 
 01/03  04:00:00,,,295551651.9254862,295551651.9254862 
 01/03  05:00:00,,,362241462.8569302,362241462.85693026 
 01/03  06:00:00,,,316629179.53668416,316629179.5366842 
 01/03  07:00:00,,,410501974.96112,410501974.96112 
 01/03  08:00:00,,,437020766.66894203,437020766.6689421 
 01/03  09:00:00,,,547008112.7894782,547008112.7894782 
 01/03  10:00:00,,,506311671.23727643,506311671.2372764 
 01/03  11:00:00,,,485370737.5264641,485370737.52646405 
 01/03  12:00:00,,,494272560.4470612,494272560.4470611 
 01/03  13:00:00,,,527781293.39199066,527781293.39199054 
 01/03  14:00:00,,,512569164.51784885,512569164.5178488 
 01/03  15:00:00,,,496543823.079016,496543823.079016 
 01/03  16:00:00,,,489711789.4264125,489711789.4264126 
 01/03  17:00:00,,,562712603.4848385,562712603.4848385 
 01/03  18:00:00,,,557638071.8098081,557638071.8098081 
 01/03  19:00:00,,,516019848.4366091,516019848.43660903 
 01/03  20:00:00,,,518711027.2567103,518711027.25671023 
 01/03  21:00:00,,,530295842.21864676,530295842.2186468 
 01/03  22:00:00,,,546674187.1340786,546674187.1340785 
 01/03  23:00:00,,,445497104.73245037,445497104.73245037 
 01/03  24:00:00,,,402693802.78895724,402693802.7889572 
 01/04  01:00:00,,,473678090.23675257,473678090.2367526 
 01/04  02:00:00,,,399314351.6539971,399314351.65399706 
 01/04  03:00:00,,,493816667.28116757,493816667.2811676 
 01/04  04:00:00,,,416432157.3724926,416432157.3724926 
 01/04  05:00:00,,,501326718.96465886,501326718.96465886 
 01/04  06:00:00,,,421123411.69248235,421123411.6924823 
 01/04  07:00:00,,,583323325.3433452,583323325.343345 
 01/04  08:00:00,,,715277855.3148414,715277855.3148413 
 01/04  09:00:00,,,801674658.8800663,801674658.8800663 
 01/04  10:00:00,,,707395982.59584,707395982.5958401 
 01/04  11:00:00,,,657973344.1147125,657973344.1147126 
 01/04  12:00:00,,,640064246.0261897,640064246.0261898 
 01/04  13:00:00,,,653244325.3410599,653244325.3410602 
 01/04  14:00:00,,,616343640.0261368,616343640.0261369 
 01/04  15:00:00,,,595034367.5629525,595034367.5629524 
 01/04  16:00:00,,,600497336.7137573,600497336.7137572 
 01/04  17:00:00,,,665897949.7131072,665897949.7131071 
 01/04  18:00:00,,,680529076.5506419,680529076.5506419 
 01/04  19:00:00,,,648819671.0706968,648819671.0706968 
 01/04  20:00:00,,,657844809.6010696,657844809.6010695 
 01/04  21:00:00,,,667050742.7408742,667050742.7408742 
 01/04  22:00:00,,,674262758.9519414,674262758.9519414 
 01/04  23:00:00,,,497925442.8888283,497925442.8888283 
 01/04  24:00:00,,,430474285.0889667,430474285.0889666 
 01/05  01:00:00,,,498983242.53395295,498983242.53395283 
 01/05  02:00:00,,,420118822.8521673,420118822.8521673 
 01/05  03:00:00,,,505839635.9748653,505839635.9748653 
 01/05  04:00:00,,,424256134.08448863,424256134.08448863 
 01/05  05:00:00,,,509046127.36996335,509046127.36996335 
 01/05  06:00:00,,,425723723.32812613,425723723.328126 
 01/05  07:00:00,,,596785425.6490607,596785425.6490607 
 01/05  08:00:00,,,736097350.2465912,736097350.2465912 
 01/05  09:00:00,,,830922450.537015,830922450.537015 
 01/05  10:00:00,,,704535170.8231306,704535170.8231307 
 01/05  11:00:00,,,646805191.1485236,646805191.1485236 
 01/05  12:00:00,,,627737364.2950325,627737364.2950326 
 01/05  13:00:00,,,638266543.6283653,638266543.6283654 
 01/05  14:00:00,,,598882464.7675903,598882464.7675903 
 01/05  15:00:00,,,555257536.950484,555257536.950484 
 01/05  16:00:00,,,555430321.7616171,555430321.7616171 
 01/05  17:00:00,,,637220874.1672198,637220874.1672199 
 01/05  18:00:00,,,661052249.5960333,661052249.5960333 
 01/05  19:00:00,,,628482490.7951393,628482490.7951393 
 01/05  20:00:00,,,641198243.2412016,641198243.2412018 
 01/05  21:00:00,,,651195277.3449798,651195277.3449796 
 01/05  22:00:00,,,672914728.5762656,672914728.5762656 
 01/05  23:00:00,,,460541678.23752075,460541678.2375207 
 01/05  24:00:00,,,407784054.7062721,407784054.70627224 
 01/06  01:00:00,,,463210787.04284835,463210787.04284835 
 01/06  02:00:00,,,399688623.58548194,399688623.5854819 
 01/06  03:00:00,,,482837107.38526016,482837107.38526016 
 01/06  04:00:00,,,391438483.96087384,391438483.96087384 
 01/06  05:00:00,,,493028135.36941767,493028135.3694176 
 01/06  06:00:00,,,418851480.3015709,418851480.3015709 
 01/06  07:00:00,,,571390019.9674265,571390019.9674265 
 01/06  08:00:00,,,745086165.5529314,745086165.5529314 
 01/06  09:00:00,,,842118190.4587315,842118190.4587317 
 01/06  10:00:00,,,711412522.8967229,711412522.896723 
 01/06  11:00:00,,,624286146.8507416,624286146.8507416 
 01/06  12:00:00,,,596734073.5794301,596734073.5794301 
 01/06  13:00:00,,,593921829.7416476,593921829.7416476 
 01/06  14:00:00,,,530478348.0040256,530478348.0040256 
