Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2378332.496681277,18626730412.597767,14941284972.482807,0.0,4863824998.527125,76619.74940527696,4004700040.2943463,300575318.4640279,785549379.3014227,9012032848.25279,7187350155.397665,4942536204.5608,13041343809.51703,12560591.163547585,8329153507.612675,21846220.497702174,10600322390.560486,877993695.3905076,8397778850.396128,82859032.08061983,9344846328.808096,34027059.97265027,5742051689.41599,51456865.709097765,12011329877.727615,98325285.99241744,5831626821.610774,93247305.87046242,9397391354.53447,60082405.2399622,5850653637.247171,68069615.61282137,7200456636.850292,1172967176.80983,5812048915.838623,124408840.26399794,305267315421.8452,133788695221.37997 
February,0.0,18006073709.154053,10555993457.904562,3290483.9480659193,3526015586.4541955,4256436.86584528,3004549044.280421,191011719.74610507,70861104.8029775,9302631780.77939,3759120874.4535794,5704051333.317091,9210674606.66632,150074149.0348785,5637252609.476502,233885676.72892708,7143606686.813022,1676505992.7728896,5702164089.471138,291218274.49511635,6260687331.024746,176926507.61506018,3597554654.639079,259457752.39619023,7900956897.959777,549335174.4831539,3633897907.1331472,283224759.0080642,6185362235.517598,271559826.7585617,3710593175.5669494,266082620.39289382,4489334591.295118,2058352031.5635853,3694020235.7924848,400413355.09498096,226893773187.24814,106310825956.45512 
March,0.0,22914576516.377865,6978763242.322001,31772849.64844224,2386416677.674172,14660974.12031658,2238372236.6044855,209016319.8209599,0.0,12424759023.41108,530607381.85986555,9085090337.926361,5395134260.774674,534893958.375727,3067678348.808397,687886813.0316863,4087936065.6142316,2332589031.7500653,3153153257.1885796,720979974.1031998,3455330726.6304345,520617947.75902873,1689208653.6272378,647559088.2857535,5423679606.607775,663268181.9218656,1690822889.593398,610487443.2909272,2831806357.8560724,809575379.212934,1619942402.2709067,750922229.4071474,2004693928.6317377,2834595638.7624545,1614464247.359311,928534258.8263756,189908390592.17383,104050004016.34065 
April,0.0,24339716729.79078,3472408687.3517847,786470724.5652689,1115350047.5445242,213659414.24513587,861397015.7425252,608872979.804988,0.0,12741668553.907284,186255068.3532677,11755025907.889147,2106230303.7090173,1385819740.6911252,1122187802.5530856,1644000163.0804558,1672825334.149096,3315728446.8441005,1236629754.374859,1690461182.6600406,1236130051.38191,1294037458.8275328,434602402.3760275,1419374757.2818706,2477468599.1034336,1735017983.406185,547594766.0944979,1396991512.6904664,841509491.7247208,1689069428.8874629,432849764.0914265,1823063860.0376194,602265189.1624111,3689707272.8075924,485751988.3865255,1885318942.5991225,145884694666.24222,47476954478.14556 
May,0.0,29656508831.09589,1150810838.4810734,2443507866.6093545,328616701.7845372,1023498895.9296699,200252856.2430348,1574436834.060394,0.0,17528509413.041904,0.0,16137923352.458162,153546958.96673256,3048307485.5648127,87806745.88482243,3330147576.189029,142152790.44141036,4956244773.120474,90656536.02626674,3277520338.7466555,64021848.63930825,2541054148.519919,20728640.606188565,2709375568.062052,926603054.2719,3142836547.6760135,14040006.534018569,2594304988.282762,3374526.4381793207,3381610093.714306,2655986.3973425725,3479453507.7688394,2486211.8474544086,5271445289.833398,1201044.5240356945,3446872544.6163697,142971863388.92282,18212447001.294823 
June,0.0,33037748439.27125,607270041.2197886,4374562064.763973,44541945.61459634,2344510731.539207,35357939.94141548,2907614668.492512,0.0,21595378708.954823,0.0,20673202776.550003,0.0,4965235186.340591,0.0,4945620791.810383,0.0,6593589661.593941,0.0,4686303084.21553,0.0,4006183382.737325,0.0,4221249619.723393,236259480.4819244,4596745393.469032,0.0,3926096501.642896,0.0,5162511385.28949,0.0,4988207904.902833,0.0,6747070442.759231,0.0,4774788762.444217,151620577453.12985,11557210850.125826 
July,0.0,33043083356.255173,513810485.4397842,5537622303.998749,40810211.81764742,3054297170.55922,33147683.492886163,3633471988.6278725,0.0,22273039776.04908,0.0,21974060104.06209,0.0,5745888240.80206,0.0,5865278176.3800745,0.0,7800813575.920595,0.0,5534533555.886863,0.0,4819473793.337524,0.0,5276648845.130606,108115979.22770849,6330106092.806481,0.0,4864594736.251223,0.0,5809511501.197525,0.0,5787007248.796887,0.0,7771499324.961438,0.0,5510162642.684449,161465875673.2151,10955628648.037672 
August,0.0,35229331757.923706,650895065.6620599,4666591313.916494,41251757.983821616,2747843764.1390367,35786185.17657908,3510050684.6622806,0.0,22967164988.409317,0.0,21795925533.397587,0.0,4995977027.4779215,0.0,5134445614.761396,0.0,8050543102.773248,0.0,4920235589.354247,0.0,4610300468.297354,0.0,4974210470.053272,182695261.8211776,7000455443.226567,0.0,4689922174.311306,0.0,5234768381.63621,0.0,5218311456.043293,0.0,8273742159.747428,0.0,5055582260.973469,170305855213.6083,11798468317.994925 
September,0.0,29378215931.943165,1028992330.7559221,1566128621.927685,270977086.8364178,865759516.5073411,144776268.60755444,1573441799.277995,0.0,16885957133.795284,0.0,13818212551.81561,33649452.77772603,2368023015.5408998,20661683.782495078,2227955571.9574165,18701711.19736136,4934809221.46615,16361887.682623314,2502823011.6888604,0.0,2913489045.091607,0.0,2577559185.7732,654508921.3671291,4361684002.994942,0.0,2773703446.412549,0.0,2931163034.687232,0.0,2587079240.514512,0.0,5638540307.5140915,0.0,2888942073.166793,136258948608.67413,17600958251.373276 
October,0.0,25405418222.98575,3661257375.4572196,300925179.56374073,1316765900.1276953,129740315.06903248,1050831360.8855485,507548292.78803927,0.0,12222751239.464687,65893317.89640402,10633206411.075085,1976369127.5339732,1115284823.079693,1246241285.8815413,951967312.6293852,1565185535.8842165,3112068323.3114643,1209812531.1376343,1059018539.6699708,419134371.53248423,1780844288.061699,238634343.73629546,1387355902.4218154,1779168832.2114315,2681058233.8027163,217217627.51388684,1470329664.549119,712637082.5576493,1511642656.755613,456798540.1563429,1127982592.7041907,534426034.31313187,3711030917.0382366,439153098.1513831,1341226639.37986,148916116540.42526,41660332170.10685 
