Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.971458E+00,2.509836E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.781798E+00,5.261219E+04,6.802465E+04,2.047241E+00,2.447456E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.466216E+00,3.767369E+04,5.311168E+04,2.548035E+00,2.034944E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.340807E+00,3.624960E+04,5.182106E+04
00:20:00,1.971364E+00,2.509915E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.764057E+00,5.230771E+04,6.767085E+04,2.047199E+00,2.447491E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.447137E+00,3.735402E+04,5.274836E+04,2.548014E+00,2.034961E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.311405E+00,3.581272E+04,5.133651E+04
00:30:00,1.971269E+00,2.509992E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.746675E+00,5.200729E+04,6.731300E+04,2.047157E+00,2.447525E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.428462E+00,3.703893E+04,5.238358E+04,2.547993E+00,2.034978E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.282867E+00,3.538564E+04,5.085632E+04
00:40:00,1.971175E+00,2.510070E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.729629E+00,5.171069E+04,6.697209E+04,2.047115E+00,2.447559E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.410164E+00,3.672811E+04,5.203068E+04,2.547972E+00,2.034995E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.255136E+00,3.496772E+04,5.039257E+04
00:50:00,1.971082E+00,2.510146E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.712896E+00,5.141765E+04,6.665095E+04,2.047074E+00,2.447593E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.392217E+00,3.642129E+04,5.169257E+04,2.547952E+00,2.035012E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.228161E+00,3.455838E+04,4.994763E+04
01:00:00,1.970990E+00,2.510223E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.696459E+00,5.112797E+04,6.634407E+04,2.047033E+00,2.447627E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.374601E+00,3.611822E+04,5.136664E+04,2.547932E+00,2.035029E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.201893E+00,3.415708E+04,4.951877E+04
01:10:00,1.970996E+00,2.510217E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.683828E+00,5.091587E+04,6.612253E+04,2.047036E+00,2.447625E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.360800E+00,3.589282E+04,5.112670E+04,2.547933E+00,2.035027E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.179755E+00,3.383701E+04,4.917967E+04
01:20:00,1.971002E+00,2.510212E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.671608E+00,5.070844E+04,6.590790E+04,2.047039E+00,2.447623E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.347488E+00,3.567297E+04,5.089534E+04,2.547934E+00,2.035026E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.158443E+00,3.352634E+04,4.885305E+04
01:30:00,1.971008E+00,2.510207E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.659737E+00,5.050496E+04,6.569818E+04,2.047041E+00,2.447621E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.334573E+00,3.545764E+04,5.067024E+04,2.547936E+00,2.035025E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.137857E+00,3.322389E+04,4.853649E+04
01:40:00,1.971014E+00,2.510202E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.648193E+00,5.030518E+04,6.549272E+04,2.047044E+00,2.447618E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.322036E+00,3.524658E+04,5.045055E+04,2.547937E+00,2.035024E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.117965E+00,3.292932E+04,4.822908E+04
01:50:00,1.971020E+00,2.510197E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.636958E+00,5.010890E+04,6.529126E+04,2.047047E+00,2.447616E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.309860E+00,3.503963E+04,5.023583E+04,2.547938E+00,2.035023E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.098729E+00,3.264220E+04,4.793009E+04
02:00:00,1.971026E+00,2.510193E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.626018E+00,4.991597E+04,6.509353E+04,2.047049E+00,2.447614E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.298037E+00,3.483666E+04,5.002576E+04,2.547940E+00,2.035022E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.080119E+00,3.236219E+04,4.763901E+04
02:10:00,1.971032E+00,2.510188E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.615325E+00,4.974302E+04,6.491648E+04,2.047052E+00,2.447612E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.286513E+00,3.465428E+04,4.983720E+04,2.547941E+00,2.035021E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.062092E+00,3.210597E+04,4.737276E+04
02:20:00,1.971038E+00,2.510183E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.604864E+00,4.957271E+04,6.474222E+04,2.047055E+00,2.447610E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.275274E+00,3.447514E+04,4.965217E+04,2.547943E+00,2.035020E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.044613E+00,3.185596E+04,4.711315E+04
02:30:00,1.971044E+00,2.510178E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.594621E+00,4.940486E+04,6.457055E+04,2.047057E+00,2.447608E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.264304E+00,3.429904E+04,4.947040E+04,2.547944E+00,2.035019E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.027638E+00,3.161169E+04,4.685957E+04
02:40:00,1.971050E+00,2.510173E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.584591E+00,4.923944E+04,6.440139E+04,2.047060E+00,2.447605E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.253586E+00,3.412580E+04,4.929168E+04,2.547945E+00,2.035017E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.011135E+00,3.137278E+04,4.661162E+04
02:50:00,1.971055E+00,2.510168E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.574770E+00,4.907639E+04,6.423465E+04,2.047062E+00,2.447603E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.243109E+00,3.395530E+04,4.911583E+04,2.547946E+00,2.035016E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,2.995095E+00,3.113911E+04,4.636915E+04
03:00:00,1.971061E+00,2.510164E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.565151E+00,4.891563E+04,6.407029E+04,2.047065E+00,2.447601E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.232864E+00,3.378744E+04,4.894278E+04,2.547948E+00,2.035015E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,2.979497E+00,3.091046E+04,4.613197E+04
03:10:00,1.971067E+00,2.510159E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,4.555673E+00,4.875647E+04,6.390757E+04,2.047067E+00,2.447599E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,3.222762E+00,3.362120E+04,4.877141E+04,2.547949E+00,2.035014E+04,1.166782E+00,0.000000E+00,0.000000E+00,1.166782E+00,0.000000E+00,2.964208E+00,3.068533E+04,4.589840E+04
