Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.398044E+03,3.814655E+04,1.753873E-01,3.307553E+00,7.523615E+03,2.309980E+04,3.883252E-01,2.002911E+00,1.515726E+04,2.232971E+04,7.823298E-01,1.936138E+00,1.034123E+04,4.748504E+03,5.336743E-01,4.117679E-01,6.731135E+03,3.070483E+03,3.473681E-01,2.662588E-01,1.033539E+04,4.925402E+03,5.333731E-01,4.271076E-01,6.807122E+03,3.454222E+03,3.512895E-01,2.995343E-01,7.476692E+03,4.558884E+03,3.858705E-01,3.953086E-01,4.896749E+03,3.337488E+03,2.527193E-01,2.893992E-01,7.476685E+03,5.253216E+03,3.858701E-01,4.555143E-01,4.960181E+03,3.852114E+03,2.559931E-01,3.340226E-01,7.926953E+03,4.952673E+03,4.090904E-01,4.294665E-01,5.183444E+03,3.202542E+03,2.675034E-01,2.777063E-01,7.919529E+03,5.134292E+03,4.087073E-01,4.452151E-01,5.249926E+03,3.585542E+03,2.709343E-01,3.109172E-01
00:20:00,3.392137E+03,3.809076E+04,1.750824E-01,3.302714E+00,7.522520E+03,2.303480E+04,3.882687E-01,1.997271E+00,1.515703E+04,2.219862E+04,7.823176E-01,1.924769E+00,1.034118E+04,4.690805E+03,5.336716E-01,4.067642E-01,6.731102E+03,3.032446E+03,3.473664E-01,2.629603E-01,1.033534E+04,4.865107E+03,5.333704E-01,4.218787E-01,6.807089E+03,3.402316E+03,3.512878E-01,2.950331E-01,7.476121E+03,4.522791E+03,3.858410E-01,3.921784E-01,4.896399E+03,3.308813E+03,2.527013E-01,2.869125E-01,7.476114E+03,5.209544E+03,3.858407E-01,4.517270E-01,4.959832E+03,3.811782E+03,2.559750E-01,3.305252E-01,7.926704E+03,4.911151E+03,4.090776E-01,4.258655E-01,5.183286E+03,3.174642E+03,2.674952E-01,2.752868E-01,7.919279E+03,5.089800E+03,4.086944E-01,4.413567E-01,5.249768E+03,3.544488E+03,2.709261E-01,3.073570E-01
00:30:00,3.386266E+03,3.803559E+04,1.747793E-01,3.297929E+00,7.521433E+03,2.297030E+04,3.882126E-01,1.991676E+00,1.515679E+04,2.207087E+04,7.823055E-01,1.913690E+00,1.034112E+04,4.634927E+03,5.336690E-01,4.019186E-01,6.731069E+03,2.995513E+03,3.473647E-01,2.597575E-01,1.033529E+04,4.806564E+03,5.333678E-01,4.168020E-01,6.807057E+03,3.352340E+03,3.512861E-01,2.906994E-01,7.475554E+03,4.487589E+03,3.858117E-01,3.891257E-01,4.896052E+03,3.280707E+03,2.526833E-01,2.844753E-01,7.475547E+03,5.166758E+03,3.858114E-01,4.480167E-01,4.959486E+03,3.772619E+03,2.559572E-01,3.271291E-01,7.926457E+03,4.870702E+03,4.090648E-01,4.223578E-01,5.183128E+03,3.147387E+03,2.674871E-01,2.729232E-01,7.919031E+03,5.046351E+03,4.086816E-01,4.375888E-01,5.249610E+03,3.504809E+03,2.709180E-01,3.039162E-01
00:40:00,3.380431E+03,3.798098E+04,1.744782E-01,3.293191E+00,7.520352E+03,2.290625E+04,3.881568E-01,1.986121E+00,1.515656E+04,2.194622E+04,7.822935E-01,1.902879E+00,1.034107E+04,4.580767E+03,5.336663E-01,3.972218E-01,6.731037E+03,2.959627E+03,3.473630E-01,2.566455E-01,1.033524E+04,4.749680E+03,5.333651E-01,4.118690E-01,6.807024E+03,3.304151E+03,3.512844E-01,2.865205E-01,7.474990E+03,4.453232E+03,3.857826E-01,3.861462E-01,4.895706E+03,3.253146E+03,2.526655E-01,2.820853E-01,7.474983E+03,5.124815E+03,3.857823E-01,4.443795E-01,4.959141E+03,3.734537E+03,2.559394E-01,3.238268E-01,7.926211E+03,4.831264E+03,4.090521E-01,4.189377E-01,5.182972E+03,3.120747E+03,2.674790E-01,2.706130E-01,7.918785E+03,5.003891E+03,4.086689E-01,4.339067E-01,5.249454E+03,3.466405E+03,2.709100E-01,3.005859E-01
00:50:00,3.374631E+03,3.792685E+04,1.741788E-01,3.288496E+00,7.519278E+03,2.284260E+04,3.881014E-01,1.980600E+00,1.515633E+04,2.182443E+04,7.822816E-01,1.892317E+00,1.034102E+04,4.528227E+03,5.336637E-01,3.926656E-01,6.731005E+03,2.924738E+03,3.473613E-01,2.536199E-01,1.033519E+04,4.694365E+03,5.333625E-01,4.070722E-01,6.806992E+03,3.257620E+03,3.512828E-01,2.824854E-01,7.474430E+03,4.419676E+03,3.857537E-01,3.832362E-01,4.895363E+03,3.226108E+03,2.526478E-01,2.797405E-01,7.474423E+03,5.083677E+03,3.857534E-01,4.408121E-01,4.958799E+03,3.697458E+03,2.559217E-01,3.206115E-01,7.925966E+03,4.792779E+03,4.090395E-01,4.156003E-01,5.182817E+03,3.094693E+03,2.674710E-01,2.683536E-01,7.918540E+03,4.962371E+03,4.086563E-01,4.303060E-01,5.249299E+03,3.429183E+03,2.709020E-01,2.973580E-01
01:00:00,3.368867E+03,3.787316E+04,1.738813E-01,3.283837E+00,7.518212E+03,2.277929E+04,3.880463E-01,1.975108E+00,1.515610E+04,2.170528E+04,7.822697E-01,1.881985E+00,1.034097E+04,4.477225E+03,5.336611E-01,3.882427E-01,6.730973E+03,2.890801E+03,3.473597E-01,2.506769E-01,1.033514E+04,4.640541E+03,5.333599E-01,4.024045E-01,6.806960E+03,3.212634E+03,3.512811E-01,2.785843E-01,7.473874E+03,4.386892E+03,3.857250E-01,3.803931E-01,4.895022E+03,3.199571E+03,2.526302E-01,2.774393E-01,7.473867E+03,5.043311E+03,3.857247E-01,4.373115E-01,4.958459E+03,3.661316E+03,2.559042E-01,3.174774E-01,7.925723E+03,4.755202E+03,4.090270E-01,4.123415E-01,5.182662E+03,3.069203E+03,2.674630E-01,2.661431E-01,7.918297E+03,4.921746E+03,4.086437E-01,4.267830E-01,5.249145E+03,3.393064E+03,2.708940E-01,2.942259E-01
01:10:00,3.369243E+03,3.784388E+04,1.739007E-01,3.281295E+00,7.518282E+03,2.273987E+04,3.880500E-01,1.971688E+00,1.515612E+04,2.161188E+04,7.822705E-01,1.873884E+00,1.034098E+04,4.432761E+03,5.336613E-01,3.843868E-01,6.730975E+03,2.860995E+03,3.473598E-01,2.480921E-01,1.033514E+04,4.593233E+03,5.333601E-01,3.983020E-01,6.806962E+03,3.172339E+03,3.512812E-01,2.750900E-01,7.473911E+03,4.359938E+03,3.857269E-01,3.780556E-01,4.895045E+03,3.176734E+03,2.526314E-01,2.754588E-01,7.473904E+03,5.008788E+03,3.857266E-01,4.343176E-01,4.958482E+03,3.629294E+03,2.559053E-01,3.147005E-01,7.925740E+03,4.723620E+03,4.090278E-01,4.096026E-01,5.182673E+03,3.047512E+03,2.674636E-01,2.642619E-01,7.918313E+03,4.887125E+03,4.086445E-01,4.237806E-01,5.249155E+03,3.361254E+03,2.708945E-01,2.914673E-01
01:20:00,3.369616E+03,3.781560E+04,1.739200E-01,3.278840E+00,7.518353E+03,2.270159E+04,3.880536E-01,1.968366E+00,1.515613E+04,2.152163E+04,7.822714E-01,1.866057E+00,1.034098E+04,4.390106E+03,5.336615E-01,3.806878E-01,6.730977E+03,2.832334E+03,3.473599E-01,2.456066E-01,1.033514E+04,4.547708E+03,5.333603E-01,3.943541E-01,6.806965E+03,3.133690E+03,3.512814E-01,2.717384E-01,7.473948E+03,4.333988E+03,3.857289E-01,3.758052E-01,4.895068E+03,3.154563E+03,2.526326E-01,2.735362E-01,7.473941E+03,4.975292E+03,3.857285E-01,4.314128E-01,4.958504E+03,3.598311E+03,2.559065E-01,3.120137E-01,7.925756E+03,4.693267E+03,4.090286E-01,4.069703E-01,5.182683E+03,3.026606E+03,2.674641E-01,2.624489E-01,7.918329E+03,4.853738E+03,4.086454E-01,4.208852E-01,5.249165E+03,3.330692E+03,2.708951E-01,2.888170E-01
01:30:00,3.369987E+03,3.778788E+04,1.739391E-01,3.276434E+00,7.518423E+03,2.266383E+04,3.880572E-01,1.965091E+00,1.515615E+04,2.143384E+04,7.822722E-01,1.858444E+00,1.034098E+04,4.349124E+03,5.336617E-01,3.771339E-01,6.730979E+03,2.804736E+03,3.473600E-01,2.432134E-01,1.033515E+04,4.503819E+03,5.333604E-01,3.905481E-01,6.806967E+03,3.096551E+03,3.512815E-01,2.685177E-01,7.473984E+03,4.308996E+03,3.857307E-01,3.736380E-01,4.895090E+03,3.133003E+03,2.526337E-01,2.716665E-01,7.473978E+03,4.942731E+03,3.857304E-01,4.285892E-01,4.958527E+03,3.568277E+03,2.559077E-01,3.094093E-01,7.925772E+03,4.664013E+03,4.090295E-01,4.044334E-01,5.182693E+03,3.006409E+03,2.674646E-01,2.606975E-01,7.918345E+03,4.821460E+03,4.086462E-01,4.180861E-01,5.249175E+03,3.301265E+03,2.708956E-01,2.862652E-01
01:40:00,3.370356E+03,3.776064E+04,1.739582E-01,3.274071E+00,7.518493E+03,2.262652E+04,3.880608E-01,1.961855E+00,1.515616E+04,2.134834E+04,7.822730E-01,1.851029E+00,1.034099E+04,4.309787E+03,5.336618E-01,3.737227E-01,6.730981E+03,2.778198E+03,3.473601E-01,2.409120E-01,1.033515E+04,4.461508E+03,5.333606E-01,3.868790E-01,6.806969E+03,3.060851E+03,3.512816E-01,2.654220E-01,7.474021E+03,4.284883E+03,3.857326E-01,3.715469E-01,4.895113E+03,3.112035E+03,2.526349E-01,2.698483E-01,7.474014E+03,4.911075E+03,3.857323E-01,4.258441E-01,4.958549E+03,3.539147E+03,2.559088E-01,3.068833E-01,7.925787E+03,4.635816E+03,4.090303E-01,4.019883E-01,5.182703E+03,2.986899E+03,2.674651E-01,2.590056E-01,7.918361E+03,4.790254E+03,4.086470E-01,4.153800E-01,5.249185E+03,3.272919E+03,2.708961E-01,2.838071E-01
