Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,464176018.51292795,464176018.51292795 
 01/01  02:00:00,,,401203158.38755345,401203158.38755345 
 01/01  03:00:00,,,489735720.2493373,489735720.2493373 
 01/01  04:00:00,,,409548195.6536645,409548195.6536645 
 01/01  05:00:00,,,503166115.2025612,503166115.2025612 
 01/01  06:00:00,,,418678118.42638934,418678118.42638934 
 01/01  07:00:00,,,527399570.2669362,527399570.2669363 
 01/01  08:00:00,,,442210430.87804574,442210430.8780457 
 01/01  09:00:00,,,486189669.5082075,486189669.5082075 
 01/01  10:00:00,,,339143751.8898084,339143751.88980836 
 01/01  11:00:00,,,368891422.0067917,368891422.0067917 
 01/01  12:00:00,,,292040162.54132706,292040162.54132706 
 01/01  13:00:00,,,349826500.20302606,349826500.20302594 
 01/01  14:00:00,,,287561037.35976887,287561037.35976887 
 01/01  15:00:00,,,328418644.3751198,328418644.37511986 
 01/01  16:00:00,,,273725818.1923164,273725818.1923165 
 01/01  17:00:00,,,399273728.4488925,399273728.44889235 
 01/01  18:00:00,,,363287391.0735808,363287391.0735808 
 01/01  19:00:00,,,438375151.34011376,438375151.34011376 
 01/01  20:00:00,,,376324314.61898434,376324314.6189844 
 01/01  21:00:00,,,466298867.322962,466298867.32296205 
 01/01  22:00:00,,,390476378.8332602,390476378.8332601 
 01/01  23:00:00,,,481069336.578078,481069336.5780779 
 01/01  24:00:00,,,394512944.3514445,394512944.3514445 
 01/02  01:00:00,,,482426042.0908847,482426042.09088457 
 01/02  02:00:00,,,398463617.1147048,398463617.1147048 
 01/02  03:00:00,,,474545235.3431573,474545235.3431573 
 01/02  04:00:00,,,401488574.56375885,401488574.5637588 
 01/02  05:00:00,,,482535687.5830928,482535687.5830928 
 01/02  06:00:00,,,393648218.55376667,393648218.55376655 
 01/02  07:00:00,,,530458312.66380566,530458312.6638057 
 01/02  08:00:00,,,605172367.2196671,605172367.2196671 
