Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2086392.5179199153,18115708072.29608,14773562223.31991,0.0,4755156006.675914,115153.5027849584,3927302676.112765,292212155.4823639,781678795.7276644,9072486053.176685,7194482145.952957,5013962340.313098,12913264472.272964,14222989.747652655,8334376055.335449,24019009.716719247,10606970883.745691,852080414.547077,8412485193.421521,84858166.70394704,9199750709.586788,40987667.81904983,5690429071.642681,59367990.78507541,11939231977.270323,102001035.92879847,5782925909.425187,98428911.4550338,9277244857.44713,66684761.31662628,5827801018.062001,72752367.51572259,7163728931.480309,1147721091.0332441,5790612458.696307,128510822.590933,302820645854.6292,136005354484.31415 
February,0.0,17421857525.637505,10422969200.023466,3523199.7398579475,3471946823.61494,4194695.660835192,2949212098.129821,185764831.28184676,64429125.76787611,9222753668.938082,3723993543.427935,5759968023.120262,9092455868.148441,157560861.21255508,5613745702.736299,232149978.60404295,7105054942.240111,1601061975.994249,5680673300.089175,283729217.0670455,6102606778.739734,191277938.36589432,3526635806.4904,264119889.02989328,7787565066.890927,532935001.701359,3559798017.803376,284663042.8535797,6099300121.376273,289265171.2298643,3687538403.839954,265680866.761768,4445465147.38511,1991727265.2278926,3669803388.0481234,398834954.4555798,224746228188.03583,108619028353.85205 
March,0.0,22246772798.64664,6878107819.375474,23886402.60111489,2358194866.269685,13120068.083044821,2251528765.924564,204649808.44411448,0.0,12005089643.390972,473950801.3777287,9141074803.43003,5310526371.683691,546212912.3946146,3032300738.8185806,672509044.2619252,4030392309.9510517,2238264002.1619678,3112473143.609522,700157762.8001068,3282958782.9664893,554324236.5214357,1606907325.2454827,650147169.0288296,5288737913.995504,683682818.2103335,1602085839.3072212,615199491.6156029,2625801786.6031504,839466470.0454966,1501425551.900007,730553313.4520955,1833502314.5542345,2738660924.0502243,1493938842.0824883,913546585.7896672,187549902802.3429,107005688712.20392 
April,0.0,23785708978.999645,3330572438.292256,719838856.5347893,1141365765.1159453,189070045.65363038,884422540.635324,591630497.6878446,0.0,12298613435.48976,172329515.42436734,11568961117.235384,1955537291.6395535,1379782800.986578,1031276139.3987899,1582543363.7779932,1532177602.3022172,3215531642.33612,1145096628.325147,1651362305.5380187,1107627954.8178847,1338367386.3495448,382440095.89165,1393325919.6015792,2367203784.2243366,1723648548.5763242,489501375.4861211,1379551091.3104324,764011249.0095638,1681477250.2763474,395737389.8198382,1772367493.4025257,548032025.6829331,3615143003.0998073,446195015.5825418,1848208825.204596,143928530732.67307,49250432732.274315 
May,0.0,29387475094.083992,1091486787.2844608,2284263587.724725,358577354.06429344,926664537.5399932,205882249.95237374,1504242792.4199448,0.0,17310204347.99604,0.0,15891551867.503983,112142829.86699739,2973790639.018664,64944707.641182624,3214452797.2372494,103875891.88823639,4820647861.5019655,66681949.676583365,3193874787.6594963,32180692.815287884,2547428721.9754405,10750483.934214301,2644248658.0645843,854167793.0580665,3085174298.739178,4875696.625575178,2540291580.761973,454964.01781440986,3331930164.3382144,392377.8814177601,3442053425.0165234,269547.56588980224,5228806730.100323,119590.48469583078,3424682398.159408,142934296399.8973,18877087155.01094 
June,0.0,33005037413.472694,602666911.0951481,4195683810.0785313,46128162.29033111,2222183197.0006046,35745007.10544792,2786466535.438815,0.0,21478740763.12822,0.0,20592927937.694653,0.0,4878355552.28611,0.0,4878506652.617686,0.0,6508578368.600221,0.0,4624727355.253164,0.0,3933837256.7300754,0.0,4145244303.8472505,203268650.1729489,4489435287.036756,0.0,3854097138.81147,0.0,5072818666.985593,0.0,4890225441.673398,0.0,6631409695.213875,0.0,4690580432.24712,154075162392.61288,11643271220.116552 
July,0.0,33117359514.554214,513573355.89806867,5311464824.994371,40330390.8075356,2918340638.027552,33859621.847917795,3491177124.5301704,0.0,22257970190.048252,0.0,21893616783.336445,0.0,5632261549.661868,0.0,5769468773.500026,0.0,7673018765.8342285,0.0,5442961582.946332,0.0,4746432692.359984,0.0,5224002829.794052,91792314.72311741,6216335481.809354,0.0,4809182280.857584,0.0,5746088584.569112,0.0,5752546663.084809,0.0,7725394954.553555,0.0,5466833528.769275,163101766506.80298,11007384452.271988 
August,0.0,35234169643.60918,644205819.1037694,4488349706.920959,41604365.83153625,2618895105.3053126,33800088.58156978,3378322274.078673,0.0,22943945874.81455,0.0,21754152034.4783,0.0,4920146497.03424,0.0,5075529697.5644655,0.0,7974692135.348512,0.0,4867955064.189962,0.0,4541400361.1332035,0.0,4891775930.005499,158842273.00107977,6825337579.185264,0.0,4612408175.64424,0.0,5180314501.151993,0.0,5171264384.644449,0.0,8214353077.73117,0.0,5012322542.5049505,170785254785.2115,11890277859.636757 
September,0.0,29286637030.253628,998528812.4945773,1481134687.3181,286443329.8185962,791795437.2326515,153884400.56594375,1494611174.3391483,0.0,16625680258.405397,0.0,13651009034.476837,14194028.474976014,2340454068.7380614,8887345.54319347,2189082821.6376934,8933084.040807514,4892524791.176285,6916533.913696789,2479563613.092708,0.0,2888312796.5122147,0.0,2525997980.1163726,614650168.4012401,4276243293.5979066,0.0,2726407268.058609,0.0,2880213493.339164,0.0,2529925088.4207945,0.0,5544284042.821704,0.0,2834549282.2911305,136535147790.85814,18183878023.219418 
October,0.0,24916741194.90187,3498662160.1678653,269273715.97124434,1324665554.0023386,112062510.724398,1061962047.3850336,474899255.4466135,0.0,11798863275.124731,40642399.751776926,10442918565.896372,1827843009.7259912,1132216189.9119165,1153710810.1225953,936900510.9222482,1434723528.5725923,3045426128.499349,1116317583.319919,1048769477.5438455,312722158.81296575,1823318652.3909636,178658234.147069,1381800941.0251548,1655658256.4490077,2627689944.0964284,158460247.25082463,1465341757.6755593,632259482.1638074,1523539190.9272375,405716659.3469718,1105488852.6679332,468638064.76727116,3647362212.224439,390242336.0253483,1327663634.354185,146923873119.78888,43196858129.83071 
