Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.398044E+03,3.823588E+04,1.753873E-01,3.215699E+00,7.523615E+03,2.318573E+04,3.883252E-01,1.949967E+00,1.515726E+04,2.235770E+04,7.823298E-01,1.880327E+00,1.034123E+04,4.698056E+03,5.336743E-01,3.951542E-01,6.731135E+03,3.036199E+03,3.473681E-01,2.553761E-01,1.033539E+04,4.873581E+03,5.333731E-01,4.099175E-01,6.807122E+03,3.418606E+03,3.512895E-01,2.875398E-01,7.476692E+03,4.520561E+03,3.858705E-01,3.802095E-01,4.896749E+03,3.310026E+03,2.527193E-01,2.783954E-01,7.476685E+03,5.213394E+03,3.858701E-01,4.384803E-01,4.960181E+03,3.824036E+03,2.559931E-01,3.216262E-01,7.926953E+03,4.919396E+03,4.090904E-01,4.137654E-01,5.183444E+03,3.179408E+03,2.675034E-01,2.674176E-01,7.919529E+03,5.100043E+03,4.087073E-01,4.289592E-01,5.249926E+03,3.561287E+03,2.709343E-01,2.995364E-01
00:20:00,3.392137E+03,3.817989E+04,1.750824E-01,3.210989E+00,7.522520E+03,2.312043E+04,3.882687E-01,1.944471E+00,1.515703E+04,2.222631E+04,7.823176E-01,1.869274E+00,1.034118E+04,4.640526E+03,5.336716E-01,3.903150E-01,6.731102E+03,2.998273E+03,3.473664E-01,2.521860E-01,1.033534E+04,4.813396E+03,5.333704E-01,4.048550E-01,6.807089E+03,3.366786E+03,3.512878E-01,2.831811E-01,7.476121E+03,4.484648E+03,3.858410E-01,3.771885E-01,4.896399E+03,3.281434E+03,2.527013E-01,2.759903E-01,7.476114E+03,5.169808E+03,3.858407E-01,4.348141E-01,4.959832E+03,3.783769E+03,2.559750E-01,3.182393E-01,7.926704E+03,4.877985E+03,4.090776E-01,4.102820E-01,5.183286E+03,3.151583E+03,2.674952E-01,2.650770E-01,7.919279E+03,5.055624E+03,4.086944E-01,4.252228E-01,5.249768E+03,3.520283E+03,2.709261E-01,2.960874E-01
00:30:00,3.386266E+03,3.812454E+04,1.747793E-01,3.206332E+00,7.521433E+03,2.305565E+04,3.882126E-01,1.939020E+00,1.515679E+04,2.209825E+04,7.823055E-01,1.858501E+00,1.034112E+04,4.584838E+03,5.336690E-01,3.856309E-01,6.731069E+03,2.961463E+03,3.473647E-01,2.490897E-01,1.033529E+04,4.754974E+03,5.333678E-01,3.999409E-01,6.807057E+03,3.316900E+03,3.512861E-01,2.789850E-01,7.475554E+03,4.449652E+03,3.858117E-01,3.742447E-01,4.896052E+03,3.253415E+03,2.526833E-01,2.736335E-01,7.475547E+03,5.127113E+03,3.858114E-01,4.312228E-01,4.959486E+03,3.744671E+03,2.559572E-01,3.149507E-01,7.926457E+03,4.837655E+03,4.090648E-01,4.068896E-01,5.183128E+03,3.124408E+03,2.674871E-01,2.627912E-01,7.919031E+03,5.012245E+03,4.086816E-01,4.215739E-01,5.249610E+03,3.480657E+03,2.709180E-01,2.927544E-01
00:40:00,3.380431E+03,3.806975E+04,1.744782E-01,3.201722E+00,7.520352E+03,2.299132E+04,3.881568E-01,1.933608E+00,1.515656E+04,2.197328E+04,7.822935E-01,1.847989E+00,1.034107E+04,4.530894E+03,5.336663E-01,3.810935E-01,6.731037E+03,2.925718E+03,3.473630E-01,2.460830E-01,1.033524E+04,4.698222E+03,5.333651E-01,3.951672E-01,6.807024E+03,3.268802E+03,3.512844E-01,2.749394E-01,7.474990E+03,4.415538E+03,3.857826E-01,3.713752E-01,4.895706E+03,3.225947E+03,2.526655E-01,2.713231E-01,7.474983E+03,5.085267E+03,3.857823E-01,4.277030E-01,4.959141E+03,3.706655E+03,2.559394E-01,3.117532E-01,7.926211E+03,4.798347E+03,4.090521E-01,4.035831E-01,5.182972E+03,3.097855E+03,2.674790E-01,2.605577E-01,7.918785E+03,4.969852E+03,4.086689E-01,4.180080E-01,5.249454E+03,3.442306E+03,2.709100E-01,2.895286E-01
00:50:00,3.374631E+03,3.801546E+04,1.741788E-01,3.197153E+00,7.519278E+03,2.292738E+04,3.881014E-01,1.928228E+00,1.515633E+04,2.185116E+04,7.822816E-01,1.837716E+00,1.034102E+04,4.478617E+03,5.336637E-01,3.766962E-01,6.731005E+03,2.890996E+03,3.473613E-01,2.431624E-01,1.033519E+04,4.643054E+03,5.333625E-01,3.905268E-01,6.806992E+03,3.222368E+03,3.512828E-01,2.710337E-01,7.474430E+03,4.382328E+03,3.857537E-01,3.685817E-01,4.895363E+03,3.199008E+03,2.526478E-01,2.690571E-01,7.474423E+03,5.044234E+03,3.857534E-01,4.242515E-01,4.958799E+03,3.669644E+03,2.559217E-01,3.086401E-01,7.925966E+03,4.760008E+03,4.090395E-01,4.003581E-01,5.182817E+03,3.071899E+03,2.674710E-01,2.583743E-01,7.918540E+03,4.928397E+03,4.086563E-01,4.145210E-01,5.249299E+03,3.405140E+03,2.709020E-01,2.864024E-01
01:00:00,3.368867E+03,3.796160E+04,1.738813E-01,3.192620E+00,7.518212E+03,2.286378E+04,3.880463E-01,1.922877E+00,1.515610E+04,2.173169E+04,7.822697E-01,1.827666E+00,1.034097E+04,4.427987E+03,5.336611E-01,3.724375E-01,6.730973E+03,2.857294E+03,3.473597E-01,2.403276E-01,1.033514E+04,4.589396E+03,5.333599E-01,3.860133E-01,6.806960E+03,3.177484E+03,3.512811E-01,2.672584E-01,7.473874E+03,4.349919E+03,3.857250E-01,3.658556E-01,4.895022E+03,3.172579E+03,2.526302E-01,2.668341E-01,7.473867E+03,5.003979E+03,3.857247E-01,4.208655E-01,4.958459E+03,3.633570E+03,2.559042E-01,3.056059E-01,7.925723E+03,4.722594E+03,4.090270E-01,3.972111E-01,5.182662E+03,3.046518E+03,2.674630E-01,2.562394E-01,7.918297E+03,4.887842E+03,4.086437E-01,4.111096E-01,5.249145E+03,3.369080E+03,2.708940E-01,2.833692E-01
01:10:00,3.369243E+03,3.793263E+04,1.739007E-01,3.190180E+00,7.518282E+03,2.282449E+04,3.880500E-01,1.919570E+00,1.515612E+04,2.163831E+04,7.822705E-01,1.819811E+00,1.034098E+04,4.383969E+03,5.336613E-01,3.687349E-01,6.730975E+03,2.827790E+03,3.473598E-01,2.378458E-01,1.033514E+04,4.542345E+03,5.333601E-01,3.820557E-01,6.806962E+03,3.137342E+03,3.512812E-01,2.638818E-01,7.473911E+03,4.323392E+03,3.857269E-01,3.636241E-01,4.895045E+03,3.149911E+03,2.526314E-01,2.649273E-01,7.473904E+03,4.969662E+03,3.857266E-01,4.179788E-01,4.958482E+03,3.601673E+03,2.559053E-01,3.029229E-01,7.925740E+03,4.691268E+03,4.090278E-01,3.945759E-01,5.182673E+03,3.024991E+03,2.674636E-01,2.544286E-01,7.918313E+03,4.853376E+03,4.086445E-01,4.082104E-01,5.249155E+03,3.337380E+03,2.708945E-01,2.807028E-01
01:20:00,3.369616E+03,3.790466E+04,1.739200E-01,3.187825E+00,7.518353E+03,2.278634E+04,3.880536E-01,1.916359E+00,1.515613E+04,2.154810E+04,7.822714E-01,1.812222E+00,1.034098E+04,4.341708E+03,5.336615E-01,3.651801E-01,6.730977E+03,2.799408E+03,3.473599E-01,2.354585E-01,1.033514E+04,4.497103E+03,5.333603E-01,3.782502E-01,6.806965E+03,3.098851E+03,3.512814E-01,2.606442E-01,7.473948E+03,4.297786E+03,3.857289E-01,3.614703E-01,4.895068E+03,3.127917E+03,2.526326E-01,2.630773E-01,7.473941E+03,4.936377E+03,3.857285E-01,4.151790E-01,4.958504E+03,3.570814E+03,2.559065E-01,3.003273E-01,7.925756E+03,4.661187E+03,4.090286E-01,3.920456E-01,5.182683E+03,3.004260E+03,2.674641E-01,2.526848E-01,7.918329E+03,4.820153E+03,4.086454E-01,4.054158E-01,5.249165E+03,3.306932E+03,2.708951E-01,2.781417E-01
01:30:00,3.369987E+03,3.787726E+04,1.739391E-01,3.185518E+00,7.518423E+03,2.274872E+04,3.880572E-01,1.913194E+00,1.515615E+04,2.146036E+04,7.822722E-01,1.804841E+00,1.034098E+04,4.301011E+03,5.336617E-01,3.617569E-01,6.730979E+03,2.772028E+03,3.473600E-01,2.331555E-01,1.033515E+04,4.453540E+03,5.333604E-01,3.745859E-01,6.806967E+03,3.061877E+03,3.512815E-01,2.575342E-01,7.473984E+03,4.272980E+03,3.857307E-01,3.593837E-01,4.895090E+03,3.106544E+03,2.526337E-01,2.612796E-01,7.473978E+03,4.904033E+03,3.857304E-01,4.124585E-01,4.958527E+03,3.540903E+03,2.559077E-01,2.978114E-01,7.925772E+03,4.632234E+03,4.090295E-01,3.896102E-01,5.182693E+03,2.984255E+03,2.674646E-01,2.510020E-01,7.918345E+03,4.788048E+03,4.086462E-01,4.027153E-01,5.249175E+03,3.277619E+03,2.708956E-01,2.756760E-01
01:40:00,3.370356E+03,3.785032E+04,1.739582E-01,3.183251E+00,7.518493E+03,2.271155E+04,3.880608E-01,1.910066E+00,1.515616E+04,2.137489E+04,7.822730E-01,1.797652E+00,1.034099E+04,4.261774E+03,5.336618E-01,3.584566E-01,6.730981E+03,2.745589E+03,3.473601E-01,2.309316E-01,1.033515E+04,4.411631E+03,5.333606E-01,3.710609E-01,6.806969E+03,3.026352E+03,3.512816E-01,2.545462E-01,7.474021E+03,4.248903E+03,3.857326E-01,3.573585E-01,4.895113E+03,3.085781E+03,2.526349E-01,2.595332E-01,7.474014E+03,4.872600E+03,3.857323E-01,4.098146E-01,4.958549E+03,3.511896E+03,2.559088E-01,2.953717E-01,7.925787E+03,4.604399E+03,4.090303E-01,3.872690E-01,5.182703E+03,2.964980E+03,2.674651E-01,2.493808E-01,7.918361E+03,4.757025E+03,4.086470E-01,4.001059E-01,5.249185E+03,3.249388E+03,2.708961E-01,2.733016E-01
