Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,49017120.9160467,36607975.127686,49017120.916046694,6788578.081969596 
 01/01  02:00:00,,,42988417.563420236,35432109.66098354,42988417.563420236,2345706.722925166 
 01/01  03:00:00,,,43274961.052927226,35664344.84054358,43274961.052927226,2323079.750934492 
 01/01  04:00:00,,,44114303.03664711,35326225.971536584,44114303.03664712,3378397.3013755167 
 01/01  05:00:00,,,44557581.65078415,36340582.57855758,44557581.65078415,2484901.7670373786 
 01/01  06:00:00,,,51130076.026066415,38707414.66160659,51130076.026066415,7056591.61844866 
 01/01  07:00:00,,,55110836.001990326,40275316.5365257,55110836.001990326,6794340.595274708 
 01/01  08:00:00,,,55383035.60252892,41148954.334849186,55383035.602528915,7133191.555690957 
 01/01  09:00:00,,,52606014.965715945,42455902.38655976,52606014.96571594,7148698.747130254 
 01/01  10:00:00,,,53214747.86701087,43327794.078652285,53214747.86701087,6866642.428808935 
 01/01  11:00:00,,,55564099.21338621,45756042.1182059,55564099.21338621,6783922.768611666 
 01/01  12:00:00,,,60529221.557858124,50463554.83117909,60529221.557858124,6714369.983614162 
 01/01  13:00:00,,,56487799.02538933,46095466.96538744,56487799.025389336,6863471.762929881 
 01/01  14:00:00,,,55262106.01662584,45416617.27102436,55262106.01662584,6804182.015516577 
 01/01  15:00:00,,,54422616.46360006,44737767.576661274,54422616.46360006,6628879.405956514 
 01/01  16:00:00,,,54416593.199276805,44737767.576661274,54416593.19927679,6636831.9265385065 
 01/01  17:00:00,,,57325488.407994,46016436.59640662,57325488.407994,6744761.023636688 
 01/01  18:00:00,,,61384583.38832695,46662038.46775182,61384583.38832695,6862963.10713619 
 01/01  19:00:00,,,60859241.30740216,45983188.77338874,60859241.30740216,7021518.5814978555 
 01/01  20:00:00,,,60661435.80688792,45304339.07902567,60661435.80688791,7131684.866730765 
 01/01  21:00:00,,,60052388.067949355,44625489.38466258,60052388.067949355,7227671.353664285 
 01/01  22:00:00,,,58972272.1307299,43946639.6902995,58972272.1307299,7028409.054207117 
 01/01  23:00:00,,,54937164.01517368,40314362.936433986,54937164.01517368,6908884.847553886 
 01/01  24:00:00,,,55965776.273625754,40812084.63966748,55965776.273625754,6965859.653876064 
 01/02  01:00:00,,,49129378.48224319,36303564.91174891,49129378.48224319,6827095.360444354 
 01/02  02:00:00,,,42989515.40527304,35432109.66098354,42989515.40527304,2349800.6320854756 
 01/02  03:00:00,,,43263958.178801954,35664344.84054358,43263958.178801954,2315505.460694338 
 01/02  04:00:00,,,44069691.69827648,35326225.971536584,44069691.69827648,3343037.771068589 
 01/02  05:00:00,,,44507607.14278215,36340582.57855758,44507607.14278215,2441902.1497052237 
 01/02  06:00:00,,,51873963.79419164,39449002.77488339,51873963.794191636,7071979.9338345565 
 01/02  07:00:00,,,55969882.504751965,41094578.63260723,55969882.50475198,6824481.367622687 
 01/02  08:00:00,,,55924423.00695599,41710745.962091945,55924423.00695598,7104627.720832895 
 01/02  09:00:00,,,52933034.462766185,42850669.56254299,52933034.46276618,7073289.596138958 
 01/02  10:00:00,,,53760794.742974006,43693337.031216055,53760794.742974006,7039159.527244084 
 01/02  11:00:00,,,56344341.74192994,46487142.69372765,56344341.741929926,6817338.861477484 
 01/02  12:00:00,,,61446248.131115004,51194655.40670085,61446248.131115004,6893957.7178376205 
 01/02  13:00:00,,,57492216.581232056,46826567.540909186,57492216.581232056,7111733.419495338 
 01/02  14:00:00,,,56196036.19488739,46147717.84654611,56196036.194887385,6994779.415152547 
 01/02  15:00:00,,,55305809.862704426,45468868.15218303,55305809.86270443,6767721.9327751035 
 01/02  16:00:00,,,55222250.23025529,45468868.15218303,55222250.23025529,6697848.510376686 
 01/02  17:00:00,,,58918737.744919896,47535661.597577766,58918737.744919896,6796458.661779147 
 01/02  18:00:00,,,63269894.572545126,48394520.10873182,63269894.57254512,6995567.066311352 
 01/02  19:00:00,,,62861446.21955996,47715670.41436875,62861446.21955995,7271173.12143912 
 01/02  20:00:00,,,62596016.67669882,47036820.72000567,62596016.67669882,7311008.874751061 
 01/02  21:00:00,,,61942081.64662124,46357971.02564259,61942081.64662124,7363711.481419624 
 01/02  22:00:00,,,60861408.76294075,45679121.33127951,60861408.76294074,7164663.002539097 
 01/02  23:00:00,,,55099700.33123112,40314362.936433986,55099700.33123113,7075881.752229669 
 01/02  24:00:00,,,56045363.19561556,40812084.63966748,56045363.19561556,7048732.303325513 
 01/03  01:00:00,,,49214904.68087762,36303564.91174891,49214904.68087762,6914395.544582637 
 01/03  02:00:00,,,43471672.60031377,35432109.66098354,43471672.60031377,2830885.513979 
 01/03  03:00:00,,,43263813.23266354,35664344.84054358,43263813.23266354,2311792.22562113 
 01/03  04:00:00,,,44040489.89249953,35326225.971536584,44040489.89249952,3310286.336882035 
 01/03  05:00:00,,,46396792.09326756,36340582.57855758,46396792.09326756,2658590.971644137 
 01/03  06:00:00,,,53386906.77024759,39449002.77488339,53386906.77024759,7285469.670592224 
 01/03  07:00:00,,,56831512.11844447,41094578.63260723,56831512.11844447,7096949.785902807 
 01/03  08:00:00,,,56262250.5710414,41710672.11587534,56262250.5710414,7457771.33334776 
 01/03  09:00:00,,,53306018.24093518,42850334.413692236,53306018.24093518,7462962.805080347 
 01/03  10:00:00,,,54226676.71644016,43693337.031216055,54226676.71644016,7524922.237318372 
 01/03  11:00:00,,,56777187.63958646,46487142.69372765,56777187.63958647,7272939.06077533 
 01/03  12:00:00,,,61981875.97978927,51194655.40670085,61981875.97978928,7449912.633412404 
 01/03  13:00:00,,,58122075.46015768,46826567.540909186,58122075.46015767,7763907.230100529 
 01/03  14:00:00,,,56849839.58080229,46147717.84654611,56849839.580802284,7671361.057544695 
 01/03  15:00:00,,,55935948.93287967,45468868.15218303,55935948.932879664,7421473.461600323 
 01/03  16:00:00,,,55837729.24658292,45501808.86990434,55837729.24658292,7305095.528432053 
 01/03  17:00:00,,,59593498.26873238,47564624.67356148,59593498.26873238,7471592.013314551 
 01/03  18:00:00,,,64000714.09730827,48394520.10873182,64000714.09730827,7755261.319306915 
 01/03  19:00:00,,,63604212.45267961,47715670.41436875,63604212.45267961,8038099.2619198095 
 01/03  20:00:00,,,62957560.55481682,47036820.72000567,62957560.55481682,8070541.643249938 
 01/03  21:00:00,,,62270313.64802647,46357971.02564259,62270313.64802647,8062367.638571754 
 01/03  22:00:00,,,61366285.496605694,45679121.33127951,61366285.496605694,7954062.2424946 
 01/03  23:00:00,,,55778645.452669635,40314362.936433986,55778645.452669635,7762684.895964639 
 01/03  24:00:00,,,56652087.35269417,40812084.63966748,56652087.35269417,7656541.579438944 
 01/04  01:00:00,,,49721135.85657275,36303564.91174891,49721135.85657275,7418366.0928922575 
 01/04  02:00:00,,,43265983.9077935,35432109.66098354,43265983.9077935,2630304.5449479725 
 01/04  03:00:00,,,43822649.62621133,35664344.84054358,43822649.62621133,2877689.988618738 
 01/04  04:00:00,,,45022166.848467246,35326225.971536584,45022166.848467246,4305892.626486188 
 01/04  05:00:00,,,45792753.321757495,36340582.57855758,45792753.321757495,3729674.863388776 
 01/04  06:00:00,,,52851140.05126258,39449002.77488339,52851140.05126257,8058274.578691281 
 01/04  07:00:00,,,57027801.50941697,41094578.63260723,57027801.50941697,7894239.325034705 
 01/04  08:00:00,,,57150324.353607096,41650045.88927123,57150324.353607096,8408535.633672861 
 01/04  09:00:00,,,53987896.17995947,42675062.48967143,53987896.17995947,8322202.9509476675 
 01/04  10:00:00,,,54736538.21212867,43693337.031216055,54736538.21212867,8036715.227868501 
 01/04  11:00:00,,,56968435.7052411,46487142.69372765,56968435.70524111,7466619.679434783 
 01/04  12:00:00,,,62063453.57307762,51194655.40670085,62063453.57307762,7533806.087397333 
 01/04  13:00:00,,,58195139.66312258,46826567.540909186,58195139.66312259,7837999.765018995 
 01/04  14:00:00,,,56821388.55067372,46147717.84654611,56821388.55067372,7643325.656237302 
 01/04  15:00:00,,,55841953.96991373,45468868.15218303,55841953.96991373,7327625.158292767 
 01/04  16:00:00,,,55751767.29175711,45468868.15218303,55751767.29175711,7252040.1194484355 
 01/04  17:00:00,,,59469584.170404345,47463692.94592027,59469584.170404345,7447726.606392534 
 01/04  18:00:00,,,63950579.56971905,48394520.10873182,63950579.56971906,7704754.776965572 
 01/04  19:00:00,,,63595451.09031081,47715670.41436875,63595451.0903108,8030036.919720873 
 01/04  20:00:00,,,63301503.32647419,47036820.72000567,63301503.32647419,8039905.171442815 
 01/04  21:00:00,,,62579305.54887675,46357971.02564259,62579305.54887673,8020723.277025518 
 01/04  22:00:00,,,61472137.26238826,45679121.33127951,61472137.26238826,7790069.74299665 
 01/04  23:00:00,,,55601418.330643184,40314362.936433986,55601418.33064319,7585361.340838431 
 01/04  24:00:00,,,56487013.03401874,40812084.63966748,56487013.03401873,7491484.674595129 
 01/05  01:00:00,,,49575545.75270035,36303564.91174891,49575545.752700344,7272363.665320829 
 01/05  02:00:00,,,43068155.77158055,35432109.66098354,43068155.77158055,2434672.277784378 
 01/05  03:00:00,,,43480293.48555537,35664344.84054358,43480293.48555537,2539198.311129206 
 01/05  04:00:00,,,44322928.90284984,35326225.971536584,44322928.90284984,3616863.4130246663 
 01/05  05:00:00,,,44626877.20591643,36340582.57855758,44626877.20591643,2567496.6085348614 
 01/05  06:00:00,,,52402629.70161439,39449002.77488339,52402629.701614365,7611702.508702386 
 01/05  07:00:00,,,56524936.79486872,41094578.63260723,56524936.79486873,7391077.096662728 
 01/05  08:00:00,,,56506826.71469175,41681018.72330277,56506826.71469175,7733355.073062258 
 01/05  09:00:00,,,53374960.08562932,42705957.69014096,53374960.08562933,7677652.3660211 
 01/05  10:00:00,,,54289013.73348029,43693337.031216055,54289013.73348029,7588557.24929184 
 01/05  11:00:00,,,56681454.03225516,46487142.69372765,56681454.03225515,7178652.167899024 
 01/05  12:00:00,,,61750303.10548946,51194655.40670085,61750303.105489455,7211476.968491467 
 01/05  13:00:00,,,57767021.21356221,46826567.540909186,57767021.21356221,7395919.941918192 
 01/05  14:00:00,,,56447130.36927131,46147717.84654611,56447130.36927131,7266145.2124631815 
 01/05  15:00:00,,,55547268.59131003,45468868.15218303,55547268.59131004,7032871.765168942 
 01/05  16:00:00,,,55491615.27408942,45468868.15218303,55491615.274089426,6992077.13663994 
 01/05  17:00:00,,,58942375.933886334,47158449.82782535,58942375.93388634,7226724.267581887 
 01/05  18:00:00,,,63806979.26034541,48394520.10873182,63806979.26034541,7561705.058201412 
 01/05  19:00:00,,,63569208.033626065,47715670.41436875,63569208.033626065,8003064.681220746 
 01/05  20:00:00,,,63314135.28752469,47036820.72000567,63314135.287524685,8051802.812154328 
 01/05  21:00:00,,,62570428.065694556,46357971.02564259,62570428.065694556,8011727.152501261 
 01/05  22:00:00,,,61496184.66805498,45679121.33127951,61496184.66805498,7814311.924303775 
 01/05  23:00:00,,,55759776.97792199,40314362.936433986,55759776.97792199,7743735.067338916 
 01/05  24:00:00,,,56750095.75884546,40812084.63966748,56750095.75884546,7754536.10014814 
 01/06  01:00:00,,,49842902.652857125,36303564.91174891,49842902.65285712,7540218.417465694 
 01/06  02:00:00,,,43513685.856011406,35432109.66098354,43513685.856011406,2878029.413619185 
 01/06  03:00:00,,,43950831.33020927,35664344.84054358,43950831.33020928,3006066.9744476946 
 01/06  04:00:00,,,44879452.19183968,35326225.971536584,44879452.19183969,4158885.575751398 
 01/06  05:00:00,,,47345146.5548943,36340582.57855758,47345146.55489429,3603910.380043113 
 01/06  06:00:00,,,54027464.137317844,39449002.77488339,54027464.137317844,7931321.294940339 
 01/06  07:00:00,,,57525516.98234842,41094578.63260723,57525516.98234842,7791763.56210484 
