Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16891260989.172935,11529563.941112189,0.0,36554573625.14054,0.0,0.0,40861783781.370766,157989501444.0055 
February,16671460233.174995,44120223.286239624,1305338.8404864108,32676477884.685158,0.0,0.0,36856683013.342064,155319194631.97623 
March,11376877027.905197,198672828.908691,0.0,36589049092.73297,0.0,0.0,40255856185.79982,123722285856.59842 
April,5840250566.991933,451261480.3868069,0.0,35996211016.85042,0.0,0.0,38934986229.769684,87967402168.17888 
May,1312355899.8669903,1737752740.4623992,0.0,37565373295.583565,0.0,0.0,42838007527.78386,67089541157.09555 
June,38416268.54827817,3159207394.1819644,0.0,37596674646.796776,0.0,0.0,46837479647.392235,57588597682.54011 
July,0.0,4788780877.051451,0.0,39829846290.368546,0.0,0.0,54406940911.838165,57603104218.72566 
August,1103396.297093369,4238970524.2324233,0.0,39836567346.390594,0.0,0.0,51631895479.22674,57389199055.19277 
September,414520694.1960939,3092420111.9866176,0.0,38040227651.424446,0.0,0.0,45331824000.27242,58997076925.56389 
October,2873104954.9816318,1361533124.7455568,0.0,38876500348.26735,0.0,0.0,41991495613.12907,73727103299.0329 
November,8425979723.254512,199310600.6550527,0.0,37353325716.77754,0.0,0.0,39297409404.81786,100744533543.92757 
December,14888916673.851673,73842469.11764364,0.0,37245417893.94056,0.0,0.0,40852158652.54524,144498492815.75195 
