Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.437500E+03,1.661947E+03,1.685355E-01,1.335238E-01,0.000000E+00,1.797981E+04,0.000000E+00,1.445474E+00
00:20:00,3.437253E+03,1.569848E+03,1.685234E-01,1.261222E-01,0.000000E+00,1.805912E+04,0.000000E+00,1.451856E+00
00:30:00,3.437009E+03,1.480083E+03,1.685115E-01,1.189084E-01,0.000000E+00,1.813898E+04,0.000000E+00,1.458280E+00
00:40:00,3.436767E+03,1.392633E+03,1.684996E-01,1.118808E-01,0.000000E+00,1.779589E+04,0.000000E+00,1.430700E+00
00:50:00,3.436527E+03,1.307476E+03,1.684878E-01,1.050377E-01,0.000000E+00,1.745397E+04,0.000000E+00,1.403188E+00
01:00:00,3.436289E+03,1.224576E+03,1.684761E-01,9.837617E-02,0.000000E+00,1.711248E+04,0.000000E+00,1.375714E+00
01:10:00,3.436306E+03,1.145834E+03,1.684770E-01,9.204891E-02,0.000000E+00,1.709996E+04,0.000000E+00,1.374706E+00
01:20:00,3.436324E+03,1.071128E+03,1.684779E-01,8.604610E-02,0.000000E+00,1.708787E+04,0.000000E+00,1.373734E+00
01:30:00,3.436341E+03,1.000437E+03,1.684787E-01,8.036604E-02,0.000000E+00,1.707621E+04,0.000000E+00,1.372797E+00
01:40:00,3.436359E+03,9.337286E+02,1.684796E-01,7.500610E-02,0.000000E+00,1.706495E+04,0.000000E+00,1.371892E+00
01:50:00,3.436376E+03,8.709799E+02,1.684804E-01,6.996448E-02,0.000000E+00,1.705408E+04,0.000000E+00,1.371018E+00
02:00:00,3.436393E+03,8.121895E+02,1.684813E-01,6.524102E-02,0.000000E+00,1.704359E+04,0.000000E+00,1.370175E+00
02:10:00,3.436410E+03,7.555127E+02,1.684821E-01,6.068753E-02,0.000000E+00,1.703343E+04,0.000000E+00,1.369358E+00
02:20:00,3.436427E+03,7.009590E+02,1.684829E-01,5.630470E-02,0.000000E+00,1.702357E+04,0.000000E+00,1.368566E+00
02:30:00,3.436443E+03,6.485187E+02,1.684837E-01,5.209175E-02,0.000000E+00,1.701402E+04,0.000000E+00,1.367799E+00
02:40:00,3.436460E+03,5.981894E+02,1.684845E-01,4.804849E-02,0.000000E+00,1.700476E+04,0.000000E+00,1.367054E+00
02:50:00,3.436476E+03,5.499673E+02,1.684853E-01,4.417460E-02,0.000000E+00,1.699578E+04,0.000000E+00,1.366333E+00
03:00:00,3.436492E+03,5.038486E+02,1.684861E-01,4.046978E-02,0.000000E+00,1.698709E+04,0.000000E+00,1.365634E+00
03:10:00,3.436508E+03,4.579467E+02,1.684869E-01,3.678248E-02,0.000000E+00,1.697861E+04,0.000000E+00,1.364952E+00
03:20:00,3.436524E+03,4.122651E+02,1.684877E-01,3.311295E-02,0.000000E+00,1.697033E+04,0.000000E+00,1.364288E+00
03:30:00,3.436540E+03,3.667898E+02,1.684885E-01,2.946006E-02,0.000000E+00,1.696226E+04,0.000000E+00,1.363639E+00
03:40:00,3.436556E+03,3.215135E+02,1.684892E-01,2.582325E-02,0.000000E+00,1.695437E+04,0.000000E+00,1.363005E+00
03:50:00,3.436571E+03,2.764279E+02,1.684900E-01,2.220183E-02,0.000000E+00,1.694667E+04,0.000000E+00,1.362386E+00
04:00:00,3.436587E+03,2.315248E+02,1.684908E-01,1.859516E-02,0.000000E+00,1.693914E+04,0.000000E+00,1.361781E+00
04:10:00,3.436602E+03,1.886869E+02,1.684915E-01,1.515443E-02,0.000000E+00,1.700162E+04,0.000000E+00,1.366804E+00
04:20:00,3.436617E+03,1.478897E+02,1.684923E-01,1.187767E-02,0.000000E+00,1.706419E+04,0.000000E+00,1.371838E+00
04:30:00,3.436632E+03,1.091408E+02,1.684930E-01,8.765495E-03,0.000000E+00,1.712696E+04,0.000000E+00,1.376888E+00
04:40:00,3.436647E+03,7.432563E+01,1.684937E-01,5.969314E-03,0.000000E+00,1.718993E+04,0.000000E+00,1.381951E+00
04:50:00,3.436662E+03,4.694936E+01,1.684944E-01,3.770613E-03,0.000000E+00,1.725308E+04,0.000000E+00,1.387029E+00
05:00:00,3.436676E+03,2.698486E+01,1.684952E-01,2.167202E-03,0.000000E+00,1.731665E+04,0.000000E+00,1.392140E+00
05:10:00,3.436691E+03,1.251547E+01,1.684959E-01,1.005134E-03,0.000000E+00,1.730701E+04,0.000000E+00,1.391365E+00
05:20:00,3.436705E+03,4.641170E+00,1.684966E-01,3.729243E-04,0.000000E+00,1.729908E+04,0.000000E+00,1.390724E+00
05:30:00,3.436719E+03,1.973463E+01,1.684973E-01,1.585072E-03,0.000000E+00,1.729308E+04,0.000000E+00,1.390238E+00
05:40:00,3.436734E+03,4.629692E+01,1.684980E-01,3.718344E-03,0.000000E+00,1.728752E+04,0.000000E+00,1.389762E+00
05:50:00,3.436748E+03,8.739120E+01,1.684986E-01,7.018736E-03,0.000000E+00,1.728520E+04,0.000000E+00,1.389506E+00
06:00:00,3.436762E+03,1.414006E+02,1.684993E-01,1.135641E-02,0.000000E+00,1.728509E+04,0.000000E+00,1.389397E+00
06:10:00,3.436775E+03,2.175863E+02,1.685000E-01,1.747522E-02,0.000000E+00,1.730560E+04,0.000000E+00,1.390930E+00
06:20:00,3.436789E+03,3.148630E+02,1.685007E-01,2.528789E-02,0.000000E+00,1.732910E+04,0.000000E+00,1.392700E+00
06:30:00,3.436803E+03,4.166612E+02,1.685013E-01,3.346405E-02,0.000000E+00,1.735518E+04,0.000000E+00,1.394663E+00
06:40:00,3.436816E+03,5.326810E+02,1.685020E-01,4.278254E-02,0.000000E+00,1.738639E+04,0.000000E+00,1.397057E+00
06:50:00,3.436830E+03,6.562324E+02,1.685027E-01,5.270616E-02,0.000000E+00,1.742014E+04,0.000000E+00,1.399697E+00
07:00:00,3.436843E+03,7.905650E+02,1.685033E-01,6.349593E-02,0.000000E+00,1.745766E+04,0.000000E+00,1.402669E+00
07:10:00,3.436856E+03,9.439240E+02,1.685040E-01,7.581435E-02,0.000000E+00,1.745473E+04,0.000000E+00,1.402408E+00
07:20:00,3.436869E+03,1.115921E+03,1.685046E-01,8.963023E-02,0.000000E+00,1.745435E+04,0.000000E+00,1.402352E+00
07:30:00,3.436882E+03,1.306310E+03,1.685052E-01,1.049236E-01,0.000000E+00,1.745632E+04,0.000000E+00,1.402490E+00
07:40:00,3.436895E+03,1.514963E+03,1.685059E-01,1.216842E-01,0.000000E+00,1.746005E+04,0.000000E+00,1.402772E+00
07:50:00,3.436908E+03,1.741764E+03,1.685065E-01,1.399030E-01,0.000000E+00,1.746519E+04,0.000000E+00,1.403169E+00
08:00:00,3.436920E+03,1.985031E+03,1.685071E-01,1.594449E-01,0.000000E+00,1.747127E+04,0.000000E+00,1.403640E+00
08:10:00,3.436933E+03,2.231515E+03,1.685077E-01,1.792456E-01,0.000000E+00,1.750781E+04,0.000000E+00,1.406560E+00
08:20:00,3.436945E+03,2.482028E+03,1.685083E-01,1.993704E-01,0.000000E+00,1.754433E+04,0.000000E+00,1.409478E+00
08:30:00,3.436958E+03,2.737254E+03,1.685089E-01,2.198746E-01,0.000000E+00,1.758094E+04,0.000000E+00,1.412415E+00
08:40:00,3.436970E+03,2.997721E+03,1.685095E-01,2.408025E-01,0.000000E+00,1.761739E+04,0.000000E+00,1.415355E+00
08:50:00,3.436982E+03,3.263230E+03,1.685101E-01,2.621348E-01,0.000000E+00,1.765294E+04,0.000000E+00,1.418215E+00
09:00:00,3.436994E+03,3.534291E+03,1.685107E-01,2.839128E-01,0.000000E+00,1.768802E+04,0.000000E+00,1.421033E+00
09:10:00,3.437005E+03,3.802810E+03,1.685113E-01,3.054869E-01,0.000000E+00,1.772797E+04,0.000000E+00,1.424242E+00
09:20:00,3.437017E+03,4.068433E+03,1.685119E-01,3.268316E-01,0.000000E+00,1.776752E+04,0.000000E+00,1.427431E+00
09:30:00,3.437029E+03,4.330357E+03,1.685124E-01,3.478804E-01,0.000000E+00,1.780624E+04,0.000000E+00,1.430558E+00
09:40:00,3.437040E+03,4.587635E+03,1.685130E-01,3.685546E-01,0.000000E+00,1.784378E+04,0.000000E+00,1.433579E+00
09:50:00,3.437052E+03,4.840332E+03,1.685135E-01,3.888624E-01,0.000000E+00,1.788090E+04,0.000000E+00,1.436574E+00
10:00:00,3.437063E+03,5.087501E+03,1.685141E-01,4.087273E-01,0.000000E+00,1.791708E+04,0.000000E+00,1.439497E+00
10:10:00,3.437074E+03,5.328768E+03,1.685147E-01,4.281186E-01,0.000000E+00,1.794112E+04,0.000000E+00,1.441444E+00
10:20:00,3.437085E+03,5.563402E+03,1.685152E-01,4.469745E-01,0.000000E+00,1.796383E+04,0.000000E+00,1.443274E+00
10:30:00,3.437096E+03,5.791218E+03,1.685157E-01,4.652818E-01,0.000000E+00,1.798557E+04,0.000000E+00,1.445021E+00
10:40:00,3.437107E+03,6.012378E+03,1.685163E-01,4.830605E-01,0.000000E+00,1.800679E+04,0.000000E+00,1.446740E+00
10:50:00,3.437118E+03,6.225846E+03,1.685168E-01,5.002245E-01,0.000000E+00,1.802670E+04,0.000000E+00,1.448364E+00
11:00:00,3.437129E+03,6.431343E+03,1.685173E-01,5.167483E-01,0.000000E+00,1.804535E+04,0.000000E+00,1.449886E+00
11:10:00,3.437140E+03,6.623180E+03,1.685179E-01,5.321747E-01,0.000000E+00,1.793755E+04,0.000000E+00,1.441248E+00
11:20:00,3.437150E+03,6.801205E+03,1.685184E-01,5.464915E-01,0.000000E+00,1.782836E+04,0.000000E+00,1.432498E+00
11:30:00,3.437161E+03,6.965413E+03,1.685189E-01,5.596983E-01,0.000000E+00,1.771766E+04,0.000000E+00,1.423628E+00
11:40:00,3.437172E+03,7.116347E+03,1.685194E-01,5.718403E-01,0.000000E+00,1.802895E+04,0.000000E+00,1.448677E+00
11:50:00,3.437182E+03,7.254076E+03,1.685199E-01,5.829272E-01,0.000000E+00,1.833840E+04,0.000000E+00,1.473595E+00
12:00:00,3.437192E+03,7.379177E+03,1.685204E-01,5.930000E-01,0.000000E+00,1.864613E+04,0.000000E+00,1.498367E+00
12:10:00,3.437203E+03,7.498065E+03,1.685209E-01,6.025738E-01,0.000000E+00,1.908302E+04,0.000000E+00,1.533519E+00
12:20:00,3.437212E+03,7.611999E+03,1.685214E-01,6.117499E-01,0.000000E+00,1.951839E+04,0.000000E+00,1.568547E+00
