Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,18548327.070930265,18548327.070930265 
 01/01  02:00:00,,,18946259.96588484,18946259.96588484 
 01/01  03:00:00,,,18608687.27958425,18608687.279584248 
 01/01  04:00:00,,,18735740.225810137,18735740.225810137 
 01/01  05:00:00,,,18627083.178045325,18627083.178045325 
 01/01  06:00:00,,,18849071.639879532,18849071.639879532 
 01/01  07:00:00,,,29276520.424113113,29276520.42411311 
 01/01  08:00:00,,,35295891.41521695,35295891.41521695 
 01/01  09:00:00,,,18020274.369451255,18020274.369451255 
 01/01  10:00:00,,,60733836.47748626,60733836.47748626 
 01/01  11:00:00,,,133305122.8202312,133305122.82023117 
 01/01  12:00:00,,,175489109.2096085,175489109.2096085 
 01/01  13:00:00,,,173628253.86121553,173628253.86121553 
 01/01  14:00:00,,,177092098.07245284,177092098.07245284 
 01/01  15:00:00,,,173203977.70743328,173203977.70743328 
 01/01  16:00:00,,,176896452.3195795,176896452.3195795 
 01/01  17:00:00,,,180053145.42054412,180053145.42054415 
 01/01  18:00:00,,,146558219.93403167,146558219.93403167 
 01/01  19:00:00,,,70230742.87260824,70230742.87260824 
 01/01  20:00:00,,,67462582.28239332,67462582.28239334 
 01/01  21:00:00,,,67384173.14679159,67384173.14679159 
 01/01  22:00:00,,,72437002.38262399,72437002.38262399 
 01/01  23:00:00,,,63276806.605875395,63276806.60587538 
 01/01  24:00:00,,,50162315.123520054,50162315.123520054 
 01/02  01:00:00,,,18584015.57274946,18584015.57274946 
 01/02  02:00:00,,,21159839.087422382,21159839.08742238 
 01/02  03:00:00,,,18801156.339077488,18801156.339077488 
 01/02  04:00:00,,,18728099.907157753,18728099.907157753 
 01/02  05:00:00,,,18825959.05672568,18825959.05672568 
 01/02  06:00:00,,,21282513.533905964,21282513.533905968 
 01/02  07:00:00,,,29629949.310675256,29629949.31067525 
 01/02  08:00:00,,,34549856.637855545,34549856.63785554 
 01/02  09:00:00,,,44883399.35874754,44883399.35874754 
 01/02  10:00:00,,,116730350.89225507,116730350.89225507 
 01/02  11:00:00,,,169503629.9483991,169503629.94839907 
 01/02  12:00:00,,,177826917.7150571,177826917.71505705 
 01/02  13:00:00,,,174993273.47153357,174993273.47153357 
 01/02  14:00:00,,,179705338.76632524,179705338.7663252 
 01/02  15:00:00,,,175992848.21675518,175992848.21675518 
 01/02  16:00:00,,,179754977.84915173,179754977.84915173 
 01/02  17:00:00,,,181399093.94543943,181399093.94543946 
 01/02  18:00:00,,,195746107.16904226,195746107.16904226 
 01/02  19:00:00,,,197327337.9610253,197327337.9610253 
 01/02  20:00:00,,,192484574.8845646,192484574.88456458 
 01/02  21:00:00,,,142935133.1302624,142935133.13026235 
 01/02  22:00:00,,,67897863.13895747,67897863.13895747 
 01/02  23:00:00,,,65134929.37534147,65134929.37534147 
 01/02  24:00:00,,,50070282.68931993,50070282.68931993 
 01/03  01:00:00,,,19115619.437104303,19115619.4371043 
 01/03  02:00:00,,,18964853.292909864,18964853.29290986 
 01/03  03:00:00,,,23966906.50192337,23966906.501923367 
 01/03  04:00:00,,,19092798.975710936,19092798.975710936 
 01/03  05:00:00,,,19328702.097099885,19328702.097099885 
 01/03  06:00:00,,,19415101.072703414,19415101.072703414 
 01/03  07:00:00,,,33884477.623111784,33884477.623111784 
 01/03  08:00:00,,,31199889.503501013,31199889.503501017 
 01/03  09:00:00,,,45255513.23646436,45255513.23646435 
 01/03  10:00:00,,,117844729.05439343,117844729.05439341 
 01/03  11:00:00,,,174471432.55967626,174471432.55967626 
 01/03  12:00:00,,,175214195.3916117,175214195.39161167 
 01/03  13:00:00,,,179483099.4307287,179483099.4307287 
 01/03  14:00:00,,,181779519.9330466,181779519.9330466 
 01/03  15:00:00,,,181103154.97416303,181103154.97416303 
 01/03  16:00:00,,,176739078.77839398,176739078.77839395 
 01/03  17:00:00,,,186488106.69644064,186488106.6964406 
 01/03  18:00:00,,,200863868.49816084,200863868.49816084 
 01/03  19:00:00,,,194076199.11456156,194076199.11456156 
 01/03  20:00:00,,,196790498.53639615,196790498.53639618 
 01/03  21:00:00,,,141973432.52466035,141973432.52466035 
 01/03  22:00:00,,,68075525.60286632,68075525.60286632 
 01/03  23:00:00,,,72971771.23598854,72971771.23598853 
 01/03  24:00:00,,,47027282.92699987,47027282.92699987 
 01/04  01:00:00,,,19575798.508080576,19575798.508080576 
 01/04  02:00:00,,,19211341.071421552,19211341.071421552 
 01/04  03:00:00,,,19497210.962629315,19497210.96262931 
 01/04  04:00:00,,,20593947.145991776,20593947.145991776 
 01/04  05:00:00,,,20922348.184314173,20922348.18431417 
 01/04  06:00:00,,,23336613.079816543,23336613.079816543 
 01/04  07:00:00,,,33249862.87787806,33249862.87787806 
 01/04  08:00:00,,,32093746.46726003,32093746.46726002 
 01/04  09:00:00,,,43822560.71186966,43822560.71186965 
 01/04  10:00:00,,,119031195.84686045,119031195.84686047 
 01/04  11:00:00,,,177262018.8222567,177262018.8222567 
 01/04  12:00:00,,,172505180.58995846,172505180.58995843 
 01/04  13:00:00,,,179261795.5545822,179261795.55458218 
 01/04  14:00:00,,,181236043.17922696,181236043.17922693 
 01/04  15:00:00,,,181376174.65473732,181376174.65473726 
 01/04  16:00:00,,,175290244.16408724,175290244.16408724 
 01/04  17:00:00,,,186230821.32676446,186230821.32676446 
 01/04  18:00:00,,,201930530.55959317,201930530.55959317 
 01/04  19:00:00,,,192545915.96988025,192545915.96988025 
 01/04  20:00:00,,,196627354.87820584,196627354.8782058 
 01/04  21:00:00,,,144356218.33747256,144356218.33747253 
 01/04  22:00:00,,,71937739.75668523,71937739.75668523 
 01/04  23:00:00,,,66798162.49004226,66798162.49004227 
 01/04  24:00:00,,,46935619.48652598,46935619.486525975 
 01/05  01:00:00,,,19467778.12960453,19467778.129604526 
 01/05  02:00:00,,,19146307.227950778,19146307.227950778 
 01/05  03:00:00,,,21898486.10167098,21898486.10167098 
 01/05  04:00:00,,,19401278.63016571,19401278.63016571 
 01/05  05:00:00,,,24647671.64840854,24647671.648408543 
 01/05  06:00:00,,,20656566.090473786,20656566.090473786 
 01/05  07:00:00,,,30389617.449992314,30389617.449992314 
 01/05  08:00:00,,,31257530.706310328,31257530.706310324 
 01/05  09:00:00,,,45617660.273709625,45617660.27370963 
 01/05  10:00:00,,,115444271.7377629,115444271.73776293 
 01/05  11:00:00,,,176530810.79769418,176530810.79769415 
 01/05  12:00:00,,,171779859.62706903,171779859.62706903 
 01/05  13:00:00,,,180396988.71968764,180396988.7196876 
 01/05  14:00:00,,,179878851.84124422,179878851.84124422 
 01/05  15:00:00,,,177606380.87855008,177606380.87855005 
 01/05  16:00:00,,,177898060.4351974,177898060.4351974 
 01/05  17:00:00,,,183916626.9862737,183916626.9862737 
 01/05  18:00:00,,,198695726.92361104,198695726.92361104 
 01/05  19:00:00,,,192601758.78669068,192601758.78669068 
 01/05  20:00:00,,,198649930.7178352,198649930.71783516 
 01/05  21:00:00,,,144136845.0206466,144136845.0206466 
 01/05  22:00:00,,,68827303.53471066,68827303.53471068 
 01/05  23:00:00,,,65875812.751870796,65875812.75187078 
 01/05  24:00:00,,,49529308.896220505,49529308.896220505 
 01/06  01:00:00,,,26748036.528061673,26748036.52806167 
 01/06  02:00:00,,,19271837.44425897,19271837.44425897 
 01/06  03:00:00,,,18981208.084985226,18981208.084985223 
 01/06  04:00:00,,,22973048.71120612,22973048.711206116 
 01/06  05:00:00,,,20754444.480818845,20754444.480818845 
 01/06  06:00:00,,,20780043.828421555,20780043.82842155 
 01/06  07:00:00,,,32651332.18421413,32651332.18421413 
 01/06  08:00:00,,,31430806.342923198,31430806.342923198 
 01/06  09:00:00,,,42527724.48459191,42527724.4845919 
 01/06  10:00:00,,,116864452.59210308,116864452.59210308 
 01/06  11:00:00,,,175751465.88346878,175751465.88346878 
 01/06  12:00:00,,,174438443.25666505,174438443.256665 
 01/06  13:00:00,,,175466807.53382432,175466807.53382427 
 01/06  14:00:00,,,179784630.56463215,179784630.56463212 
 01/06  15:00:00,,,179722713.01234162,179722713.01234162 
 01/06  16:00:00,,,177068944.92742386,177068944.92742383 
 01/06  17:00:00,,,180547467.81002256,180547467.81002256 
 01/06  18:00:00,,,200347620.76788202,200347620.767882 
 01/06  19:00:00,,,195241011.76106837,195241011.76106837 
 01/06  20:00:00,,,191592801.06248835,191592801.06248835 
 01/06  21:00:00,,,145454308.28006786,145454308.28006783 
 01/06  22:00:00,,,68390088.71846525,68390088.71846525 
 01/06  23:00:00,,,63161848.117250144,63161848.117250144 
 01/06  24:00:00,,,52236038.07653961,52236038.07653959 
 01/07  01:00:00,,,39925536.622453734,39925536.62245373 
 01/07  02:00:00,,,18730670.052607726,18730670.052607726 
 01/07  03:00:00,,,25216957.611387134,25216957.611387134 
 01/07  04:00:00,,,19037782.99516754,19037782.99516754 
 01/07  05:00:00,,,20557416.039192256,20557416.039192252 
 01/07  06:00:00,,,20368379.451097727,20368379.451097727 
 01/07  07:00:00,,,30265809.66466976,30265809.66466976 
 01/07  08:00:00,,,30987457.133534484,30987457.133534484 
 01/07  09:00:00,,,43453047.40190386,43453047.40190385 
 01/07  10:00:00,,,114874431.76198691,114874431.76198688 
 01/07  11:00:00,,,171487894.80820864,171487894.80820864 
 01/07  12:00:00,,,174920818.7171911,174920818.71719107 
 01/07  13:00:00,,,179207770.61916584,179207770.61916578 
