Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,8622673099.912466,638026531.670636,2944210023.0342035,371683046.88001364,3831202487.15809,226202186.84891552,3967949131.7313404,215403952.05456096,4073870047.57922,194566948.50292242,7286215535.069139,441713362.9085617,3862553375.6466894,230697410.30506104,3895819001.446944,226206698.74010295,4270832123.4606037,175199434.42483044,8058237298.634341,16046644.834883379,73615196633.0667,165506447741.5763 
February,8636653605.271193,486347115.9850468,2973353295.2724805,278375684.51985025,3769593297.3822684,161055641.25436187,3905047843.3823247,155086570.42120728,3979817065.447643,136070660.5868493,7095310280.530915,314661804.37526625,3805020019.481317,167664022.1448632,3831404659.575355,161390020.37572438,4155161496.6974974,119966850.12709983,7823035252.952558,1827094.344693603,66265967477.51378,163916063886.37677 
March,5133396661.349596,2388760255.2648444,1508844004.9635022,1120720375.5143096,1986622302.143452,911917870.8852826,2097936799.5728226,876382079.4722066,2204203346.5409822,846265486.0150061,3887231342.0332255,1872913724.2990606,2074782634.0422103,939923947.7021966,2114864353.6440926,918972543.2596768,2366995892.6447344,828551920.3464572,5250157438.15071,461999024.0422486,71987934338.92776,101997259864.71458 
April,1778202112.6426642,4051955965.861734,286145344.86869085,1974261993.9030285,505395181.32170445,1565923910.663644,607941584.0942665,1507620901.3022256,640301737.0414985,1456502252.3974867,1175938498.8081722,3189496350.778818,605674507.1871257,1581386637.866847,637070570.4696314,1544524886.6104703,794097702.9929782,1410154903.4736028,2383005657.434978,942972845.0157949,67069418555.279396,41145560683.70562 
May,167719846.39114633,7382309843.308774,31082456.974544782,3862448276.538095,34729026.568916194,3055139296.843987,43446159.28285186,2968580105.6278467,50676077.19887323,2901032984.9807787,91468526.95997404,5870252659.703515,46999042.645018555,2979221264.7281857,52637228.3906215,2894579590.998423,82437109.11390339,2650195393.6183357,428005278.517132,2158972346.816515,72967253396.95357,3363311185.421509 
June,29879250.588862296,10669484403.766298,9182338.205798425,5780721041.050468,9973794.289494796,4600571019.470501,11478024.940621901,4513605474.311031,12851716.002817765,4442026361.050416,24809052.722188316,8929909891.878645,13839531.511019118,4600938186.964477,14383859.152183445,4537112445.28456,17726887.354843855,4290839509.079325,24972337.3477582,3875764096.5871463,81993610552.80095,0.0 
July,11346787.820985898,14062217188.932238,5371074.328108528,7283840933.183873,4134182.321473402,5858576364.549354,4511233.950138798,5768576701.970087,5211327.47176736,5701451101.058298,9311937.079498746,11349943891.413548,5375286.616426097,5864952840.098834,5140624.2586871255,5811576430.939408,6660253.066937323,5647426679.3884325,11847834.111468788,5528334066.574022,96310681727.77092,0.0 
August,10506984.602568533,13164129471.791971,7381538.828949174,6891981224.577204,4376675.706479268,5583846307.012555,4617133.5280002905,5522673054.395779,5132931.441965828,5442535593.696154,11156800.966740575,10868607989.252771,6049668.869520119,5617662143.405285,6193146.790853601,5566585305.748373,8324200.726403831,5401766956.519827,17214092.297999643,5269013211.712113,92151157522.75107,0.0 
September,34782219.51600676,10063494786.193464,14185416.13659696,5211155208.254556,13330732.31770862,4085075727.8608875,14450068.254665792,4009236350.663222,16077397.36558068,3951316077.683304,32646339.341871057,7872578436.193767,17970355.327184897,4043777642.290168,18283061.589431025,3980633673.349582,20844015.57829412,3810251086.6713595,51060784.71175124,3546998795.1047063,77873995771.87782,110124309.97375996 
October,386343509.92392945,7080954158.892425,49242884.700778775,3364280935.9886303,101331761.37008902,2750389302.620136,130252239.89269756,2659230892.698237,148220919.72609732,2592908087.027615,283918096.6399674,5286226419.245438,146667356.9772112,2672284597.5156713,151034132.43405223,2621150295.125511,199775465.53697154,2460741631.6132894,737455564.4355732,2071706896.9155555,72228127923.89421,13206292460.719896 
