Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Heat Cap [W],PSZ-AC_3:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Heat Cap [W],PSZ-AC_3:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Heat Cap [W],PSZ-AC_4:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Heat Cap [W],PSZ-AC_4:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Heat Cap [W],PSZ-AC_5:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Heat Cap [W],PSZ-AC_5:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Heat Cap [W],PSZ-AC_6:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Heat Cap [W],PSZ-AC_6:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Heat Cap [W],PSZ-AC_7:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Heat Cap [W],PSZ-AC_7:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Heat Cap [W],PSZ-AC_8:8:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Heat Cap [W],PSZ-AC_8:8:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Heat Cap [W],PSZ-AC_9:9:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Heat Cap [W],PSZ-AC_9:9:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Heat Cap [W],PSZ-AC_10:10:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Heat Cap [W],PSZ-AC_10:10:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.346126E-01,3.210166E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.454340E+03,1.178585E+00,1.249671E+04,2.103770E+04,2.708318E-01,1.421940E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,6.083142E-01,6.460370E+03,1.067874E+04,2.646468E-01,1.410199E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,6.027971E-01,6.398901E+03,1.060918E+04,2.642735E-01,1.409491E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,6.027326E-01,6.398183E+03,1.060837E+04,2.685132E-01,1.417539E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,6.031168E-01,6.402465E+03,1.061321E+04,5.281123E-01,2.818156E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.454340E+03,1.188962E+00,1.261243E+04,2.100746E+04,2.656434E-01,1.412091E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,6.077353E-01,6.453920E+03,1.067166E+04,2.649416E-01,1.410759E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,6.027076E-01,6.397904E+03,1.060805E+04,2.762150E-01,1.432159E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,5.970140E-01,6.334471E+03,1.053564E+04,4.674619E-01,1.795225E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.227170E+03,5.663311E-01,5.992510E+03,1.029837E+04
00:20:00,7.345594E-01,3.210065E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.499478E+03,1.172591E+00,1.238478E+04,2.091492E+04,2.708031E-01,1.421886E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,6.063362E-01,6.415763E+03,1.063078E+04,2.646180E-01,1.410144E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,6.008932E-01,6.355120E+03,1.056210E+04,2.642445E-01,1.409436E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,6.008324E-01,6.354442E+03,1.056134E+04,2.684834E-01,1.417482E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,6.012066E-01,6.358612E+03,1.056606E+04,5.280484E-01,2.818035E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.499478E+03,1.185176E+00,1.252512E+04,2.091343E+04,2.656137E-01,1.412035E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,6.058248E-01,6.410065E+03,1.062454E+04,2.649129E-01,1.410704E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,6.008035E-01,6.354120E+03,1.056096E+04,2.761878E-01,1.432107E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,5.950453E-01,6.289967E+03,1.048769E+04,4.674412E-01,1.795185E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.249739E+03,5.631354E-01,5.934338E+03,1.023343E+04
00:30:00,7.345069E-01,3.209966E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.544616E+03,1.166785E+00,1.227496E+04,2.079442E+04,2.707749E-01,1.421832E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,6.044029E-01,6.371654E+03,1.058335E+04,2.645896E-01,1.410091E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,5.990313E-01,6.311806E+03,1.051553E+04,2.642160E-01,1.409382E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,5.989739E-01,6.311167E+03,1.051481E+04,2.684542E-01,1.417427E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,5.993381E-01,6.315226E+03,1.051940E+04,5.279854E-01,2.817915E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.544616E+03,1.181471E+00,1.243870E+04,2.082037E+04,2.655844E-01,1.411979E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,6.039562E-01,6.366677E+03,1.057791E+04,2.648847E-01,1.410651E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,5.989412E-01,6.310802E+03,1.051438E+04,2.761610E-01,1.432056E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,5.931194E-01,6.245941E+03,1.044026E+04,4.674207E-01,1.795146E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.272308E+03,5.600165E-01,5.877021E+03,1.016942E+04
00:40:00,7.344551E-01,3.209867E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.589753E+03,1.161159E+00,1.216715E+04,2.067612E+04,2.707471E-01,1.421779E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,6.025131E-01,6.328030E+03,1.053644E+04,2.645617E-01,1.410038E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,5.972102E-01,6.268948E+03,1.046944E+04,2.641880E-01,1.409328E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,5.971563E-01,6.268347E+03,1.046877E+04,2.684254E-01,1.417372E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,5.975106E-01,6.272296E+03,1.047324E+04,5.279232E-01,2.817797E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.589753E+03,1.177844E+00,1.235316E+04,2.072825E+04,2.655556E-01,1.411924E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,6.021285E-01,6.323744E+03,1.053178E+04,2.648569E-01,1.410598E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,5.971197E-01,6.267939E+03,1.046829E+04,2.761346E-01,1.432006E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,5.912355E-01,6.202382E+03,1.039334E+04,4.674005E-01,1.795108E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.294877E+03,5.569725E-01,5.820538E+03,1.010632E+04
00:50:00,7.344039E-01,3.209770E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.634891E+03,1.155705E+00,1.206125E+04,2.055994E+04,2.707198E-01,1.421727E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,6.006659E-01,6.284880E+03,1.049006E+04,2.645342E-01,1.409985E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,5.954294E-01,6.226539E+03,1.042386E+04,2.641603E-01,1.409276E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,5.953788E-01,6.225974E+03,1.042323E+04,2.683970E-01,1.417318E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,5.957234E-01,6.229814E+03,1.042757E+04,5.278619E-01,2.817681E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.634891E+03,1.174296E+00,1.226848E+04,2.063710E+04,2.655272E-01,1.411870E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,6.003410E-01,6.281260E+03,1.048615E+04,2.648294E-01,1.410546E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,5.953384E-01,6.225524E+03,1.042270E+04,2.761087E-01,1.431957E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,5.893928E-01,6.159283E+03,1.034692E+04,4.673806E-01,1.795070E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.317446E+03,5.540017E-01,5.764872E+03,1.004414E+04
01:00:00,7.343533E-01,3.209674E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.680029E+03,1.150414E+00,1.195716E+04,2.044576E+04,2.706928E-01,1.421676E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.988601E-01,6.242192E+03,1.044419E+04,2.645071E-01,1.409934E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.936878E-01,6.184565E+03,1.037875E+04,2.641331E-01,1.409224E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.936404E-01,6.184037E+03,1.037816E+04,2.683689E-01,1.417265E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.939752E-01,6.187768E+03,1.038238E+04,5.278013E-01,2.817566E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.680029E+03,1.170823E+00,1.218465E+04,2.054688E+04,2.654992E-01,1.411817E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.985926E-01,6.239211E+03,1.044099E+04,2.648024E-01,1.410495E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.935962E-01,6.183544E+03,1.037759E+04,2.760831E-01,1.431908E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.875902E-01,6.116631E+03,1.030099E+04,4.673609E-01,1.795033E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.340014E+03,5.511020E-01,5.709997E+03,9.982837E+03
01:10:00,7.343532E-01,3.209674E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.710121E+03,1.145318E+00,1.187028E+04,2.034953E+04,2.706920E-01,1.421675E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.971104E-01,6.207652E+03,1.040675E+04,2.645062E-01,1.409932E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.919999E-01,6.150713E+03,1.034206E+04,2.641322E-01,1.409222E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.919556E-01,6.150220E+03,1.034150E+04,2.683682E-01,1.417263E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.922811E-01,6.153847E+03,1.034561E+04,5.278009E-01,2.817565E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.710121E+03,1.167459E+00,1.211708E+04,2.047351E+04,2.654984E-01,1.411816E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.968983E-01,6.205288E+03,1.040425E+04,2.648016E-01,1.410493E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.919077E-01,6.149686E+03,1.034088E+04,2.760822E-01,1.431907E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.858421E-01,6.082108E+03,1.026349E+04,4.673602E-01,1.795032E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.355060E+03,5.482931E-01,5.663657E+03,9.930457E+03
01:20:00,7.343531E-01,3.209674E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.740212E+03,1.140391E+00,1.178531E+04,2.025542E+04,2.706913E-01,1.421673E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.954078E-01,6.173637E+03,1.036990E+04,2.645055E-01,1.409931E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.903571E-01,6.117364E+03,1.030592E+04,2.641315E-01,1.409221E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.903159E-01,6.116905E+03,1.030541E+04,2.683676E-01,1.417262E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.906321E-01,6.120428E+03,1.030940E+04,5.278006E-01,2.817564E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.740212E+03,1.164182E+00,1.205049E+04,2.040123E+04,2.654978E-01,1.411815E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.952491E-01,6.171867E+03,1.036807E+04,2.648008E-01,1.410492E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.902642E-01,6.116329E+03,1.030474E+04,2.760815E-01,1.431905E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.841399E-01,6.048098E+03,1.022655E+04,4.673596E-01,1.795030E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.370106E+03,5.455671E-01,5.618240E+03,9.879123E+03
01:30:00,7.343532E-01,3.209674E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.770304E+03,1.135630E+00,1.170216E+04,2.016334E+04,2.706908E-01,1.421672E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.937520E-01,6.140142E+03,1.033362E+04,2.645049E-01,1.409930E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.887591E-01,6.084514E+03,1.027033E+04,2.641309E-01,1.409220E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.887209E-01,6.084088E+03,1.026986E+04,2.683670E-01,1.417261E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.890279E-01,6.087510E+03,1.027374E+04,5.278006E-01,2.817564E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.770304E+03,1.160994E+00,1.198487E+04,2.033003E+04,2.654973E-01,1.411814E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.936447E-01,6.138946E+03,1.033244E+04,2.648002E-01,1.410490E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.886655E-01,6.083470E+03,1.026914E+04,2.760808E-01,1.431904E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.824836E-01,6.014597E+03,1.019018E+04,4.673590E-01,1.795029E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.385152E+03,5.429227E-01,5.573732E+03,9.828802E+03
01:40:00,7.343535E-01,3.209674E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.800396E+03,1.131028E+00,1.162081E+04,2.007325E+04,2.706903E-01,1.421671E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.921427E-01,6.107166E+03,1.029791E+04,2.645044E-01,1.409929E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.872059E-01,6.052163E+03,1.023530E+04,2.641305E-01,1.409219E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.871706E-01,6.051769E+03,1.023486E+04,2.683666E-01,1.417260E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.874685E-01,6.055089E+03,1.023862E+04,5.278007E-01,2.817564E+04,4.830049E-01,0.000000E+00,0.000000E+00,4.830049E-01,8.800396E+03,1.157894E+00,1.192024E+04,2.025991E+04,2.654969E-01,1.411813E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.920851E-01,6.106524E+03,1.029735E+04,2.647997E-01,1.410489E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.871114E-01,6.051110E+03,1.023409E+04,2.760803E-01,1.431903E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.808728E-01,5.981605E+03,1.015436E+04,4.673585E-01,1.795028E+04,2.415025E-01,0.000000E+00,0.000000E+00,2.415025E-01,4.400198E+03,5.403590E-01,5.530124E+03,9.779496E+03
