Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.179298E+04,1.111408E+04,6.121771E-01,9.821543E-01,4.347605E+03,5.736546E+03,2.256931E-01,5.069285E-01,4.248320E+03,5.684516E+03,2.205390E-01,5.023309E-01,4.242327E+03,5.683909E+03,2.202279E-01,5.022772E-01,4.310386E+03,5.687533E+03,2.237610E-01,5.025974E-01,8.477689E+03,1.121210E+04,4.400936E-01,9.908014E-01,4.264318E+03,5.731086E+03,2.213695E-01,5.064461E-01,4.253053E+03,5.683673E+03,2.207847E-01,5.022563E-01,4.434021E+03,5.629982E+03,2.301792E-01,4.975117E-01,7.504530E+03,5.340468E+03,3.895516E-01,4.719426E-01
00:20:00,1.179212E+04,1.105754E+04,6.121328E-01,9.771588E-01,4.347143E+03,5.717892E+03,2.256692E-01,5.052802E-01,4.247855E+03,5.666562E+03,2.205150E-01,5.007443E-01,4.241861E+03,5.665988E+03,2.202038E-01,5.006936E-01,4.309907E+03,5.669518E+03,2.237362E-01,5.010055E-01,8.476660E+03,1.117640E+04,4.400403E-01,9.876468E-01,4.263839E+03,5.713069E+03,2.213447E-01,5.048540E-01,4.252590E+03,5.665716E+03,2.207608E-01,5.006696E-01,4.433582E+03,5.611415E+03,2.301565E-01,4.958711E-01,7.504196E+03,5.310332E+03,3.895343E-01,4.692795E-01
00:30:00,1.179128E+04,1.100279E+04,6.120891E-01,9.723208E-01,4.346689E+03,5.699660E+03,2.256457E-01,5.036691E-01,4.247399E+03,5.649002E+03,2.204913E-01,4.991927E-01,4.241402E+03,5.648462E+03,2.201800E-01,4.991449E-01,4.309436E+03,5.651898E+03,2.237118E-01,4.994485E-01,8.475646E+03,1.114146E+04,4.399878E-01,9.845590E-01,4.263368E+03,5.695447E+03,2.213203E-01,5.032968E-01,4.252135E+03,5.648153E+03,2.207372E-01,4.991176E-01,4.433151E+03,5.593253E+03,2.301342E-01,4.942662E-01,7.503867E+03,5.280920E+03,3.895172E-01,4.666804E-01
00:40:00,1.179044E+04,1.094974E+04,6.120459E-01,9.676327E-01,4.346242E+03,5.681837E+03,2.256226E-01,5.020942E-01,4.246950E+03,5.631829E+03,2.204681E-01,4.976752E-01,4.240951E+03,5.631320E+03,2.201567E-01,4.976302E-01,4.308972E+03,5.634663E+03,2.236878E-01,4.979255E-01,8.474647E+03,1.110725E+04,4.399360E-01,9.815368E-01,4.262905E+03,5.678210E+03,2.212963E-01,5.017737E-01,4.251688E+03,5.630975E+03,2.207140E-01,4.975997E-01,4.432727E+03,5.575487E+03,2.301122E-01,4.926962E-01,7.503543E+03,5.252214E+03,3.895004E-01,4.641437E-01
00:50:00,1.178962E+04,1.089831E+04,6.120032E-01,9.630879E-01,4.345802E+03,5.664417E+03,2.255998E-01,5.005549E-01,4.246507E+03,5.615035E+03,2.204452E-01,4.961912E-01,4.240506E+03,5.614558E+03,2.201336E-01,4.961490E-01,4.308515E+03,5.617808E+03,2.236641E-01,4.964361E-01,8.473660E+03,1.107379E+04,4.398849E-01,9.785797E-01,4.262448E+03,5.661353E+03,2.212727E-01,5.002842E-01,4.251247E+03,5.614177E+03,2.206912E-01,4.961154E-01,4.432309E+03,5.558109E+03,2.300906E-01,4.911607E-01,7.503223E+03,5.224200E+03,3.894838E-01,4.616681E-01
01:00:00,1.178881E+04,1.084841E+04,6.119611E-01,9.586784E-01,4.345368E+03,5.647388E+03,2.255773E-01,4.990501E-01,4.246071E+03,5.598610E+03,2.204225E-01,4.947398E-01,4.240068E+03,5.598163E+03,2.201109E-01,4.947003E-01,4.308064E+03,5.601322E+03,2.236408E-01,4.949793E-01,8.472686E+03,1.104104E+04,4.398344E-01,9.756858E-01,4.261997E+03,5.644865E+03,2.212493E-01,4.988272E-01,4.250812E+03,5.597746E+03,2.206687E-01,4.946635E-01,4.431898E+03,5.541109E+03,2.300693E-01,4.896585E-01,7.502907E+03,5.196854E+03,3.894674E-01,4.592516E-01
01:10:00,1.178881E+04,1.080035E+04,6.119610E-01,9.544313E-01,4.345355E+03,5.630887E+03,2.255767E-01,4.975920E-01,4.246056E+03,5.582692E+03,2.204218E-01,4.933332E-01,4.240053E+03,5.582275E+03,2.201102E-01,4.932964E-01,4.308052E+03,5.585345E+03,2.236401E-01,4.935676E-01,8.472677E+03,1.100931E+04,4.398340E-01,9.728821E-01,4.261984E+03,5.628886E+03,2.212487E-01,4.974152E-01,4.250798E+03,5.581823E+03,2.206680E-01,4.932564E-01,4.431883E+03,5.524624E+03,2.300685E-01,4.882017E-01,7.502895E+03,5.170367E+03,3.894669E-01,4.569110E-01
01:20:00,1.178880E+04,1.075389E+04,6.119610E-01,9.503260E-01,4.345343E+03,5.614831E+03,2.255761E-01,4.961732E-01,4.246044E+03,5.567200E+03,2.204212E-01,4.919642E-01,4.240041E+03,5.566811E+03,2.201096E-01,4.919299E-01,4.308041E+03,5.569794E+03,2.236396E-01,4.921934E-01,8.472671E+03,1.097842E+04,4.398338E-01,9.701521E-01,4.261973E+03,5.613333E+03,2.212482E-01,4.960409E-01,4.250785E+03,5.566323E+03,2.206674E-01,4.918868E-01,4.431870E+03,5.508571E+03,2.300679E-01,4.867833E-01,7.502885E+03,5.144659E+03,3.894663E-01,4.546392E-01
01:30:00,1.178881E+04,1.070899E+04,6.119610E-01,9.463581E-01,4.345334E+03,5.599215E+03,2.255756E-01,4.947933E-01,4.246034E+03,5.552130E+03,2.204207E-01,4.906326E-01,4.240031E+03,5.551769E+03,2.201091E-01,4.906008E-01,4.308032E+03,5.554666E+03,2.236392E-01,4.908566E-01,8.472669E+03,1.094835E+04,4.398338E-01,9.674953E-01,4.261964E+03,5.598203E+03,2.212477E-01,4.947039E-01,4.250775E+03,5.551246E+03,2.206669E-01,4.905545E-01,4.431859E+03,5.492951E+03,2.300674E-01,4.854030E-01,7.502876E+03,5.119722E+03,3.894658E-01,4.524355E-01
01:40:00,1.178881E+04,1.066559E+04,6.119612E-01,9.425236E-01,4.345327E+03,5.584038E+03,2.255753E-01,4.934522E-01,4.246026E+03,5.537482E+03,2.204203E-01,4.893383E-01,4.240023E+03,5.537149E+03,2.201087E-01,4.893088E-01,4.308025E+03,5.539960E+03,2.236389E-01,4.895571E-01,8.472671E+03,1.091911E+04,4.398339E-01,9.649116E-01,4.261957E+03,5.583494E+03,2.212474E-01,4.934042E-01,4.250767E+03,5.536591E+03,2.206665E-01,4.892595E-01,4.431851E+03,5.477760E+03,2.300669E-01,4.840607E-01,7.502867E+03,5.095546E+03,3.894654E-01,4.502991E-01
