Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,106928365.54809335 
 01/01  02:00:00,,,5325035.6500713,106928365.54809335 
 01/01  03:00:00,,,5325035.6500713,106928365.54809335 
 01/01  04:00:00,,,5325035.6500713,106928365.54809335 
 01/01  05:00:00,,,5325035.6500713,106928365.54809335 
 01/01  06:00:00,,,5325035.6500713,106928365.54809335 
 01/01  07:00:00,,,5325035.6500713,106928365.54809335 
 01/01  08:00:00,,,5325035.6500713,106928365.54809335 
 01/01  09:00:00,,,5325035.6500713,106928365.54809335 
 01/01  10:00:00,,,5325035.6500713,106928365.54809335 
 01/01  11:00:00,,,5325035.6500713,106928365.54809335 
 01/01  12:00:00,,,5325035.6500713,106928365.54809335 
 01/01  13:00:00,,,5325035.6500713,106928365.54809335 
 01/01  14:00:00,,,5325035.6500713,106928365.54809335 
 01/01  15:00:00,,,5325035.6500713,106928365.54809335 
 01/01  16:00:00,,,5325035.6500713,106928365.54809335 
 01/01  17:00:00,,,5325035.6500713,106928365.54809335 
 01/01  18:00:00,,,5325035.6500713,106928365.54809335 
 01/01  19:00:00,,,5325035.6500713,106928365.54809335 
 01/01  20:00:00,,,5325035.6500713,106928365.54809335 
 01/01  21:00:00,,,5325035.6500713,106928365.54809335 
 01/01  22:00:00,,,5325035.6500713,106928365.54809335 
 01/01  23:00:00,,,5325035.6500713,106928365.54809335 
 01/01  24:00:00,,,5325035.6500713,106928365.54809335 
 01/02  01:00:00,,,5325035.6500713,106928365.54809335 
 01/02  02:00:00,,,5325035.6500713,106928365.54809335 
 01/02  03:00:00,,,5325035.6500713,106928365.54809335 
 01/02  04:00:00,,,5325035.6500713,106928365.54809335 
 01/02  05:00:00,,,5325035.6500713,106928365.54809335 
 01/02  06:00:00,,,5325035.6500713,106928365.54809335 
 01/02  07:00:00,,,5325035.6500713,106928365.54809335 
 01/02  08:00:00,,,5325035.6500713,106928365.54809335 
 01/02  09:00:00,,,82260667.11261642,304372336.9714377 
 01/02  10:00:00,,,85458799.44867432,304372336.9714377 
 01/02  11:00:00,,,79979537.04455328,306799878.17143774 
 01/02  12:00:00,,,78142918.373631,306799878.17143774 
 01/02  13:00:00,,,78883207.70825058,306799878.17143774 
 01/02  14:00:00,,,79808796.07687032,304372336.9714377 
 01/02  15:00:00,,,83014618.95806493,304372336.9714377 
 01/02  16:00:00,,,96465570.90840286,303158566.3714377 
 01/02  17:00:00,,,117221123.94201517,303158566.3714377 
 01/02  18:00:00,,,125502026.01076798,123888807.31579283 
 01/02  19:00:00,,,125502026.01076798,123888807.31579283 
 01/02  20:00:00,,,125502026.01076798,123888807.31579283 
 01/02  21:00:00,,,119280786.91764382,123888807.31579283 
 01/02  22:00:00,,,8345760.077655913,106928365.54809335 
 01/02  23:00:00,,,5325035.6500713,106928365.54809335 
 01/02  24:00:00,,,5325035.6500713,106928365.54809335 
 01/03  01:00:00,,,5325035.6500713,106928365.54809335 
 01/03  02:00:00,,,5325035.6500713,106928365.54809335 
 01/03  03:00:00,,,5325035.6500713,106928365.54809335 
 01/03  04:00:00,,,5325035.6500713,106928365.54809335 
 01/03  05:00:00,,,5325035.6500713,106928365.54809335 
 01/03  06:00:00,,,5325035.6500713,106928365.54809335 
 01/03  07:00:00,,,5325035.6500713,106928365.54809335 
 01/03  08:00:00,,,5325035.6500713,106928365.54809335 
 01/03  09:00:00,,,81912872.1228079,304372336.9714377 
 01/03  10:00:00,,,84301553.1650526,304372336.9714377 
 01/03  11:00:00,,,79625058.58670935,306799878.17143774 
 01/03  12:00:00,,,77296119.15589345,306799878.17143774 
 01/03  13:00:00,,,77361590.0865128,306799878.17143774 
 01/03  14:00:00,,,79142624.61681926,304372336.9714377 
 01/03  15:00:00,,,82212613.66707206,304372336.9714377 
 01/03  16:00:00,,,100834145.35645382,303158566.3714377 
 01/03  17:00:00,,,117436424.4659286,303158566.3714377 
 01/03  18:00:00,,,125502026.01076798,123888807.31579283 
 01/03  19:00:00,,,125502026.01076798,123888807.31579283 
 01/03  20:00:00,,,125502026.01076798,123888807.31579283 
 01/03  21:00:00,,,119280786.91764382,123888807.31579283 
 01/03  22:00:00,,,8345760.077655913,106928365.54809335 
 01/03  23:00:00,,,5325035.6500713,106928365.54809335 
 01/03  24:00:00,,,5325035.6500713,106928365.54809335 
 01/04  01:00:00,,,5325035.6500713,106928365.54809335 
 01/04  02:00:00,,,5325035.6500713,106928365.54809335 
 01/04  03:00:00,,,5325035.6500713,106928365.54809335 
 01/04  04:00:00,,,5325035.6500713,106928365.54809335 
 01/04  05:00:00,,,5325035.6500713,106928365.54809335 
 01/04  06:00:00,,,5325035.6500713,106928365.54809335 
 01/04  07:00:00,,,5325035.6500713,106928365.54809335 
 01/04  08:00:00,,,5325035.6500713,106928365.54809335 
 01/04  09:00:00,,,71912675.25171633,304372336.9714377 
 01/04  10:00:00,,,82116512.28716587,304372336.9714377 
 01/04  11:00:00,,,80502204.81658965,306799878.17143774 
 01/04  12:00:00,,,78026025.43633184,306799878.17143774 
 01/04  13:00:00,,,78030686.92872475,306799878.17143774 
 01/04  14:00:00,,,78784698.89054298,304372336.9714377 
 01/04  15:00:00,,,80696437.88559517,304372336.9714377 
 01/04  16:00:00,,,88766294.96465962,303158566.3714377 
 01/04  17:00:00,,,115294969.28780554,303158566.3714377 
 01/04  18:00:00,,,125502026.01076798,123888807.31579283 
 01/04  19:00:00,,,125502026.01076798,123888807.31579283 
 01/04  20:00:00,,,125502026.01076798,123888807.31579283 
 01/04  21:00:00,,,119280786.91764382,123888807.31579283 
 01/04  22:00:00,,,8345760.077655913,106928365.54809335 
 01/04  23:00:00,,,5325035.6500713,106928365.54809335 
 01/04  24:00:00,,,5325035.6500713,106928365.54809335 
 01/05  01:00:00,,,5325035.6500713,106928365.54809335 
 01/05  02:00:00,,,5325035.6500713,106928365.54809335 
 01/05  03:00:00,,,5325035.6500713,106928365.54809335 
 01/05  04:00:00,,,5325035.6500713,106928365.54809335 
 01/05  05:00:00,,,5325035.6500713,106928365.54809335 
 01/05  06:00:00,,,5325035.6500713,106928365.54809335 
 01/05  07:00:00,,,5325035.6500713,106928365.54809335 
 01/05  08:00:00,,,5325035.6500713,106928365.54809335 
 01/05  09:00:00,,,75990212.00946882,304372336.9714377 
 01/05  10:00:00,,,80183662.3709647,304372336.9714377 
