Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,3486352987.557613,268940360.15307,7816115984.439986,2861262136.179701,1150975407.6523333,722738468.2165581,4212909352.561777,48478958.377492204,10193454433.988441,1288971427.9099865,3523884141.1732416,253081283.56230476,7764158492.8152075,2814391128.555844,1167910123.0179076,745985398.646709,4212478606.117329,49091035.13135869,10204483286.570446,1288293076.756196,3514985492.383092,256873108.6588058,7802077050.647865,2976242926.999271,1197131493.5916665,732554677.2527106,4214104349.604286,49931675.97431019,6932778813.076691,806154765.9436488,3231827358.1523767,539633127.751712,489976380.2916286,3989833671.364307,10616033817.74203,34642587.97730185,0.0,196901364.19359112,1164247033.0822318,46504464.22285937,5775496541.040236,1261062049.8692958,2025719917.6467323,3073541808.961141,55207866.80475426,5275142792.362692,7395909704.465571,262034780.1050716,7102351301.313564,1447220858.3385303,185147960762.09674,400511374015.0186 
February,3180539646.022704,264208430.27827355,7327703384.390096,2606997945.9715586,1098299646.1301985,660500873.4069172,3869710523.632438,56945254.58789318,9769806812.359566,1238890986.6115916,3198811435.6776934,247347019.55210495,7170585136.387233,2618560382.0461535,1102593674.3160536,683874947.5676184,3866249131.6728125,58579713.42660138,9769636727.236952,1242515426.812577,3196646286.8638024,249465481.65254292,7209565176.734833,2763216014.9478745,1124405551.3176577,672619404.8573862,3849206241.2758474,65943481.24956011,6575809200.512363,817003907.9295639,3102296934.726879,523938996.09651875,505647674.9380191,3629645864.0330186,10275455506.191927,29788298.98655806,0.0,175181597.0886478,1102842454.9295275,43420665.78079317,5532490543.995104,1141953573.6774044,1978497663.1627731,2796240622.0882387,51295668.1457364,4899119719.000292,7054857940.04022,281482085.4095113,6775808640.807732,1314260009.359758,165909708807.12076,384944182522.32043 
March,1938322095.074992,960106169.7314091,4083070476.082444,5966342557.962848,394792640.2351974,1153129590.3319564,2519410838.9042044,515631309.2608885,6102976747.458169,3510350156.4988685,1956876998.072414,930105989.0905617,3990185638.7927556,5914662313.439087,399215825.15885204,1188228584.8197484,2520145752.6945457,518511537.9403638,6109946403.796537,3509161231.284021,1956562197.7400696,931817369.6160839,4044177043.0011716,6024198671.727182,415741082.286652,1159551541.2691808,2496472528.9752345,536803740.6340412,4143183899.5425124,2311165936.557835,1921102555.091774,1412426126.4683368,29401517.818397075,6061710216.46375,7421830991.640554,236531867.40920815,0.0,1485997862.4625976,278405580.87784135,238620825.88951495,2308123590.0678225,2666640618.921752,544228977.5454794,5714366583.3864155,16195243.56823492,6662821913.445206,3884798533.243849,1692006640.0802035,3542107386.8441954,2832026377.5061274,187792370185.37888,267511120298.834 
April,771611317.6104034,1121856172.6359696,1236421662.706268,6329421774.161434,7860026.712377377,1295634343.308043,1072186521.9457978,799774070.0950953,2061957426.8811727,4468221592.669096,792114488.1532017,1085302396.3775125,1162716433.1172135,6287300959.759394,8498037.54825348,1337629602.1969087,1071939176.3150631,799403336.7324799,2064768323.9757547,4451396201.333069,787817770.219442,1085814321.2044632,1217683588.9030373,6316717521.697294,13322530.675490683,1299136144.5829341,1048584512.5744889,824694003.979036,1451117060.3804543,2917297566.45021,615875339.2004266,1854497732.2935257,0.0,6286482263.695661,4174461157.794556,421533167.50791,0.0,2820616880.424718,0.0,640449156.5091395,64072653.92874106,3475989341.4143004,26994224.266312618,7403937203.26359,861087.2375522951,7368022575.585966,1079956264.294873,2657533296.3130465,509716940.3573139,3607408464.506999,170452574164.8133,142625914131.6852 
May,78782583.3787785,1994877573.1877458,40461950.14536668,9265801040.32745,0.0,1747520977.5131342,127956688.74218181,1692957898.0095577,84966093.66450047,7593146949.84209,84085730.4519189,1935091003.7091265,36258780.97472548,9051085670.051613,0.0,1757728861.1140203,126947659.24059966,1684429041.3341396,84125844.37276928,7547189867.07717,82438770.01566511,1939533147.5589206,40495346.10689854,9143268365.830805,0.0,1735039081.3032293,119214540.24771768,1715653259.5607133,66491948.80115287,5018538184.902478,18273490.34060312,3626520842.3148413,0.0,10340097209.633202,1095867391.8014874,2098096433.9813876,0.0,5913769993.05723,0.0,2661712484.6634088,0.0,8131582031.674365,14669647.92690438,8568721637.21889,1029144.7529425906,11168527035.39315,18860150.918832455,3573932403.6147833,285675.4361419769,7230938848.531782,193088282366.26224,58751360975.50386 
June,0.0,2747345832.4990177,0.0,11970311479.586235,0.0,2690074176.209513,0.0,2474415498.412732,0.0,10532356553.065329,0.0,2664944599.4176235,0.0,11604763238.215397,0.0,2661767651.6319947,0.0,2460118210.173369,0.0,10452761260.82449,0.0,2673506063.5287814,0.0,11790487526.12748,0.0,2682178006.129941,0.0,2514188894.1693263,0.0,7050971442.541963,0.0,5158020296.282132,0.0,12810538625.419586,444403597.9466644,3213166423.3342686,0.0,7233387547.460967,0.0,4161468510.40941,0.0,11708376012.562967,1749470.6328811392,10815377186.317242,1051671.4908191725,12458511851.454208,12297686.86155628,4756263653.28762,0.0,10095646394.667582,211977933998.8627,42134946103.14802 
July,0.0,2852334575.3388796,0.0,11539288267.099974,0.0,1685596547.5422451,0.0,2531478911.708536,0.0,9950464806.347073,0.0,2752217911.5809464,0.0,11098553280.791327,0.0,1678029871.4401512,0.0,2509968556.2783413,0.0,9853523557.968327,0.0,2762215545.933422,0.0,11200694430.073473,0.0,1685839716.3931582,0.0,2564482949.760733,0.0,6680653423.41919,0.0,4743299447.638097,0.0,9133646753.91984,131491936.99929188,3627101046.9867687,0.0,4964709453.190979,0.0,3262707546.95903,0.0,10029931562.468956,2129889.4363905424,9183659207.500889,1037019.8987568016,11546997874.877352,5496728.764859763,4792251874.780806,0.0,8585197463.60996,171308349654.84686,35771412384.7759 
August,0.0,2759200029.018787,0.0,11538718494.603748,0.0,1547030147.5350509,0.0,2283316855.124042,0.0,9243356900.504395,0.0,2678749693.601262,0.0,11141712698.212572,0.0,1571454015.6593003,0.0,2271379640.356377,0.0,9180350909.223282,0.0,2684805351.3187785,0.0,11228734864.99781,0.0,1558406999.5165427,0.0,2311361648.2694893,0.0,6176881323.94329,0.0,4329967960.656026,0.0,8419783199.198821,269980923.4434958,3273308569.608338,0.0,4599085614.400991,0.0,2598860158.3572464,0.0,9747676647.721125,1820667.6553281574,8307001289.501339,990343.7692183257,11610773241.112423,11508237.681201627,4036328347.113081,0.0,7837161035.066668,165920128402.97678,38850781190.7078 
September,0.0,2423262180.7676005,0.0,10879715421.477587,0.0,1869782994.8157308,950216.800579498,1898610246.9029894,0.0,8357020807.001257,0.0,2366346560.9462037,0.0,10578295375.626389,0.0,1862491213.7400372,919737.3489322608,1889263959.131794,0.0,8308587845.878646,76800.33728771232,2363807340.4148602,0.0,10685432708.969233,0.0,1831844088.5515616,2079214.8923596642,1904227872.1132402,0.0,5489246080.332119,72688.02594480343,4178325085.2558484,0.0,9940465826.143661,526161972.0923506,2839301509.447644,0.0,5651036687.319664,0.0,2628401067.4481783,0.0,9581713176.509186,8491987.319517655,7551708664.5207,878099.2194185108,10592486969.079578,15684205.20652935,3492990964.223694,0.0,7532005252.726333,192834405753.9587,40068572046.19815 
October,262875236.23800042,1788086534.8309197,313127210.08893305,9301862342.611826,13190229.885302,1580463550.5184164,431208734.1317644,1320095729.9150693,622277398.2702242,6709431522.477542,267609532.37809256,1760753171.5821316,292326979.79078454,9197258163.217514,14102590.555032033,1613937804.6096492,431329343.97964764,1319575852.1267576,624498747.2982106,6692541943.076562,269404973.94438183,1755643768.5564668,315090264.7570906,9221494528.793543,18621813.92410283,1568915105.5861008,435058966.73244506,1320031036.5337107,485368942.6380527,4323734678.847138,167524569.93324205,2670214630.559529,0.0,7416483916.311519,1910161230.2404552,1271643268.9882028,0.0,3955124912.19236,0.0,1307449487.5619872,17300695.31420552,5537995911.27967,23104638.018323112,7043607281.85115,809910.0523790526,8799743461.923988,359046369.44655436,3171373765.482066,155801946.45202613,4882564589.165327,185618027095.5337,82685339330.62149 
